   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   1.23E-01   2.37E+01   1.81E+01   1.45E+00   2.10E+01   0.00E+00   0.00E+00
   2.45E-01   3.13E+01   2.52E+01   3.10E-01   2.68E+01   1.19E+00   0.00E+00
   3.68E-01   3.73E+01   3.17E+01   2.30E-01   3.14E+01   3.07E+00   0.00E+00
   4.90E-01   4.13E+01   3.87E+01   1.16E+00   3.41E+01   2.07E+00   0.00E+00
   6.13E-01   4.40E+01   4.47E+01   1.84E+00   3.54E+01   7.17E-01   0.00E+00
   7.36E-01   4.69E+01   4.97E+01   1.84E+00   3.71E+01   2.44E+00   0.00E+00
   8.58E-01   4.92E+01   5.19E+01   1.66E+00   3.81E+01   3.89E+00   0.00E+00
   9.81E-01   5.16E+01   5.41E+01   2.20E-01   3.95E+01   3.33E+00   0.00E+00
   1.10E+00   5.41E+01   5.64E+01   8.10E-01   4.14E+01   0.00E+00   0.00E+00
   1.23E+00   5.67E+01   5.79E+01   3.00E-01   4.32E+01   0.00E+00   0.00E+00
   1.35E+00   5.94E+01   5.91E+01   0.00E+00   4.52E+01   0.00E+00   0.00E+00
   1.47E+00   6.20E+01   6.26E+01   6.40E-01   4.71E+01   0.00E+00   0.00E+00
   1.59E+00   6.43E+01   6.73E+01   7.40E-01   4.88E+01   0.00E+00   0.00E+00
   1.72E+00   6.70E+01   7.08E+01   3.00E-02   5.10E+01   0.00E+00   0.00E+00
   1.84E+00   6.98E+01   7.37E+01   1.23E+00   5.31E+01   3.02E+00   0.00E+00
   1.96E+00   7.24E+01   7.59E+01   2.05E+00   5.50E+01   5.96E+00   0.00E+00
   2.08E+00   7.46E+01   7.82E+01   1.47E+00   5.66E+01   7.69E+00   0.00E+00
   2.21E+00   7.62E+01   7.94E+01   1.44E+00   5.74E+01   8.10E+00   0.00E+00
   2.33E+00   7.75E+01   7.98E+01   1.01E+00   5.80E+01   8.76E+00   0.00E+00
   2.45E+00   7.88E+01   8.15E+01   4.00E-02   5.83E+01   1.02E+01   0.00E+00
   2.57E+00   8.00E+01   8.31E+01   5.80E-01   5.86E+01   1.18E+01   0.00E+00
   2.70E+00   8.13E+01   8.62E+01   2.00E-02   5.91E+01   1.25E+01   0.00E+00
   2.82E+00   8.22E+01   8.82E+01   4.30E-01   5.95E+01   1.17E+01   0.00E+00
   2.94E+00   8.30E+01   8.81E+01   6.70E-01   5.97E+01   1.06E+01   0.00E+00
   3.07E+00   8.40E+01   8.87E+01   2.43E+00   6.00E+01   1.13E+01   0.00E+00
   3.19E+00   8.50E+01   9.03E+01   3.78E+00   6.03E+01   1.16E+01   0.00E+00
   3.31E+00   8.58E+01   9.25E+01   4.00E+00   6.08E+01   9.58E+00   0.00E+00
   3.43E+00   8.66E+01   9.18E+01   3.97E+00   6.14E+01   6.41E+00   0.00E+00
   3.56E+00   8.77E+01   9.20E+01   3.92E+00   6.20E+01   5.37E+00   0.00E+00
   3.68E+00   8.91E+01   9.16E+01   3.81E+00   6.29E+01   6.35E+00   0.00E+00
   3.80E+00   9.06E+01   9.14E+01   4.04E+00   6.35E+01   1.02E+01   0.00E+00
   3.92E+00   9.20E+01   9.19E+01   4.08E+00   6.39E+01   1.30E+01   0.00E+00
   4.05E+00   9.26E+01   9.30E+01   3.17E+00   6.39E+01   1.34E+01   0.00E+00
