   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   1.92E-01   2.74E+01   3.13E+01   9.50E+00   2.33E+01   5.99E-01   0.00E+00
   4.57E-01   4.63E+01   5.01E+01   8.40E+00   4.10E+01   1.87E+00   0.00E+00
   7.51E-01   5.81E+01   5.58E+01   2.80E+00   5.09E+01   2.95E+00   0.00E+00
   9.02E-01   6.22E+01   5.97E+01   1.40E+00   5.40E+01   3.67E+00   0.00E+00
   1.35E+00   7.29E+01   7.59E+01   3.80E+00   6.17E+01   7.93E+00   0.00E+00
   1.80E+00   8.19E+01   8.87E+01   4.50E+00   6.79E+01   1.21E+01   0.00E+00
   2.25E+00   9.26E+01   9.97E+01   3.20E+00   7.65E+01   1.67E+01   0.00E+00
   2.71E+00   9.85E+01   1.09E+02   6.50E+00   7.89E+01   2.28E+01   0.00E+00
   3.16E+00   1.02E+02   1.15E+02   1.06E+01   7.83E+01   2.75E+01   0.00E+00
   3.61E+00   1.03E+02   1.17E+02   1.25E+01   7.65E+01   2.79E+01   0.00E+00
   4.06E+00   1.04E+02   1.14E+02   1.14E+01   7.39E+01   2.95E+01   0.00E+00
   4.51E+00   1.05E+02   1.09E+02   9.90E+00   7.09E+01   3.09E+01   0.00E+00
   4.96E+00   1.04E+02   1.07E+02   1.26E+01   6.74E+01   3.21E+01   0.00E+00
   5.41E+00   1.04E+02   1.05E+02   1.25E+01   6.42E+01   3.22E+01   0.00E+00
   5.86E+00   1.03E+02   1.01E+02   5.20E+00   6.10E+01   3.15E+01   0.00E+00
   6.31E+00   1.03E+02   9.45E+01   4.60E+00   5.84E+01   3.03E+01   0.00E+00
   6.76E+00   1.02E+02   9.08E+01   6.10E+00   5.65E+01   2.87E+01   0.00E+00
