   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   1.50E+00   6.75E+01   5.69E+01   6.60E+00   5.42E+01   0.00E+00   0.00E+00
   2.25E+00   7.40E+01   8.74E+01   4.80E+00   5.55E+01   0.00E+00   0.00E+00
   3.01E+00   8.14E+01   9.21E+01   5.70E+00   5.89E+01   0.00E+00   0.00E+00
   3.76E+00   8.92E+01   9.35E+01   5.20E+00   6.24E+01   8.06E+00   0.00E+00
   4.51E+00   9.29E+01   9.82E+01   4.40E+00   6.11E+01   1.54E+01   0.00E+00
   5.26E+00   9.74E+01   9.97E+01   4.40E+00   6.20E+01   1.75E+01   0.00E+00
   6.01E+00   1.02E+02   1.02E+02   3.50E+00   6.21E+01   2.21E+01   0.00E+00
   6.76E+00   1.08E+02   1.07E+02   4.40E+00   6.45E+01   2.76E+01   0.00E+00
   7.51E+00   1.11E+02   1.08E+02   4.40E+00   6.48E+01   2.80E+01   0.00E+00
   8.27E+00   1.12E+02   1.10E+02   4.40E+00   6.24E+01   2.96E+01   0.00E+00
   9.02E+00   1.15E+02   1.13E+02   4.40E+00   6.11E+01   3.33E+01   0.00E+00
   9.77E+00   1.16E+02   1.10E+02   5.20E+00   5.87E+01   3.55E+01   0.00E+00
   1.05E+01   1.16E+02   1.08E+02   5.70E+00   5.50E+01   3.65E+01   0.00E+00
   1.09E+01   1.16E+02   1.02E+02   9.80E+00   5.37E+01   3.72E+01   0.00E+00
   1.13E+01   1.17E+02   1.09E+02   8.60E+00   5.30E+01   3.77E+01   0.00E+00
   1.20E+01   1.16E+02   1.08E+02   9.80E+00   4.96E+01   3.80E+01   0.00E+00
   1.28E+01   1.16E+02   1.08E+02   9.80E+00   4.71E+01   3.77E+01   0.00E+00
   1.35E+01   1.15E+02   1.09E+02   1.23E+01   4.52E+01   3.72E+01   0.00E+00
