Radius	vObs	Verr	Vgas	Vdisk	vBuldge 
0.189	27.789	6.94	1	23.3	
0.353	36.865	5.339	1	36.865	
0.516	49.678	3.203	1.2	46.6	
0.68	54.483	3.737	2.3	53.4	
0.825	59.288	4.804	2.7	57.3	
1.007	63.025	4.805	3.2	63.025	
1.17	65.694	5.339	5	65.694	
1.316	70.499	5.339	5.9	70.499	
1.479	73.702	5.873	7	69.9	
1.661	79.041	4.271	8.6	73	
1.806	82.244	5.339	9.7	74.2	
1.988	87.049	4.805	12	77	
2.134	89.719	5.338	12.4	80.6	
2.297	95.057	5.873	13.9	83	
2.461	98.261	4.805	15.6	87	
2.624	99.862	5.339	16.9	88.4	
2.788	98.261	7.474	18.6	89.2	
2.951	101.464	8.542	20.8	89.9	
3.133	103.6	9.075	22.2	90.2	
3.297	106.803	9.076	24	90.4	
3.442	114.277	6.94	24	90.4	
3.606	112.142	8.542	25.3	90.3	
3.769	113.743	8.008	25.8	90	
3.933	116.413	12.813	26.2	88.3	
4.096	114.811	7.474	26.8	87	
4.26	108.938	8.542	27.1	86.4	
4.423	105.735	5.873	27.7	85	
4.587	105.735	4.805	27.4	85	
4.751	107.871	5.872	27.7	83.3	
4.914	106.269	7.474	28.3	82.3	
5.078	100.396	5.339	28.7	80.8	
5.241	100.396	4.271	29.3	80.8	
5.405	98.261	4.805	29.3	78.4	
5.568	92.922	8.008	29.3	77.2	
5.732	92.388	12.279	29.3	75.9	
5.896	96.659	11.745	29.3	75.3	
6.059	101.998	19.219	29.3	73.7	
6.223	103.6	21.889	29.3	72.8	
6.386	101.464	18.736	29.3	71.3	
6.532	97.727	16.55	29.3	71.2	
6.732	95.057	13.347	27.9	68.7	
6.877	85.448	14.543	27.8	68.3	
