Radius	vObs	Verr	Vgas	Vdisk	vBuldge
0.134	18.213	2.767	0	15.733	
0.258	29.213	2.283	0.83	24.797	
0.376	38.044	2.745	1.816	29.718	
0.498	46.169	2.231	1.364	32.91	
0.621	50.38	2.205	1.325	37.34	
0.761	52.994	2.292	1.114	40.788	
0.886	55.124	2.371	0.925	43.98	
1.01	57.399	2.061	0.634	45.944	
1.134	60.013	1.61	0.588	47.908	
1.259	61.833	1.967	0	48.683	
1.385	63.24	2.322	0.351	48.89	
1.501	65.032	2.487	1.558	50.036	
1.631	66.805	2.669	3.949	51.083	
1.757	67.821	3.004	6.588	52.935	
1.88	69.405	2.997	8.061	54.275	
2.008	72.202	2.759	9.456	55.925	
2.13	74.28	3.068	10.026	57.729	
2.26	76.914	2.368	10.672	58.459	
2.379	79.171	2.831	11.223	58.712	
2.504	81.487	3.426	11.935	57.975	
2.629	84.751	3.862	12.417	57.484	
2.753	87.7	4.351	12.708	58.147	
2.877	90.287	4.231	12.565	58.392	
3.001	92.857	3.607	12.165	59.129	
3.128	95.162	3.266	12.011	58.638	
3.252	96.787	3.616	12.408	58.392	
3.377	99.062	3.55	15.029	58.392	
3.513	101.121	3.545	18.32	58.854	
3.626	103.612	3.665	20.174	59.374	
3.75	105.77	3.628	22.266	59.544	
3.874	108.162	3.396	23.463	59.374	
4.016	109.462	3.815	23.737	58.627	
4.123	110.398	3.842	24.386	57.891	
4.26	111.745	3.602	25.351	57.387	
4.39	113.323	3.373	26.842	57.154	
4.532	114.948	3.466	27.824	56.417	
4.621	115.923	3.719	28.088	56.172	
4.755	116.6	4.038	28.816	55.511	
4.889	117.548	3.823	29.726	54.944	
5.013	118.198	4.155	30.27	54.453	
5.137	117.701	4.914	30.635	54.21	
5.262	117.223	5.376	30.862	53.962	
5.388	115.923	4.712	31.179	53.717	
5.512	113.973	4.709	31.47	53.134	
5.642	114.418	4.483	31.279	52.498	
5.762	114.312	4.832	31.47	52.195	
5.886	113.987	4.666	31.536	51.561	
6.012	113.337	4.334	31.736	50.825	
6.126	112.558	4.328	31.999	50.363	
6.264	111.8	4.495	32.389	49.921	
6.385	111.062	4.399	32.751	49.362	
6.511	110.737	4.489	33.171	48.607	
6.635	111.387	4.085	33.516	48.384	
6.759	112.687	3.767	33.99	47.881	
6.884	113.987	3.94	34.326	47.402	
7.012	113.466	3.59	34.717	46.684	
7.133	112.687	3.522	34.763	46.156	
7.262	111.584	3.814	34.698	45.71	
7.379	110.9	4.138	34.658	45.367	
7.506	109.762	4.728	34.517	45.174	
7.631	109.451	4.765	34.517	44.672	
7.756	106.876	5.885	34.29	44.427	
7.88	105.575	5.712	34.01	43.936	
8.021	106.55	7.929	33.564	43.416	
8.128	104.251	4.581	33.59	43.416	
8.253	99.362	4.588	33.318	43.387	
8.377	98.387	4.09	33.073	43.142	
8.504	101.637	5.996	32.873	42.896	
