,,
Galaxy,Total Luminocity at [3.6] units of 10+9solLum,Reff (kpc) half light radius at [3.6]
CamB_rotmod,0.075,1.21
D564-8_rotmod,0.033,0.72
D631-7_rotmod,0.196,1.22
DDO154_rotmod,0.053,0.65
DDO168_rotmod,0.191,1.29
ESO444-G084_rotmod,0.071,0.75
IC2574_rotmod,1.016,3.18
NGC0024_rotmod,3.889,2.01
NGC0055_rotmod,4.628,3.67
NGC0247_rotmod,7.332,5.87
NGC0300_rotmod,2.922,1.77
NGC2403_rotmod,10.041,2.16
NGC2683_rotmod,80.415,3.34
NGC2841_rotmod,188.121,5.51
NGC2915_rotmod,0.641,0.53
NGC2976_rotmod,3.371,1.31
NGC3109_rotmod,0.194,1.64
NGC3198_rotmod,38.279,5.84
NGC3741_rotmod,0.028,0.32
NGC4214_rotmod,1.141,0.7
NGC5055_rotmod,152.922,4.18
NGC6503_rotmod,12.845,1.62
NGC6789_rotmod,0.1,0.52
NGC6946_rotmod,66.173,4.2
NGC7331_rotmod,250.631,3.99
NGC7793_rotmod,7.05,2.19
UGC04483_rotmod,0.013,0.26
UGC07232_rotmod,0.113,0.46
UGC07524_rotmod,2.436,3.61
UGC07559_rotmod,0.109,0.98
UGC07577_rotmod,0.045,0.77
UGC07866_rotmod,0.124,0.95
UGC08490_rotmod,1.017,1.14
UGC08837_rotmod,0.501,2.25
UGCA442_rotmod,0.14,1.71
UGCA444_rotmod,0.012,0.41
