Radius	vObs	vError	Vgas	Vdisk	Vbulge
0.151	0	0	0	6.167	274.311
0.19	0	0	0	9.518	278.333
0.27	0	0	0	12.2	283.025
0.309	0	0	0	16.222	288.388
0.349	0	0	0	18.903	293.081
0.548	0	0	0	26.277	295.762
0.707	0	0	0	32.981	297.773
0.826	0	0	0	39.014	295.762
1.025	0	0	0	43.036	293.751
1.184	0	0	0	49.07	291.07
1.343	0	0	0	54.432	288.388
1.462	0	0	0	57.784	286.377
1.541	0	0	0	60.466	283.025
1.661	0	0	0	62.477	279.673
1.82	0	0	0	67.84	276.992
1.899	0	0	0	70.521	275.651
2.018	0	0	0	73.873	272.97
2.138	0	0	0	75.884	270.959
2.257	0	0	0	79.236	268.948
2.336	0	0	0	81.917	266.937
2.495	0	0	0	85.939	264.255
2.614	0	0	0	88.621	261.574
2.734	0	0	0	91.973	260.233
2.853	0	0	0	92.822	257.552
2.972	0	0	0	94.654	255.54
3.091	0	0	0	98.006	252.859
3.211	0	0	0	101.358	250.848
3.37	0	0	0	103.369	248.167
3.489	0	0	0	105.38	245.485
3.687	0	0	0	108.732	242.804
3.846	0	0	0	112.083	241.463
4.005	0	0	0	114.765	238.781
4.085	0	0	0	118.787	237.441
4.204	0	0	0	115.868	236.1
4.284	0	0	0	120.128	234.089
4.443	0	0	0	122.139	232.748
4.522	0	0	0	123.48	231.408
4.602	0	0	0	124.82	230.067
4.721	0	0	0	125.491	228.726
4.84	0	0	0	126.831	226.715
4.999	0	0	0	128.842	225.374
5.118	0	0	0	131.524	223.363
5.237	0	0	0	132.865	222.022
5.357	0	0	0	134.205	220.011
5.476	0	0	0	135.546	219.341
5.635	235.43	18.099	0	137.557	217.33
6.787	242.804	10.055	0	148.953	205.263
7.94	251.518	9.385	0	157.668	194.538
9.053	262.244	9.385	0	163.701	185.823
10.205	259.563	9.385	0	169.064	177.779
11.318	255.54	9.386	12.2	172.416	171.075
12.47	252.189	16.759	19.574	174.427	164.372
13.583	252.859	12.541	26.948	175.768	159.009
14.736	251.518	20.682	34.322	175.768	153.646
15.848	245.485	30.715	38.344	175.768	148.953
17.001	232.748	9.385	38.344	175.097	144.931
18.153	231.408	14.747	36.333	173.757	140.909
19.306	235.43	10.055	34.992	172.416	136.887
20.419	230.067	20.233	34.322	169.734	133.535
21.452	227.385	28.826	34.992	167.723	130.854
22.485	226.045	28.155	36.333	166.383	128.172
23.479	226.045	28.155	36.333	164.372	126.161
24.472	227.385	28.826	37.003	161.69	123.48
25.505	226.715	29.496	35.662	159.679	120.798
26.539	224.704	29.496	34.992	157.668	119.457
27.572	224.704	28.155	34.992	154.986	117.446
28.566	222.022	28.826	34.322	152.975	114.765
29.639	221.352	29.496	32.311	150.964	113.424
30.632	224.704	28.825	32.311	148.283	111.413
31.665	228.056	28.825	30.97	146.942	110.072
32.699	231.408	28.155	30.3	144.261	108.061
33.692	230.737	28.155	29.629	143.59	106.721
34.725	227.385	27.485	29.629	143.59	105.38
