Radius	Vobs	Verr	Vgas	Vdisk	Vbul
0.142	26.999	30.726	0.91	23.272	0
0.27	35.199	40.417	0.91	29.981	0
0.398	44.889	48.616	1.656	36.69	0
0.59	51.225	53.461	2.774	41.162	0
0.718	56.443	58.306	3.519	45.635	0
0.974	64.642	69.487	5.383	52.716	0
1.294	73.587	77.687	8.364	59.797	0
1.678	80.668	83.65	11.346	65.388	0
2.094	88.495	91.104	14.7	69.86	0
2.35	92.968	95.949	17.309	70.978	0
2.797	96.322	101.167	20.664	72.096	0
3.149	97.44	102.285	22.9	72.096	0
3.501	100.049	103.403	26.254	71.724	0
3.917	101.167	107.13	29.236	70.606	0
4.365	101.54	105.639	32.217	68.742	0
4.845	102.658	108.621	34.453	66.506	0
5.197	103.403	110.857	35.944	65.015	0
6.156	106.012	110.112	39.299	60.543	0
7.532	109.366	114.584	41.162	54.579	0
8.875	117.566	122.411	41.535	49.734	0
10.187	119.429	124.275	40.789	45.635	0
11.562	118.311	123.156	40.044	42.28	0
12.842	120.175	125.765	38.18	40.044	0
14.217	123.529	130.238	36.69	37.808	0
15.561	130.983	139.183	34.826	36.317	0
16.904	136.201	149.246	33.708	34.453	0
