#Distance	DATA FILES _ TaM_oversampled (two data points in Gentile per point o algo)				#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
4.101	297.498	312.828	0.00E+00	177.926	215.9	0.1	0.1
4.519	305.47	315.894	1.00E-01	187.124	204.9	0.1	0.1
4.852	307.922	315.894	1.00E-01	195.095	200.5	0.1	0.1
5.27	309.149	317.12	0.00E+00	203.067	190.2	0.1	0.1
5.603	310.988	315.894	1.00E-01	207.972	185.9	0.1	0.1
6.021	312.828	317.733	1.00E-01	215.944	177.9	0.1	0.1
6.354	314.668	320.799	0.00E+00	223.302	169.3	0.1	0.1
6.772	316.507	322.639	1.00E-01	228.208	163.2	0.1	0.1
7.189	317.12	322.639	1.00E-01	230.66	158.3	0.1	0.1
7.523	318.347	323.252	0.00E+00	233.726	153.4	0.1	0.1
7.94	320.799	326.318	0.00E+00	237.405	148.5	0.1	0.1
8.274	321.413	325.092	0.00E+00	242.311	144.8	0.1	0.1
8.691	322.026	325.705	0.00E+00	244.764	141.1	0.1	0.1
9.025	322.639	326.318	0.00E+00	248.443	138.7	0.1	0.1
9.442	322.639	326.318	1.00E-01	250.896	135.6	0.1	0.1
9.776	322.639	326.318	0.00E+00	252.122	132.6	0.1	0.1
10.193	323.252	326.931	0	252.122	130.1	0.1	0.1
10.527	323.252	326.931	4.393	252.122	127.6	0.1	0.1
10.944	323.252	326.931	7.459	250.896	125.8	0.1	0.1
11.278	323.252	326.318	9.912	250.896	124.0	0.1	0.1
11.695	323.865	327.545	11.751	250.282	120.9	0.1	0.1
12.029	323.252	328.158	14.817	249.056	118.4	0.1	0.1
12.446	322.639	326.931	17.27	247.83	117.2	0.1	0.1
12.78	321.413	326.318	19.109	245.99	115.4	0.1	0.1
13.197	320.186	325.092	19.109	243.537	114.2	0.1	0.1
13.615	320.186	326.318	19.109	241.698	112.3	0.1	0.1
