radius	Gas	Disk	Error	Data
0.338	0	17.623	43.494	20.539
0.65	0	35.605	51.24	25.885
0.961	0	47.268	50.656	28.315
1.211	0	55.53	60.244	38.521
1.522	0	65.25	81.668	66.222
1.833	0	71.082	109.727	99.269
2.145	0	74.97	140.372	129.886
2.456	0	78.858	159.098	149.812
2.706	0	84.69	175.083	167.794
3.017	0	90.035	191.205	181.401
3.328	0	94.409	200.841	192.093
3.64	0	96.839	209.617	200.841
3.951	3.043	101.213	215.635	207.159
4.235	8	103.7	219.348	211.466
4.574	13.249	105.101	220.766	213.963
4.843	14	105.1	220.056	214.41
5.158	15	104.7	218.914	213.592
5.509	18.109	103.157	218.536	213.477
5.744	21	102.3	218.901	214.41
6.059	24	100.8	219.965	215.718
6.381	26.371	99.269	219.508	215.421
6.667	27	98	218.147	214.083
7.002	27.5	95	216.488	212.774
7.315	28.315	93.437	214.935	211.533
7.568	27.5	92.1	212.175	207.868
7.903	27	90	209.723	204.925
8.249	25.885	88.577	206.187	200.841
8.448	24.6	87	205.024	199.201
8.742	23.8	86	205.349	200.673
9.122	22.483	84.69	205.701	200.841
9.413	21	83.5	205.777	200.836
9.706	20	83	207.461	202.308
9.994	19.081	82.26	212.019	204.243
10.272	20	80	211.167	207.051
10.628	21	79	209.835	206.396
10.928	22.969	77.4	209.389	205.215
11.173	23	76.3	208.804	204.27
11.467	23.4	75	208.165	203.289
11.8	23.941	73.998	208.131	203.271
12.138	24	72.7	207.758	202.635
12.431	25	72.5	207.221	201.817
12.672	26.371	71.568	206.959	200.841
12.955	26.5	70.33	206.475	200.673
13.311	28	69.5	206.297	200.182
13.607	29.287	69.138	206.187	199.869
13.94	32	68	206.493	199.855
14.192	34	67	206.709	200.019
14.541	35.119	66.708	206.673	199.869
14.842	36	65	206.515	199.855
15.135	37	64.8	206.335	199.855
15.413	38.035	64.278	205.901	199.869
15.722	38.5	64	205.749	199.691
16.057	39	63	205.143	199.037
16.347	39.493	62.82	204.729	198.411
16.623	39.5	62	203.222	197.238
16.959	39	61	201.182	195.603
17.282	38.521	60.876	199.383	194.523
17.525	37.5	59.9	198.067	193.15
17.818	38	59.4	196.827	191.842
18.154	38.035	58.932	196.169	191.121
18.447	38.5	58.7	195.358	190.37
18.761	39	58.2	195.491	190.37
19.026	39.493	57.96	195.495	190.149
19.348	40	57.6	194.597	188.898
19.663	40.4	57	196.14	187.917
19.96	40.95	56.502	195.009	188.205
20.25	41	56.4	195.148	188.571
20.543	41.5	55.9	195.717	188.898
20.832	41.922	55.53	196.467	189.663
21.172	42	55	197.076	190.37
21.465	42	54.7	197.23	190.37
21.767	41.922	54.558	196.953	190.149
22.031	41.922	54	196.746	190.206
22.388	41.922	53.8	195.903	189.716
22.639	41.922	53.1	195.265	190.149
22.954	41.8	53	195.037	189.879
23.289	41.7	52.9	195.176	190.043
23.573	41.436	52.614	195.009	189.663
23.939	41	52	195.317	189.225
24.169	40.6	51.3	196.051	187.263
24.508	40.465	51.156	193.251	187.719
24.798	40.65	50.8	193.152	187.099
25.113	40.65	50.75	194.912	186.772
25.442	40.465	50.67	194.423	186.261
25.7	40	50.43	190.636	184.81
26.014	40	50.2	190.585	185.137
26.314	39.979	50.184	191.121	185.289
26.601	39.5	50	190.605	185.464
26.936	39.4	49.4	191.322	186.282
27.248	39.007	49.212	191.607	187.233
27.502	38.95	49	191.362	187.099
27.817	38.6	48.6	192.949	187.753
28.12	38.521	48.24	191.307	185.775
28.424	38	48	191.97	187.099
28.718	37.89	47.9	194.032	188.898
29.055	37.549	47.754	191.121	185.775
29.326	37.64	47.7	185.921	179.74
