Radius	vObs	Verr	Vgas	Vdisk	Vbulge
3.457	192.005	202.889	0	164.354	
3.8	200.926	210.866	0	169.399	
4.131	207.232	215.991	5.456	175.284	
4.475	211.716	219.843	11.341	180.749	
4.754	213.605	221.104	13.443	182.01	
5.115	214.501	220.263	15.965	182.01	
5.377	213.771	219.002	16.806	180.749	
5.784	213.958	219.002	18.067	179.067	
6.068	214.799	219.002	20.168	177.806	
6.399	216.06	220.263	25.633	175.704	
6.729	216.06	219.843	28.155	174.023	
7.013	214.799	218.582	28.996	171.501	
7.391	212.697	216.9	29.417	166.877	
7.674	211.436	215.639	29.417	164.775	
8.052	208.073	212.697	29.837	160.151	
8.335	205.13	210.595	28.576	158.049	
8.666	201.347	206.812	27.315	155.947	
8.997	199.245	204.71	26.474	152.164	
9.328	200.926	205.971	24.792	150.062	
9.658	200.926	205.971	23.952	146.699	
9.989	200.926	205.971	21.85	145.858	
10.32	202.608	207.652	21.009	143.756	
10.603	204.289	212.697	20.168	142.495	
10.981	207.232	211.856	22.691	140.393	
11.264	206.812	210.174	23.531	138.712	
11.595	205.55	209.754	24.372	134.929	
11.926	204.289	208.913	24.372	133.247	
12.257	204.289	208.493	24.792	131.145	
12.587	203.028	208.493	25.213	129.464	
12.918	202.608	208.073	26.054	128.203	
13.249	202.187	207.652	26.894	125.681	
13.532	201.347	207.232	28.155	124.42	
13.91	200.926	206.812	28.576	122.738	
14.241	200.506	206.391	29.837	121.057	
14.524	200.506	206.391	30.678	119.375	
14.855	200.086	206.812	32.779	118.534	
15.186	200.086	207.232	34.461	116.853	
15.516	200.506	207.232	36.142	115.592	
15.847	200.506	206.812	37.404	114.331	
16.178	200.086	206.391	39.085	113.07	
16.508	200.086	206.391	39.926	112.649	
16.839	200.086	205.971	40.346	111.388	
17.17	199.665	205.55	40.766	110.127	
17.453	198.825	205.13	41.187	109.286	
17.784	197.563	203.869	40.766	108.446	
18.115	195.882	201.767	40.346	106.344	
18.445	194.621	200.086	39.926	105.503	
18.776	193.36	198.404	40.346	104.662	
19.107	192.099	197.143	40.346	103.822	
19.437	191.678	196.302	40.346	102.981	
19.721	190.417	195.462	40.346	102.14	
20.099	190.417	195.882	40.766	101.299	
20.382	190.417	196.302	41.187	100.459	
20.76	189.576	195.041	41.607	99.618	
21.044	188.315	196.723	42.448	98.777	
21.374	188.736	195.041	42.868	97.936	
21.705	188.736	195.462	43.289	97.516	
22.036	189.156	196.302	43.709	97.096	
22.366	189.997	196.723	43.709	96.675	
22.697	190.838	197.563	43.709	96.255	
23.028	190.838	197.563	44.129	95.414	
23.311	190.838	197.563	44.129	94.994	
23.689	190.417	196.723	43.709	94.153	
23.973	190.417	196.302	44.129	93.312	
24.303	190.417	195.462	44.55	92.892	
24.634	190.417	195.462	43.709	92.472	
24.965	189.997	195.462	44.129	91.631	
25.295	189.997	195.041	43.709	91.211	
25.626	189.576	195.462	43.709	90.79	
25.957	187.895	196.302	42.868	89.949	
26.288	187.475	193.78	42.868	89.529	
26.618	187.475	193.78	43.289	89.109	
26.902	187.054	195.462	42.448	88.268	
27.232	186.634	194.621	42.448	87.848	
27.563	184.952	190.838	42.028	87.427	
27.894	185.373	191.258	42.028	87.007	
28.224	185.373	191.258	42.028	86.586	
28.555	185.793	190.838	42.028	86.166	
28.886	186.634	191.678	41.187	85.746	
29.217	187.475	192.099	40.766	85.325	
29.547	187.475	191.678	40.766	84.485	
29.831	188.736	193.36	40.346	84.064	
30.161	186.214	191.258	40.346	83.644	
30.492	187.054	192.519	40.346	83.224	
30.823	188.315	194.621	39.926	83.224	
31.154	186.634	192.939	39.085	82.803	
31.484	180.328	186.214	39.505	82.803	
