# Distance =Frat11							
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.854	234.602	246.044	0	46	211	0	0
2.205	191.357	203.433	0.924	92.425	195.073	0	0
3.091	211.329	217.367	0.459	113.326	181.139	0	0
3.978	222.941	227.586	0.459	130.047	170.456	0	0
4.883	222.477	225.263	0.459	142.588	159.773	0	0
5.769	223.406	226.192	0.459	152.342	150.948	0	0
6.675	223.87	226.657	0	159.309	143.517	0	0
7.561	225.728	228.05	6.962	163.953	136.549	0	0
8.447	226.192	228.05	17.18	167.669	130.976	0	0
9.333	226.192	228.979	26.005	170.456	124.938	0	0
10.219	226.192	227.586	32.972	171.849	121.222	0	0
11.105	223.406	226.657	35.759	172.314	115.648	0	0
12.011	219.69	223.406	43.191	172.314	112.861	0	0
12.897	217.367	219.225	46.442	171.385	108.681	0	0
13.783	216.903	219.225	49.693	170.456	105.43	0	0
14.669	215.045	219.69	49.229	165.811	102.643	0	0
15.555	209.936	214.581	47.371	160.702	99.392	0	0
16.442	207.149	211.329	45.513	153.735	97.534	0	0
