Radius	vObs	Verr	Vgas	Vdisk	Vbulge
2.206	191.771	203.915	0	99.371	195.995
3.081	212.363	218.171	0	122.075	182.795
3.977	222.923	228.203	0	140.027	171.179
4.873	222.395	226.091	0	153.755	161.147
5.769	223.451	227.147	0	164.315	151.643
6.666	224.507	227.675	0	171.707	144.251
7.562	226.091	229.787	6.971	176.987	137.387
8.415	226.619	229.259	15.947	181.211	131.579
9.311	226.619	228.731	25.979	183.323	126.299
10.207	226.619	229.787	32.315	184.907	121.019
11.103	223.979	227.147	36.011	185.963	116.795
11.978	219.755	223.979	42.347	186.491	113.099
12.896	217.115	220.811	46.571	185.963	109.403
13.77	217.643	221.339	49.739	183.851	106.235
14.645	216.059	220.283	49.739	180.155	103.067
15.541	210.251	215.003	47.627	173.291	100.427
16.416	207.083	211.835	44.987	166.427	97.787
