#Distance	McGaugh						
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.022	45.738	10.235	1	35	0	0.1	0.1
2.124	70.424	9.634	3.8	40.6	0	0.1	0.1
3.227	77.649	8.43	8.8	44.8	0	0.1	0.1
4.268	85.477	7.827	10.4	50.3	0	0.1	0.1
5.432	93.906	5.419	12.9	55	0	0.1	0.1
6.534	96.917	4.816	16.8	55	0	0.1	0.1
7.575	101.131	4.817	20.3	55.8	0	0.1	0.1
8.739	105.346	4.215	22.7	56	0	0.1	0.1
9.841	109.561	5.419	26.8	57.6	0	0.1	0.1
10.944	110.163	6.021	29.2	59.2	0	0.1	0.1
11.985	111.367	5.419	30.5	59	0	0.1	0.1
13.087	110.765	6.021	29.7	58.4	0	0.1	0.1
14.19	111.969	6.021	29.3	56	0	0.1	0.1
15.292	111.367	7.226	28.9	54	0	0.1	0.1
16.395	110.163	7.827	29.6	52.1	0	0.1	0.1
17.558	110.163	7.827	31.6	51.7	0	0.1	0.1
