#Distance	De Blok - THINGS Data						
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.795	46.632	10.187	0	19.296	0	0.1	0.1
1.581	71.009	9.46	0	25.826	0	0.1	0.1
2.446	79.014	7.64	0	28.497	0	0.1	0.1
3.233	87.382	8.005	0	31.465	0	0.1	0.1
4.058	94.295	5.094	0	35.027	0	0.1	0.1
4.924	97.933	5.094	0	35.027	0	0.1	0.1
5.71	101.936	4.73	0	34.433	0	0.1	0.1
6.575	107.03	4.73	0	34.136	0	0.1	0.1
7.322	109.94	5.094	0	33.84	0	0.1	0.1
8.187	111.032	4.73	0	33.84	0	0.1	0.1
8.974	111.396	4.73	0	33.246	0	0.1	0.1
9.8	111.396	5.093	0	32.652	0	0.1	0.1
10.665	111.396	5.457	0	31.168	0	0.1	0.1
11.451	111.76	6.913	0	30.278	0	0.1	0.1
12.238	111.032	6.913	0	29.387	0	0.1	0.1
13.103	111.032	6.913	0	27.606	0	0.1	0.1
