#Distance							
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
5.635	235.43	18.099	0	137.557	217.33	0.1	0.1
6.787	242.804	10.055	0	148.953	205.263	0.1	0.1
7.94	251.518	9.385	0	157.668	194.538	0.1	0.1
9.053	262.244	9.385	0	163.701	185.823	0.1	0.1
10.205	259.563	9.385	0	169.064	177.779	0.1	0.1
11.318	255.54	9.386	12.2	172.416	171.075	0.1	0.1
12.47	252.189	16.759	19.574	174.427	164.372	0.1	0.1
13.583	252.859	12.541	26.948	175.768	159.009	0.1	0.1
14.736	251.518	20.682	34.322	175.768	153.646	0.1	0.1
15.848	245.485	30.715	38.344	175.768	148.953	0.1	0.1
17.001	232.748	9.385	38.344	175.097	144.931	0.1	0.1
18.153	231.408	14.747	36.333	173.757	140.909	0.1	0.1
19.306	235.43	10.055	34.992	172.416	136.887	0.1	0.1
20.419	230.067	20.233	34.322	169.734	133.535	0.1	0.1
21.452	227.385	28.826	34.992	167.723	130.854	0.1	0.1
22.485	226.045	28.155	36.333	166.383	128.172	0.1	0.1
23.479	226.045	28.155	36.333	164.372	126.161	0.1	0.1
24.472	227.385	28.826	37.003	161.69	123.48	0.1	0.1
25.505	226.715	29.496	35.662	159.679	120.798	0.1	0.1
26.539	224.704	29.496	34.992	157.668	119.457	0.1	0.1
27.572	224.704	28.155	34.992	154.986	117.446	0.1	0.1
28.566	222.022	28.826	34.322	152.975	114.765	0.1	0.1
29.639	221.352	29.496	32.311	150.964	113.424	0.1	0.1
30.632	224.704	28.825	32.311	148.283	111.413	0.1	0.1
31.665	228.056	28.825	30.97	146.942	110.072	0.1	0.1
32.699	231.408	28.155	30.3	144.261	108.061	0.1	0.1
33.692	230.737	28.155	29.629	143.59	106.721	0.1	0.1
34.725	227.385	27.485	29.629	143.59	105.38	0.1	0.1
