#Distance							
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
2.206	191.771	12.144	0	99.371	195.995	0.1	0.1
3.081	212.363	5.808	0	122.075	182.795	0.1	0.1
3.977	222.923	5.28	0	140.027	171.179	0.1	0.1
4.873	222.395	3.696	0	153.755	161.147	0.1	0.1
5.769	223.451	3.696	0	164.315	151.643	0.1	0.1
6.666	224.507	3.168	0	171.707	144.251	0.1	0.1
7.562	226.091	3.696	6.971	176.987	137.387	0.1	0.1
8.415	226.619	2.64	15.947	181.211	131.579	0.1	0.1
9.311	226.619	2.112	25.979	183.323	126.299	0.1	0.1
10.207	226.619	3.168	32.315	184.907	121.019	0.1	0.1
11.103	223.979	3.168	36.011	185.963	116.795	0.1	0.1
11.978	219.755	4.224	42.347	186.491	113.099	0.1	0.1
12.896	217.115	3.696	46.571	185.963	109.403	0.1	0.1
13.77	217.643	3.696	49.739	183.851	106.235	0.1	0.1
14.645	216.059	4.224	49.739	180.155	103.067	0.1	0.1
15.541	210.251	4.752	47.627	173.291	100.427	0.1	0.1
16.416	207.083	4.752	44.987	166.427	97.787	0.1	0.1
