#Distance	de Blok THINGS (NGC 2403)						
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.058	2.177	3.539	0	2.182	0	0.1	0.1
0.123	16.137	2.218	0	9.551	0	0.1	0.1
0.174	22.572	2.295	0	14.007	0	0.1	0.1
0.252	32.388	1.92	0	23.561	0	0.1	0.1
0.291	39.703	1.328	0	31.386	0	0.1	0.1
0.369	46.349	3.187	0	36.103	0	0.1	0.1
0.447	53.438	5.246	0	40.738	0	0.1	0.1
0.499	60.2	3.886	0	44.304	0	0.1	0.1
0.563	64.018	3.621	0	46.894	0	0.1	0.1
0.641	67.508	5.068	0	48.308	0	0.1	0.1
0.686	71.58	5.18	0	49.997	0	0.1	0.1
0.758	75.906	5.208	0	52.033	0	0.1	0.1
0.823	77.978	5.36	0	54.004	0	0.1	0.1
0.875	78.742	4.672	0	54.8	0	0.1	0.1
0.952	79.287	4.538	0	55.483	0	0.1	0.1
1.041	80.213	3.644	0	56.305	0	0.1	0.1
1.069	78.633	4.551	0	57.099	0	0.1	0.1
1.16	78.305	6.315	0	57.782	0	0.1	0.1
1.199	80.378	5.624	0	58.784	0	0.1	0.1
1.302	81.25	5.208	1.271	60.148	0	0.1	0.1
1.33	82.559	4.609	2.46	61.3	0	0.1	0.1
1.357	84.197	3.482	3.842	62.946	0	0.1	0.1
1.458	84.413	5.101	5.39	63.962	0	0.1	0.1
1.51	85.722	5.276	5.291	64.807	0	0.1	0.1
1.575	87.576	6.435	4.964	65.768	0	0.1	0.1
1.614	90.085	5.915	4.398	66.172	0	0.1	0.1
1.691	91.939	6.115	3.431	66.298	0	0.1	0.1
1.752	93.163	6.533	0	66.599	0	0.1	0.1
1.795	94.12	5.93	0.858	67.008	0	0.1	0.1
1.873	94.556	5.624	2.906	66.956	0	0.1	0.1
1.938	95.538	5.594	5.217	67.247	0	0.1	0.1
2.015	96.956	5.951	4.639	67.638	0	0.1	0.1
2.054	98.265	5.05	4.437	67.828	0	0.1	0.1
2.107	97.811	6.217	4.174	67.927	0	0.1	0.1
2.223	98.374	5.671	3.427	68.018	0	0.1	0.1
2.236	96.411	6.861	1.786	68.063	0	0.1	0.1
2.34	96.52	6.61	0	68.491	0	0.1	0.1
2.391	98.592	5.811	0	68.844	0	0.1	0.1
2.462	99.14	5.356	0	69.255	0	0.1	0.1
2.508	98.047	5.96	0	69.523	0	0.1	0.1
2.573	98.483	5.173	1.302	69.523	0	0.1	0.1
2.625	97.719	5.737	2.312	69.802	0	0.1	0.1
2.728	98.81	5.631	4.27	70.092	0	0.1	0.1
2.778	100.136	4.994	3.842	70.584	0	0.1	0.1
2.832	100.01	5.196	2.188	71.001	0	0.1	0.1
2.884	100.337	4.57	0.38	71.414	0	0.1	0.1
2.936	100.882	4.034	0	71.831	0	0.1	0.1
3.027	101.646	4.339	0	72.311	0	0.1	0.1
3.079	102.518	4.453	0	72.727	0	0.1	0.1
3.13	103.609	4.17	0.078	73.272	0	0.1	0.1
3.173	104.12	4.105	2.846	73.572	0	0.1	0.1
3.286	105.136	4.664	5.274	74.353	0	0.1	0.1
3.312	106.336	4.243	7.297	74.779	0	0.1	0.1
3.377	107.972	4.904	9.823	75.147	0	0.1	0.1
3.442	108.953	5.583	12.271	75.498	0	0.1	0.1
3.506	110.153	5.688	13.936	75.926	0	0.1	0.1
3.571	111.135	5.688	15.677	75.979	0	0.1	0.1
3.636	112.116	5.818	16.975	76.104	0	0.1	0.1
3.714	113.425	6.209	17.782	75.865	0	0.1	0.1
3.779	114.625	5.787	17.823	75.474	0	0.1	0.1
3.804	115.078	5.524	17.788	75.232	0	0.1	0.1
3.882	115.824	5.442	17.86	74.969	0	0.1	0.1
3.947	116.697	5.456	18.049	74.504	0	0.1	0.1
4.025	117.024	5.419	18.543	74.088	0	0.1	0.1
4.09	117.679	4.764	18.998	73.396	0	0.1	0.1
4.168	117.897	5.172	19.531	72.738	0	0.1	0.1
4.206	118.333	5.367	19.774	72.222	0	0.1	0.1
