#Distance	De BLok THINGS						
#Radius	vObs	VError	vGas	vDisk	vBulge 	SBdisk	SBbul
#kpc 	km/s	km/s	km/s	km/s	km/s		
3.715	301.197	12.091	5.07E-07	153.678	183.504	0	0
4.04	305.708	10.194	5.07E-07	158.92	178.088	0	0
4.386	307.953	7.939	5.07E-07	168.171	168.293	0	0
4.722	309.258	7.255	5.07E-07	178.668	161.739	0	0
5.009	310.698	5.628	5.07E-07	181.128	155.892	0	0
5.356	313.442	4.09	5.07E-07	187.602	150.254	0	0
5.729	314.9	4.837	5.07E-07	193.178	144.005	0	0
6.083	316.186	6.198	5.07E-07	196.393	139.606	0	0
6.395	317.184	5.699	5.07E-07	199.545	134.948	0	0
6.848	318.125	4.936	5.07E-07	202.045	130.301	0	0
7.122	320.926	4.911	5.07E-07	206.276	126.768	0	0
7.503	321.425	4.238	5.07E-07	208.798	123.739	0	0
7.855	322.155	3.625	5.07E-07	211.718	120.628	0	0
8.195	322.922	3.153	5.07E-07	215.801	117.798	0	0
8.576	322.173	3.902	5.07E-07	217.033	114.912	0	0
8.862	322.961	3.525	5.07E-07	218.167	112.567	0	0
9.234	323.171	3.687	5.07E-07	218.065	109.697	0	0
9.546	323.421	3.946	1.571	218.082	108.209	0	0
9.869	322.961	4.031	6.16	218.167	106.118	0	0
10.204	322.922	3.577	8.641	217.572	104.397	0	0
10.62	323.92	3.61	11.399	216.464	102.625	0	0
10.876	323.768	4.13	13.415	215.749	101.281	0	0
11.208	322.922	4.348	15.164	213.597	99.251	0	0
11.589	321.425	4.368	16.381	212.441	97.969	0	0
11.883	319.737	5.137	17.446	210.912	96.374	0	0
12.213	320.178	4.938	17.152	209.014	95.188	0	0
12.559	320.427	5.242	17.401	208.022	93.246	0	0
12.891	320.543	5.643	18.252	206.882	92.355	0	0
13.252	321.175	4.721	17.597	203.617	91.519	0	0
13.632	319.18	3.86	16.479	201.608	90.14	0	0
13.898	317.319	4.23	15.833	199.627	89.189	0	0
14.29	316.685	3.369	15.934	197.394	87.499	0	0
14.671	315.438	4.061	16.63	194.116	86.021	0	0
15.017	313.288	4.231	17.446	191.566	85.353	0	0
15.329	311.695	4.199	17.325	189.156	84.411	0	0
15.676	310.199	5.521	17.314	186.333	83.282	0	0
16.024	310.064	5.642	17.446	184.31	81.935	0	0
16.403	308.951	5.791	17.836	182.097	81.306	0	0
16.749	308.203	6.146	19.301	179.796	80.599	0	0
17.031	306.839	7.561	19.864	177.862	79.516	0	0
17.442	306.456	8.347	20.594	175.784	79.069	0	0
17.684	304.96	10.064	20.594	174.122	78.438	0	0
18.038	304.421	10.579	20.67	173.025	77.904	0	0
18.411	303.712	10.362	20.257	171.799	76.874	0	0
18.792	301.217	10.772	18.727	170.072	76.114	0	0
19.157	301.197	9.673	18.252	167.382	75.486	0	0
19.416	300.22	8.934	18.38	166.063	74.583	0	0
19.762	299.721	9.032	19.237	164.563	74.062	0	0
20.164	300.39	8.061	19.864	162.546	73.067	0	0
20.455	300.22	7.864	20.594	161.565	72.759	0	0
20.836	300.719	7.559	22.135	159.632	72.51	0	0
21.171	301.197	7.254	23.088	158.515	72.261	0	0
21.459	300.22	8.444	24.101	157.123	71.433	0	0
21.805	299.97	8.226	26.3	155.634	70.738	0	0
22.178	299.584	8.061	27.119	154.484	70.649	0	0
22.567	299.721	8.463	28.889	153.247	70.205	0	0
22.879	299.222	8.962	31.636	152.184	68.913	0	0
23.297	299.584	9.674	33.568	150.454	68.231	0	0
23.537	300.22	9.206	34.915	149.457	67.934	0	0
23.883	300.968	9.423	35.871	148.111	67.413	0	0
24.192	300.39	9.674	35.986	147.229	66.618	0	0
24.61	299.97	10.754	36.729	146.048	66.642	0	0
24.887	300.968	10.652	37.598	144.593	66.121	0	0
25.311	301.197	11.285	38.405	143.199	65.812	0	0
