#Distance							
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.338	20.539	22.955	0.00E+00	17.623	0.0	0.1	0.1
0.65	25.885	25.355	0.00E+00	35.605	0.0	0.1	0.1
0.961	28.315	22.341	0.00E+00	47.268	0.0	0.1	0.1
1.211	38.521	21.723	0.00E+00	55.53	0.0	0.1	0.1
1.522	66.222	15.446	0.00E+00	65.25	0.0	0.1	0.1
1.833	99.269	10.458	0.00E+00	71.082	0.0	0.1	0.1
2.145	129.886	10.486	0.00E+00	74.97	0.0	0.1	0.1
2.456	149.812	9.286	0.00E+00	78.858	0.0	0.1	0.1
2.706	167.794	7.289	0.00E+00	84.69	0.0	0.1	0.1
3.017	181.401	9.804	0.00E+00	90.035	0.0	0.1	0.1
3.328	192.093	8.748	0.00E+00	94.409	0.0	0.1	0.1
3.64	200.841	8.776	0.00E+00	96.839	0.0	0.1	0.1
3.951	207.159	8.476	3.04E+00	101.213	0.0	0.1	0.1
4.235	211.466	7.882	8.00E+00	103.7	0.0	0.1	0.1
4.574	213.963	6.803	1.32E+01	105.101	0.0	0.1	0.1
4.843	214.41	5.646	1.40E+01	105.1	0.0	0.1	0.1
5.158	213.592	5.322	15	104.7	0.0	0.1	0.1
5.509	213.477	5.059	18.109	103.157	0.0	0.1	0.1
5.744	214.41	4.491	21	102.3	0.0	0.1	0.1
6.059	215.718	4.247	24	100.8	0.0	0.1	0.1
6.381	215.421	4.087	26.371	99.269	0.0	0.1	0.1
6.667	214.083	4.064	27	98	0.0	0.1	0.1
7.002	212.774	3.714	27.5	95	0.0	0.1	0.1
7.315	211.533	3.402	28.315	93.437	0.0	0.1	0.1
7.568	207.868	4.307	27.5	92.1	0.0	0.1	0.1
7.903	204.925	4.798	27	90	0.0	0.1	0.1
8.249	200.841	5.346	25.885	88.577	0.0	0.1	0.1
8.448	199.201	5.823	24.6	87	0.0	0.1	0.1
8.742	200.673	4.676	23.8	86	0.0	0.1	0.1
9.122	200.841	4.86	22.483	84.69	0.0	0.1	0.1
9.413	200.836	4.941	21	83.5	0.0	0.1	0.1
9.706	202.308	5.153	20	83	0.0	0.1	0.1
9.994	204.243	7.776	19.081	82.26	0.0	0.1	0.1
10.272	207.051	4.116	20	80	0.0	0.1	0.1
10.628	206.396	3.439	21	79	0.0	0.1	0.1
10.928	205.215	4.174	22.969	77.4	0.0	0.1	0.1
11.173	204.27	4.534	23	76.3	0.0	0.1	0.1
11.467	203.289	4.876	23.4	75	0.0	0.1	0.1
11.8	203.271	4.86	23.941	73.998	0.0	0.1	0.1
12.138	202.635	5.123	24	72.7	0.0	0.1	0.1
12.431	201.817	5.404	25	72.5	0.0	0.1	0.1
12.672	200.841	6.118	26.371	71.568	0.0	0.1	0.1
12.955	200.673	5.802	26.5	70.33	0.0	0.1	0.1
13.311	200.182	6.115	28	69.5	0.0	0.1	0.1
13.607	199.869	6.318	29.287	69.138	0.0	0.1	0.1
13.94	199.855	6.638	32	68	0.0	0.1	0.1
14.192	200.019	6.69	34	67	0.0	0.1	0.1
14.541	199.869	6.804	35.119	66.708	0.0	0.1	0.1
14.842	199.855	6.66	36	65	0.0	0.1	0.1
15.135	199.855	6.48	37	64.8	0.0	0.1	0.1
15.413	199.869	6.032	38.035	64.278	0.0	0.1	0.1
15.722	199.691	6.058	38.5	64	0.0	0.1	0.1
16.057	199.037	6.106	39	63	0.0	0.1	0.1
16.347	198.411	6.318	39.493	62.82	0.0	0.1	0.1
16.623	197.238	5.984	39.5	62	0.0	0.1	0.1
16.959	195.603	5.579	39	61	0.0	0.1	0.1
17.282	194.523	4.86	38.521	60.876	0.0	0.1	0.1
17.525	193.15	4.917	37.5	59.9	0.0	0.1	0.1
17.818	191.842	4.985	38	59.4	0.0	0.1	0.1
18.154	191.121	5.048	38.035	58.932	0.0	0.1	0.1
18.447	190.37	4.988	38.5	58.7	0.0	0.1	0.1
