#Distance							
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
3.457	192.005	10.884	0.00E+00	164.354	0.0	0.1	0.1
3.8	200.926	9.94	0.00E+00	169.399	0.0	0.1	0.1
4.131	207.232	8.759	5.46E+00	175.284	0.0	0.1	0.1
4.475	211.716	8.127	1.13E+01	180.749	0.0	0.1	0.1
4.754	213.605	7.499	1.34E+01	182.01	0.0	0.1	0.1
5.115	214.501	5.762	1.60E+01	182.01	0.0	0.1	0.1
5.377	213.771	5.231	1.68E+01	180.749	0.0	0.1	0.1
5.784	213.958	5.044	1.81E+01	179.067	0.0	0.1	0.1
6.068	214.799	4.203	2.02E+01	177.806	0.0	0.1	0.1
6.399	216.06	4.203	2.56E+01	175.704	0.0	0.1	0.1
6.729	216.06	3.783	2.82E+01	174.023	0.0	0.1	0.1
7.013	214.799	3.783	2.90E+01	171.501	0.0	0.1	0.1
7.391	212.697	4.203	2.94E+01	166.877	0.0	0.1	0.1
7.674	211.436	4.203	2.94E+01	164.775	0.0	0.1	0.1
8.052	208.073	4.624	2.98E+01	160.151	0.0	0.1	0.1
8.335	205.13	5.465	2.86E+01	158.049	0.0	0.1	0.1
8.666	201.347	5.465	27.315	155.947	0.0	0.1	0.1
8.997	199.245	5.465	26.474	152.164	0.0	0.1	0.1
9.328	200.926	5.045	24.792	150.062	0.0	0.1	0.1
9.658	200.926	5.045	23.952	146.699	0.0	0.1	0.1
9.989	200.926	5.045	21.85	145.858	0.0	0.1	0.1
10.32	202.608	5.044	21.009	143.756	0.0	0.1	0.1
10.603	204.289	8.408	20.168	142.495	0.0	0.1	0.1
10.981	207.232	4.624	22.691	140.393	0.0	0.1	0.1
11.264	206.812	3.362	23.531	138.712	0.0	0.1	0.1
11.595	205.55	4.204	24.372	134.929	0.0	0.1	0.1
11.926	204.289	4.624	24.372	133.247	0.0	0.1	0.1
12.257	204.289	4.204	24.792	131.145	0.0	0.1	0.1
12.587	203.028	5.465	25.213	129.464	0.0	0.1	0.1
12.918	202.608	5.465	26.054	128.203	0.0	0.1	0.1
13.249	202.187	5.465	26.894	125.681	0.0	0.1	0.1
13.532	201.347	5.885	28.155	124.42	0.0	0.1	0.1
13.91	200.926	5.886	28.576	122.738	0.0	0.1	0.1
14.241	200.506	5.885	29.837	121.057	0.0	0.1	0.1
14.524	200.506	5.885	30.678	119.375	0.0	0.1	0.1
14.855	200.086	6.726	32.779	118.534	0.0	0.1	0.1
15.186	200.086	7.146	34.461	116.853	0.0	0.1	0.1
15.516	200.506	6.726	36.142	115.592	0.0	0.1	0.1
15.847	200.506	6.306	37.404	114.331	0.0	0.1	0.1
16.178	200.086	6.305	39.085	113.07	0.0	0.1	0.1
16.508	200.086	6.305	39.926	112.649	0.0	0.1	0.1
16.839	200.086	5.885	40.346	111.388	0.0	0.1	0.1
17.17	199.665	5.885	40.766	110.127	0.0	0.1	0.1
17.453	198.825	6.305	41.187	109.286	0.0	0.1	0.1
17.784	197.563	6.306	40.766	108.446	0.0	0.1	0.1
18.115	195.882	5.885	40.346	106.344	0.0	0.1	0.1
18.445	194.621	5.465	39.926	105.503	0.0	0.1	0.1
18.776	193.36	5.044	40.346	104.662	0.0	0.1	0.1
19.107	192.099	5.044	40.346	103.822	0.0	0.1	0.1
19.437	191.678	4.624	40.346	102.981	0.0	0.1	0.1
19.721	190.417	5.045	40.346	102.14	0.0	0.1	0.1
20.099	190.417	5.465	40.766	101.299	0.0	0.1	0.1
