#Distance	SAN 96						
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.703	39.051	16.887	6.40E+00	87	0	0.1	0.1
1.293	53.053	22.059	1.12E+01	75.5	0	0.1	0.1
1.963	65.111	26.983	1.28E+01	69.7	0	0.1	0.1
2.592	73.279	7.859	1.28E+01	62.1	0	0.1	0.1
3.262	76.39	8.583	1.25E+01	55.7	0	0.1	0.1
3.891	79.502	6.018	1.24E+01	48.8	0	0.1	0.1
4.521	81.057	2.272	1.20E+01	43	0	0.1	0.1
5.151	83.002	2.244	1.34E+01	45.1	0	0.1	0.1
5.82	83.002	4.984	1.53E+01	40	0	0.1	0.1
6.45	79.891	5.082	1.60E+01	37.4	0	0.1	0.1
7.119	80.28	3.871	1.61E+01	35.5	0	0.1	0.1
7.749	81.057	2.272	1.55E+01	33.8	0	0.1	0.1
8.379	81.057	1.998	1.59E+01	32.4	0	0.1	0.1
9.009	81.057	1.998	1.71E+01	31.3	0	0.1	0.1
9.638	82.224	1.379	1.81E+01	30	0	0.1	0.1
10.544	82.224	2.749	1.87E+01	28.7	0	0.1	0.1
11.755	83.877	1.917	1.94E+01	27.3	0	0.1	0.1
12.864	86.068	2.191	2.03E+01	25.9	0	0.1	0.1
14.056	88.807	1.918	2.06E+01	24.9	0	0.1	0.1
15.165	94.286	1.917	2.52E+01	23.9	0	0.1	0.1
