#Distance	Gentile|Maria NGC 3198						
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.765	78.333	4.363	0	62.128	0	0.1	0.1
3.558	125.391	5.298	0	68.361	0	0.1	0.1
5.352	144.401	4.051	7.591	89.552	0	0.1	0.1
7.211	150.322	4.363	18.187	91.422	0	0.1	0.1
8.938	152.192	4.363	25.666	87.683	0	0.1	0.1
10.798	156.243	4.363	31.276	83.32	0	0.1	0.1
12.592	159.36	4.051	35.327	77.71	0	0.1	0.1
14.385	153.75	4.051	36.885	72.724	0	0.1	0.1
16.245	148.764	4.363	38.132	68.361	0	0.1	0.1
17.972	149.387	4.363	40.625	64.31	0	0.1	0.1
19.765	148.764	4.363	43.118	60.57	0	0.1	0.1
21.625	146.271	4.363	44.365	57.454	0	0.1	0.1
23.352	145.648	4.362	45.611	54.961	0	0.1	0.1
25.145	147.517	4.363	47.481	52.467	0	0.1	0.1
27.005	146.582	4.363	47.17	50.598	0	0.1	0.1
28.798	148.452	4.675	46.235	48.728	0	0.1	0.1
30.525	149.387	4.986	46.546	47.17	0	0.1	0.1
32.385	150.322	4.051	46.235	46.235	0	0.1	0.1
34.179	149.387	4.052	44.365	44.053	0	0.1	0.1
35.972	150.01	4.675	42.183	43.43	0	0.1	0.1
37.765	148.141	6.544	43.118	42.183	0	0.1	0.1
39.559	150.01	4.363	40.937	41.248	0	0.1	0.1
41.418	151.569	5.298	41.248	40.313	0	0.1	0.1
43.212	152.192	7.791	39.067	40.002	0	0.1	0.1
