#Distance	deblok	ngc 3198					
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
3.992	113.758	1.515	0	93.308	0	0.1	0.1
5.147	134.207	1.515	0	109.971	0	0.1	0.1
6.468	142.539	5.68	8.102	125.119	0	0.1	0.1
7.54	143.296	5.681	14.919	126.255	0	0.1	0.1
8.778	147.083	6.059	20.599	122.468	0	0.1	0.1
10.428	152.006	3.787	26.279	118.302	0	0.1	0.1
12.078	156.172	3.787	30.066	113	0	0.1	0.1
13.151	159.201	2.651	35.747	109.214	0	0.1	0.1
14.471	156.929	3.03	37.262	104.291	0	0.1	0.1
15.709	151.249	5.301	38.019	100.504	0	0.1	0.1
16.039	150.491	4.923	38.019	99.367	0	0.1	0.1
17.689	150.87	4.166	38.019	94.066	0	0.1	0.1
18.927	151.627	4.166	39.912	90.279	0	0.1	0.1
20.082	153.521	4.166	42.563	87.628	0	0.1	0.1
21.32	152.006	3.03	44.457	84.598	0	0.1	0.1
22.475	150.491	3.409	44.078	81.948	0	0.1	0.1
23.3	149.734	3.408	43.321	80.054	0	0.1	0.1
24.538	150.491	3.03	44.835	77.403	0	0.1	0.1
25.776	149.734	3.029	48.622	75.131	0	0.1	0.1
26.518	148.598	3.787	49.758	73.995	0	0.1	0.1
27.756	148.219	4.166	50.895	72.101	0	0.1	0.1
28.168	147.083	4.166	51.273	71.344	0	0.1	0.1
29.324	145.947	4.544	51.273	69.829	0	0.1	0.1
30.561	145.19	4.923	50.516	67.936	0	0.1	0.1
31.716	145.947	4.544	50.137	66.8	0	0.1	0.1
32.954	147.462	4.165	50.516	65.285	0	0.1	0.1
