#Distance	Gentile (TAM) NGC 3521						
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.627	87.211	18.495	0.506	128.164	0	0.1	0.1
1.286	184.728	15.539	0.506	165.398	0	0.1	0.1
1.946	217.233	7.857	0.506	182.537	0	0.1	0.1
2.605	221.962	10.22	0.506	193.175	0	0.1	0.1
3.264	224.326	4.901	0.506	197.903	0	0.1	0.1
3.923	231.418	4.31	12.326	200.267	0	0.1	0.1
4.582	232.6	4.901	20.009	197.903	0	0.1	0.1
5.241	230.827	10.22	22.964	191.402	0	0.1	0.1
5.9	229.645	7.265	23.555	184.31	0	0.1	0.1
6.518	230.827	7.856	25.919	178.991	0	0.1	0.1
7.177	229.645	9.038	31.238	174.263	0	0.1	0.1
7.837	227.281	11.993	34.784	168.944	0	0.1	0.1
8.496	226.099	9.629	37.739	164.216	0	0.1	0.1
9.196	221.962	13.766	40.694	160.079	0	0.1	0.1
9.814	208.959	26.178	43.649	155.941	0	0.1	0.1
10.473	210.732	29.724	46.604	152.395	0	0.1	0.1
11.132	217.233	28.542	47.786	148.849	0	0.1	0.1
11.791	214.869	29.133	48.968	145.303	0	0.1	0.1
12.45	213.687	26.769	50.151	142.348	0	0.1	0.1
13.11	213.687	26.769	49.56	139.984	0	0.1	0.1
13.769	214.278	25.587	50.742	137.029	0	0.1	0.1
14.428	210.141	28.542	50.742	134.665	0	0.1	0.1
15.087	193.002	24.996	48.968	132.301	0	0.1	0.1
15.705	187.683	22.04	47.195	129.937	0	0.1	0.1
16.364	185.91	21.449	46.604	127.573	0	0.1	0.1
17.023	184.137	19.676	45.422	125.8	0	0.1	0.1
17.682	182.364	19.085	44.831	124.027	0	0.1	0.1
18.341	189.456	17.312	44.24	122.254	0	0.1	0.1
19.001	190.047	17.903	43.058	120.481	0	0.1	0.1
19.66	190.047	17.312	42.467	119.299	0	0.1	0.1
20.319	193.002	17.312	41.876	118.117	0	0.1	0.1
20.978	198.321	16.131	41.285	118.117	0	0.1	0.1
21.637	201.276	16.722	40.694	118.117	0	0.1	0.1
22.008	204.231	15.54	40.694	118.117	0	0.1	0.1
