#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.752	149.032	6.581	0.00E+00	127.9721	0.00E+00	0.1	0.1
0.961	161.013	3.171	0.00E+00	135.953	0.00E+00	0.1	0.1
1.241	166.298	5.638	0.00E+00	145.158	0.00E+00	0.1	0.1
1.451	174.403	2.819	0.00E+00	150.973	0.00E+00	0.1	0.1
1.731	180.041	4.244	0.00E+00	155.977	0.00E+00	0.1	0.1
1.941	183.917	3.524	0.00E+00	160.896	0.00E+00	0.1	0.1
2.221	190.26	3.876	0.00E+00	163.194	0.00E+00	0.1	0.1
2.5	195.546	4.228	0.00E+00	166.828	0.00E+00	0.1	0.1
2.71	200.126	3.172	0.00E+00	169.718	0.00E+00	0.1	0.1
2.92	204.003	2.466	0.00E+00	173.96	0.00E+00	0.1	0.1
3.2	206.469	3.876	0.00E+00	174.882	0.00E+00	0.1	0.1
3.41	206.822	4.228	0.00E+00	170.894	0.00E+00	0.1	0.1
3.69	203.65	4.229	0.00E+00	166.304	0.00E+00	0.1	0.1
3.969	199.422	2.819	0.00E+00	164.298	0.00E+00	0.1	0.1
4.249	196.25	3.524	0.00E+00	163.503	0.00E+00	0.1	0.1
4.949	196.25	3.524	0.00E+00	161.093	0.00E+00	0.1	0.1
5.648	204.355	2.37	0.00E+00	165.776	0.00E+00	0.1	0.1
6.348	207.879	3.171	0.00E+00	166.611	0.00E+00	0.1	0.1
7.117	207.879	4.228	0.00E+00	167.469	0.00E+00	0.1	0.1
7.817	208.231	3.876	0.00E+00	168.369	0.00E+00	0.1	0.1
8.586	209.641	3.876	0.00E+00	167.494	0.00E+00	0.1	0.1
9.286	208.584	4.416	0.00E+00	166.293	0.00E+00	0.1	0.1
10.055	208.584	2.819	0.00E+00	165.302	0.00E+00	0.1	0.1
10.755	209.288	5.991	0.00E+00	164.007	0.00E+00	0.1	0.1
11.524	209.993	8.457	0.00E+00	164.371	0.00E+00	0.1	0.1
12.224	211.755	9.514	0.00E+00	164.015	0.00E+00	0.1	0.1
12.993	210.698	9.514	0.00E+00	163.918	0.00E+00	0.1	0.1
13.693	208.231	9.514	0.00E+00	162.943	0.00E+00	0.1	0.1
14.463	209.993	8.809	0.00E+00	162.28	0.00E+00	0.1	0.1
15.232	209.288	9.867	0.00E+00	161.789	0.00E+00	0.1	0.1
15.932	204.707	8.457	0.00E+00	161.479	0.00E+00	0.1	0.1
16.631	199.422	9.162	0.00E+00	159.206	0.00E+00	0.1	0.1
17.401	200.831	7.048	0.00E+00	157.458	0.00E+00	0.1	0.1
18.1	204.355	5.638	0.00E+00	155.095	0.00E+00	0.1	0.1
18.87	203.298	7.047	0.00E+00	153.256	0.00E+00	0.1	0.1
19.569	199.069	9.162	0.00E+00	151.278	0.00E+00	0.1	0.1
20.339	195.193	8.81	0.00E+00	150.13	0.00E+00	0.1	0.1
21.108	195.546	9.161	0.00E+00	149.521	0.00E+00	0.1	0.1
21.808	196.955	9.514	0.00E+00	147.105	0.00E+00	0.1	0.1
22.507	198.717	8.809	0.00E+00	146.813	0.00E+00	0.1	0.1
23.277	198.012	9.867	0.00E+00	145.64	0.00E+00	0.1	0.1
23.906	201.888	9.867	0.00E+00	145.974	0.00E+00	0.1	0.1
24.746	199.774	11.629	0.00E+00	144.362	0.00E+00	0.1	0.1
25.445	199.422	12.685	0.00E+00	143.999	0.00E+00	0.1	0.1
26.145	205.06	9.514	0.00E+00	144.073	0.00E+00	0.1	0.1
26.914	199.422	13.742	0.00E+00	142.164	0.00E+00	0.1	0.1
27.614	197.307	10.924	0.00E+00	140.004	0.00E+00	0.1	0.1
28.383	191.317	13.39	0.00E+00	137.825	0.00E+00	0.1	0.1
29.153	192.022	11.981	0.00E+00	135.261	0.00E+00	0.1	0.1
29.922	194.488	8.597	0.00E+00	132.956	0.00E+00	0.1	0.1
30.622	193.431	9.162	0.00E+00	131.08	0.00E+00	0.1	0.1
31.321	190.965	12.685	0.00E+00	130.946	0.00E+00	0.1	0.1
32.021	187.793	9.846	0.00E+00	129.125	0.00E+00	0.1	0.1
32.774	187.356	7.561	0.00E+00	127.887	0.00E+00	0.1	0.1
33.02	190.992	9.108	0.00E+00	125.348	0.00E+00	0.1	0.1
33.192	194.237	5.763	0.00E+00	124.024	0.00E+00	0.1	0.1
33.761	194.605	5.384	0.00E+00	123.255	0.00E+00	0.1	0.1
34.5	191.552	7.5	0.00E+00	122.668	0.00E+00	0.1	0.1
34.768	191.544	8.235	0.00E+00	121.189	0.00E+00	0.1	0.1
35.196	187.173	8.009	0.00E+00	120.585	0.00E+00	0.1	0.1
35.727	188.577	8.993	0.00E+00	119.513	0.00E+00	0.1	0.1
36.181	190.418	7.426	0.00E+00	118.329	0.00E+00	0.1	0.1
36.461	190.242	7.602	0.00E+00	117.448	0.00E+00	0.1	0.1
36.693	187.373	6.749	0.00E+00	116.944	0.00E+00	0.1	0.1
36.984	188.769	6.941	0.00E+00	115.402	0.00E+00	0.1	0.1
37.215	186.175	7.251	0.00E+00	114.171	0.00E+00	0.1	0.1
37.447	180.038	8.589	0.00E+00	113.75	0.00E+00	0.1	0.1
37.657	175.566	6.776	0.00E+00	112.411	0.00E+00	0.1	0.1
37.925	174.223	6.556	0.00E+00	111.158	0.00E+00	0.1	0.1
38.144	171.531	7.001	0.00E+00	110.807	0.00E+00	0.1	0.1
38.432	173.994	6.859	0.00E+00	108.468	0.00E+00	0.1	0.1
