#Distance	Gentile (TaM)						
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
2.853	253.696	7.582	0.051	44.853	45.542	0.1	0.1
3.474	243.357	13.785	0.051	106.196	111.71	0.1	0.1
4.095	253.696	11.028	0.051	135.145	155.822	0.1	0.1
4.717	261.967	13.096	0.051	151.687	186.149	0.1	0.1
5.294	268.171	13.785	0.051	168.918	166.85	0.1	0.1
5.915	261.967	12.407	0.051	180.635	152.376	0.1	0.1
6.537	259.21	8.271	0.051	185.46	141.348	0.1	0.1
7.158	260.589	5.514	0.051	187.528	133.077	0.1	0.1
7.779	263.346	11.028	0.051	184.771	125.495	0.1	0.1
8.356	264.035	15.853	6.254	181.325	119.292	0.1	0.1
8.978	257.142	14.475	5.565	178.568	114.467	0.1	0.1
9.599	248.871	13.096	9.701	176.5	109.642	0.1	0.1
10.176	246.114	13.785	18.661	174.432	105.507	0.1	0.1
10.842	250.25	14.474	17.282	170.986	102.061	0.1	0.1
11.419	251.628	11.718	20.039	168.918	97.925	0.1	0.1
12.04	250.25	11.028	25.554	166.161	95.857	0.1	0.1
12.661	248.182	11.717	29.689	163.404	92.411	0.1	0.1
13.283	245.425	9.65	33.135	161.336	90.343	0.1	0.1
13.904	243.357	8.961	34.514	158.579	87.586	0.1	0.1
14.481	240.6	7.582	33.135	155.133	85.518	0.1	0.1
15.103	239.222	6.892	33.825	152.376	83.451	0.1	0.1
15.724	240.6	8.271	36.582	150.308	81.383	0.1	0.1
16.301	242.668	8.96	37.96	148.24	80.004	0.1	0.1
16.922	244.736	9.649	42.096	146.862	78.626	0.1	0.1
17.588	242.668	10.339	44.853	145.484	77.247	0.1	0.1
18.165	242.668	8.271	48.299	144.794	75.18	0.1	0.1
18.786	239.911	8.96	50.367	143.416	74.49	0.1	0.1
19.408	238.533	8.96	53.124	142.037	72.423	0.1	0.1
20.029	238.533	7.581	55.881	140.659	71.044	0.1	0.1
20.651	240.6	7.582	57.948	139.969	70.355	0.1	0.1
21.228	244.047	5.514	60.705	138.591	69.666	0.1	0.1
21.849	244.047	6.203	63.462	138.591	68.287	0.1	0.1
22.47	246.804	8.96	64.152	136.523	66.909	0.1	0.1
23.092	248.182	8.96	60.705	135.145	65.53	0.1	0.1
23.713	253.696	7.582	58.638	133.766	64.841	0.1	0.1
24.113	255.764	8.271	57.948	132.388	64.152	0.1	0.1
