#Distance: 14.4 Mpc	Fraternalli						
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.639	265.537	14.962	1.00E-02	37.072	243.8	0.1	0.1
1.709	249.925	15.612	1.00E-02	86.692	221.9	0.1	0.1
2.834	233.662	7.155	1.00E-02	118.5	198.6	0.1	0.1
3.96	230.409	6.505	1.00E-02	142.3	182.7	0.1	0.1
5.085	228.457	5.205	1.00E-02	157.9	168.8	0.1	0.1
6.238	228.457	5.205	1.00E-02	168	157.6	0.1	0.1
7.363	227.156	5.855	1.00E-02	175.6	147.4	0.1	0.1
8.489	226.506	4.553	5.10E+00	178.595	138.9	0.1	0.1
9.641	223.253	3.903	1.05E+01	178	135	0.1	0.1
10.794	218.7	4.553	1.61E+01	176.9	129	0.1	0.1
11.892	216.748	3.903	1.83E+01	175.6	122.8	0.1	0.1
13.017	214.796	3.904	1.97E+01	171.3	118.3	0.1	0.1
14.143	214.146	3.903	1.75E+01	169.1	113.3	0.1	0.1
15.295	214.146	3.252	1.97E+01	164.8	110.1	0.1	0.1
16.421	213.495	5.205	2.26E+01	162.2	106.7	0.1	0.1
17.573	214.146	5.204	2.28E+01	157.1	105	0.1	0.1
18.699	214.146	4.554	2.33E+01	151	101.4	0.1	0.1
19.824	214.796	5.205	2.30E+01	146.8	97.96	0.1	0.1
