#Distance	9.16 ± 0.63						
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.364	29.112	6.759	0	15	0.0	0.1	0.1
0.638	23.963	7.402	0	24.2	0.0	0.1	0.1
0.913	26.859	5.794	1.8	29.7	0.0	0.1	0.1
1.16	30.078	7.402	5.7	35.7	0.0	0.1	0.1
1.435	35.871	5.471	5.3	39.6	0.0	0.1	0.1
1.682	35.549	4.828	6.3	43.5	0.0	0.1	0.1
1.984	37.802	3.54	7.7	46.7	0.0	0.1	0.1
2.232	41.664	3.54	9.7	50.3	0.0	0.1	0.1
2.506	44.561	4.183	11.4	52.4	0.0	0.1	0.1
2.781	49.066	4.506	10.6	53.3	0.0	0.1	0.1
3.056	53.25	3.54	10.5	54.6	0.0	0.1	0.1
3.303	54.538	4.827	8.3	56	0.0	0.1	0.1
3.605	55.503	4.506	8.2	56.9	0.0	0.1	0.1
3.852	57.756	5.471	10	57.8	0.0	0.1	0.1
4.099	60.653	6.758	13	58.4	0.0	0.1	0.1
4.347	64.515	6.114	16	59	0.0	0.1	0.1
4.649	71.917	6.758	16	60	0.0	0.1	0.1
4.923	76.744	7.081	13	61	0.0	0.1	0.1
5.171	78.675	6.759	14	62	0.0	0.1	0.1
5.445	76.101	5.471	12	62	0.0	0.1	0.1
5.692	72.882	8.368	12	61	0.0	0.1	0.1
5.967	71.273	8.368	13	61.7	0.0	0.1	0.1
6.269	72.239	8.367	13	62	0.0	0.1	0.1
6.489	80.928	6.115	12	63	0.0	0.1	0.1
6.764	82.538	6.436	15	64.5	0.0	0.1	0.1
7.066	88.652	4.184	20	66	0.0	0.1	0.1
7.341	92.515	4.505	22	66	0.0	0.1	0.1
7.588	97.02	4.506	24	66.7	0.0	0.1	0.1
7.835	100.239	5.793	24	67	0.0	0.1	0.1
8.11	103.779	6.437	24	67	0.0	0.1	0.1
8.384	104.423	6.758	23	67	0.0	0.1	0.1
8.632	106.354	6.114	24	67	0.0	0.1	0.1
8.906	107.641	7.724	25	67	0.0	0.1	0.1
9.181	105.388	7.402	26	68	0.0	0.1	0.1
9.456	105.71	7.724	27	68	0.0	0.1	0.1
9.73	108.606	6.115	30	68	0.0	0.1	0.1
9.977	111.825	5.793	30	69	0.0	0.1	0.1
10.252	110.216	5.471	30	69.4	0.0	0.1	0.1
10.554	108.928	5.472	33	69.8	0.0	0.1	0.1
10.801	110.859	4.828	34	70	0.0	0.1	0.1
11.021	109.572	5.149	36	70.4	0.0	0.1	0.1
11.296	110.537	5.794	38	70.6	0.0	0.1	0.1
11.571	111.181	5.15	39	70.7	0.0	0.1	0.1
11.845	112.79	5.15	41	71	0.0	0.1	0.1
12.12	113.434	5.149	44	71.5	0.0	0.1	0.1
12.367	113.756	6.437	45	71	0.0	0.1	0.1
12.642	113.112	6.759	46	71.5	0.0	0.1	0.1
12.916	113.756	7.402	47	72.6	0.0	0.1	0.1
