From the SPARC website
Galaxy	L/R sof
CamB_rotmod	0.06198347107
D564-8_rotmod	0.04583333333
D631-7_rotmod	0.1606557377
DDO154_rotmod	0.08153846154
DDO168_rotmod	0.1480620155
ESO444-G084_rotmod	0.09466666667
IC2574_rotmod	0.3194968553
NGC0024_rotmod	1.934825871
NGC0055_rotmod	1.261035422
NGC0247_rotmod	1.249063032
NGC0300_rotmod	1.650847458
NGC2403_rotmod	4.648611111
NGC2683_rotmod	24.07634731
NGC2841_rotmod	34.14174229
NGC2915_rotmod	1.209433962
NGC2976_rotmod	2.573282443
NGC3109_rotmod	0.1182926829
NGC3198_rotmod	6.554623288
NGC3741_rotmod	0.0875
NGC4214_rotmod	1.63
NGC5055_rotmod	36.58421053
NGC6503_rotmod	7.929012346
NGC6789_rotmod	0.1923076923
NGC6946_rotmod	15.75547619
NGC7331_rotmod	62.81478697
NGC7793_rotmod	3.219178082
UGC04483_rotmod	0.05
UGC07232_rotmod	0.2456521739
UGC07524_rotmod	0.6747922438
UGC07559_rotmod	0.1112244898
UGC07577_rotmod	0.05844155844
UGC07866_rotmod	0.1305263158
UGC08490_rotmod	0.8921052632
UGC08837_rotmod	0.2226666667
UGCA442_rotmod	0.08187134503
UGCA444_rotmod	0.02926829268
