# Milky Way	 McGaugh 2019 https://astroweb.case.edu/ssm/models/
# GAIA (9.47 - 16.52)analytically extended McGaugh to match Jiao	
#r - v_rot	
0.0176	8.232281893
0.0353	16.19189927
0.0715	24.23038328
0.0871	30.68364153
0.1015	81.375371
0.203	117.709371
0.3045	138.768371
0.4061	152.713371
0.5076	162.527371
0.6091	169.617371
0.7106	174.771371
0.8122	178.477371
0.9137	181.075371
1.0152	182.809371
1.1167	183.875371
1.2183	184.429371
1.3198	184.599371
1.4213	184.498371
1.5228	184.213371
1.6244	183.807371
1.7259	183.227371
1.7705	182.933371
2.2416	184.658371
2.5096	187.103371
2.7858	192.416371
3.0538	201.269371
3.3218	207.939371
3.5736	206.189371
3.7929	208.298371
4.0528	214.740371
4.3046	220.178371
4.5401	221.482371
4.7594	220.403371
4.9706	219.761371
5.2062	218.747371
5.4254	218.273371
5.6204	222.207371
5.8234	226.852371
6.0265	230.649371
6.2052	234.060371
6.3838	238.081371
6.5463	239.064371
6.725	236.454371
6.8874	235.343371
7.0255	234.924371
7.1636	234.721371
7.2854	234.066371
7.4153	232.837371
7.5209	232.081371
7.6184	231.313371
8.122	223.473371
8.593	223.804371
8.8448	224.216371
9.46768061	221.498371
10.4942966	223.127036
11.4638783	220.684039
12.4904943	222.312704
13.460076	223.941368
14.486692	221.498371
15.4562738	218.241042
16.4828897	215.798046
17.5095057	213.355049
18.5361217	209.283388
19.5057034	206.026059
20.5323194	202.76873
21.5589354	197.068404
22.5285171	197.068404
23.4980989	191.368078
24.5247148	187.296417
25.4942966	181.596091
26.5209125	175.895765
28.427	174.175765
30.4575	172.668765
35.5337	169.567765
40.61	167.310765
50.7625	164.269765
60.915	162.466765
71.0675	161.246765
81.22	160.360765
91.3725	159.686765
101.525	159.156765
121.83	158.375765
152.2875	157.610765
