#Distance	DATA FILES _ TaM_oversampled (two data points in Gentile per point o algo)						
#Radius	vObs	VError	vGas	vDisk	vBuldge 	SBdisk	SBbul
#kpc 	km/s	km/s	km/s	km/s	km/s		
4.101	297.498	15.33	0	177.926	215.944	0	0
4.519	305.47	10.424	0.1	187.124	204.906	0	0
4.852	307.922	7.972	0.1	195.095	200.5	0	0
5.27	309.149	7.971	0	203.067	190.19	0	0
5.603	310.988	4.906	0.1	207.972	185.897	0	0
6.021	312.828	4.905	0.1	215.944	177.926	0	0
6.354	314.668	6.131	0	223.302	169.341	0	0
6.772	316.507	6.132	0.1	228.208	163.209	0	0
7.189	317.12	5.519	0.1	230.66	158.304	0	0
7.523	318.347	4.905	0	233.726	153.398	0	0
7.94	320.799	5.519	0	237.405	148.493	0	0
8.274	321.413	3.679	0	242.311	144.814	0	0
8.691	322.026	3.679	0	244.764	141.134	0	0
9.025	322.639	3.679	0	248.443	138.682	0	0
9.442	322.639	3.679	0.1	250.896	135.616	0	0
9.776	322.639	3.679	0	252.122	132.55	0	0
10.193	323.252	3.679	0	252.122	130.097	0	0
10.527	323.252	3.679	4.393	252.122	127.644	0	0
10.944	323.252	3.679	7.459	250.896	125.805	0	0
11.278	323.252	3.066	9.912	250.896	123.965	0	0
11.695	323.865	3.68	11.751	250.282	120.899	0	0
12.029	323.252	4.906	14.817	249.056	118.446	0	0
12.446	322.639	4.292	17.27	247.83	117.22	0	0
12.78	321.413	4.905	19.109	245.99	115.38	0	0
13.197	320.186	4.906	19.109	243.537	114.154	0	0
13.615	320.186	6.132	19.109	241.698	112.314	0	0
13.948	320.799	4.293	19.109	239.858	110.475	0	0
14.366	321.413	4.905	19.109	238.019	109.249	0	0
14.783	320.799	5.519	19.109	235.566	108.022	0	0
15.117	318.96	4.292	18.496	232.5	106.183	0	0
15.451	317.12	4.293	17.883	230.047	104.956	0	0
15.868	316.507	3.066	17.883	227.594	104.343	0	0
16.285	315.894	3.679	18.496	224.528	102.503	0	0
16.619	313.441	4.906	19.109	220.849	101.277	0	0
16.953	312.215	4.292	19.109	218.397	100.664	0	0
17.37	310.988	4.906	19.109	215.944	98.824	0	0
17.704	310.375	4.906	19.109	213.491	97.598	0	0
18.121	309.149	5.519	19.109	211.651	96.371	0	0
18.455	308.536	5.518	20.336	209.199	95.758	0	0
18.872	307.309	7.359	22.175	206.133	94.532	0	0
19.289	306.083	9.198	22.175	203.68	93.919	0	0
19.623	304.856	10.425	22.175	201.227	92.692	0	0
20.04	304.857	10.424	22.789	199.388	92.079	0	0
20.374	303.63	10.424	22.175	198.161	91.466	0	0
20.791	301.177	11.038	20.949	195.708	90.24	0	0
21.125	301.177	9.811	20.949	193.869	89.626	0	0
21.542	299.951	9.198	20.336	192.642	88.4	0	0
21.96	299.951	8.585	21.562	190.19	87.787	0	0
22.294	300.564	7.972	22.789	188.963	87.174	0	0
22.711	301.177	7.359	22.175	187.124	86.56	0	0
23.045	300.564	7.972	23.402	184.671	85.334	0	0
23.462	301.177	7.972	25.241	183.445	84.721	0	0
23.796	300.564	7.972	25.855	181.605	84.108	0	0
24.213	299.951	7.971	27.081	180.379	83.494	0	0
24.547	299.951	7.971	29.534	178.539	82.881	0	0
24.964	299.951	8.585	30.76	177.926	82.268	0	0
25.298	299.338	8.584	33.826	175.473	81.655	0	0
25.715	299.951	9.198	35.666	174.86	81.042	0	0
26.049	299.951	9.198	36.892	173.634	80.429	0	0
26.466	300.564	9.811	38.118	171.794	79.815	0	0
26.8	300.564	9.198	38.732	170.568	79.202	0	0
27.217	300.564	9.811	39.958	169.341	79.202	0	0
27.634	300.564	11.038	41.184	168.115	78.589	0	0
27.968	300.564	12.264	41.184	166.275	77.976	0	0
28.385	299.338	14.103	41.184	166.275	76.749	0	0
28.719	299.951	14.103	41.184	163.823	76.749	0	0
29.136	297.498	15.943	41.797	162.596	76.136	0	0
29.47	295.659	17.782	41.797	161.983	75.523	0	0
29.888	297.498	18.396	41.797	160.757	75.523	0	0
30.221	296.272	19.622	41.797	159.53	74.91	0	0
30.639	296.885	19.622	41.797	158.917	74.297	0	0
30.972	293.819	20.849	41.797	157.077	74.297	0	0
31.39	290.14	22.688	41.797	155.851	73.683	0	0
31.807	290.14	23.301	41.184	155.238	73.07	0	0
32.141	285.848	23.914	41.184	154.011	72.457	0	0
32.475	286.461	21.461	42.411	152.785	72.457	0	0
32.892	284.621	21.462	42.411	150.946	71.844	0	0
33.309	285.234	19.622	41.797	150.332	71.231	0	0
33.643	285.234	19.622	42.411	149.719	70.617	0	0
34.06	286.461	19.622	41.797	149.106	70.617	0	0
34.394	288.914	17.782	42.411	147.266	70.004	0	0
34.811	285.234	17.783	43.024	147.266	69.391	0	0
35.145	284.621	16.556	42.411	146.04	69.391	0	0
35.562	284.008	15.33	42.411	145.427	69.391	0	0
35.896	282.168	14.717	43.024	144.814	68.778	0	0
36.313	283.395	14.716	42.411	144.2	68.778	0	0
36.731	284.008	14.103	42.411	141.748	67.551	0	0
37.064	282.168	14.104	43.024	141.748	66.938	0	0
37.482	282.782	12.877	42.411	141.134	66.938	0	0
37.815	282.782	13.49	43.024	139.908	66.325	0	0
38.233	280.942	12.877	43.024	139.908	66.325	0	0
38.566	280.942	11.651	43.024	138.682	65.712	0	0
38.984	282.168	11.651	43.024	137.455	65.712	0	0
39.317	281.555	11.651	43.024	136.842	65.712	0	0
39.735	281.555	10.425	43.024	136.229	65.712	0	0
40.069	281.555	10.425	43.637	135.616	65.712	0	0
40.486	279.716	11.037	43.637	134.389	65.099	0	0
40.82	279.102	10.425	44.25	133.776	64.486	0	0
41.237	279.102	10.425	44.25	133.163	63.872	0	0
41.571	278.489	11.651	44.25	132.55	63.872	0	0
41.988	279.102	11.038	43.637	132.55	63.872	0	0
42.405	276.65	11.65	43.637	131.323	63.872	0	0
42.739	276.037	11.65	44.25	130.71	62.646	0	0
43.156	276.037	11.65	44.25	130.71	62.646	0	0
43.49	275.423	12.877	44.25	129.484	62.646	0	0
43.824	273.584	12.264	44.25	129.484	62.033	0	0
44.241	272.971	12.263	44.25	128.257	61.42	0	0
44.658	274.197	12.264	44.25	127.644	61.42	0	0
44.992	273.584	12.264	43.637	127.644	61.42	0	0
45.409	273.584	11.65	43.637	127.031	60.806	0	0
45.743	273.584	10.424	43.637	125.805	60.806	0	0
46.16	272.971	10.424	44.25	125.191	60.806	0	0
46.578	271.744	11.038	44.863	124.578	60.806	0	0
