# Milky Way	test 1
# XueSofueGAIA  MW 	
#r (kpc)	#vel(km/s)
0.011	314.3090442
0.0415	313.9772784
0.0945	313.9623833
0.14	313.6534343
0.1945	313.2291687
0.2155	313.2202345
0.256	312.7246235
0.296	311.768391
0.349	310.2511179
0.404	308.1197484
0.449	305.4581267
0.496	303.6578075
0.5425	301.5949887
0.6045	299.0458447
0.652	297.7160437
0.6975	293.6166583
0.7435	289.4604699
0.8045	286.1803008
0.843	284.1243669
0.9125	282.8794982
0.96	279.9564881
1.0905	273.2487416
1.1605	271.1839019
1.2065	270.5447171
1.253	269.7180828
1.2915	268.5321214
1.3455	267.6797502
1.4005	267.2371226
1.447	266.6227816
1.494	265.3402955
1.5485	264.0815005
1.588	262.9867453
1.642	262.1168193
1.9025	258.1032518
1.9565	257.67429
2.009	256.7247908
2.0495	255.8361067
2.105	255.1018482
2.1515	254.4797989
2.205	253.5669613
2.259	252.9196091
2.2975	251.8238788
2.3435	251.2065722
2.39	250.4404504
2.4515	249.8636321
2.4975	249.4156094
2.5365	248.5925198
2.5985	248.0709904
2.653	247.630884
2.692	247.2293988
2.746	246.7225738
2.7925	246.003892
2.854	245.2112589
2.9	244.8099626
2.9525	244.4917851
3.0065	244.2472888
3.053	243.8740286
3.0915	243.5734986
3.146	243.113958
3.208	242.8283169
3.248	242.5322944
3.2935	242.0803724
3.347	241.7189902
3.4095	241.5250122
3.448	241.0998711
3.495	240.8221923
3.5415	240.6403348
3.596	239.6966838
3.6505	239.4460399
3.7115	239.251443
3.7425	238.985411
3.8045	238.7477189
3.851	238.5821665
3.9055	238.3541806
3.945	238.4130968
4.007	238.1015802
4.0525	237.7906205
4.1145	237.7475763
4.146	237.5506258
4.193	237.2088877
4.2555	237.1488903
4.302	236.8104446
4.3475	236.5882407
4.455	236.6247397
4.509	236.587122
4.548	236.3608792
4.6025	236.3414799
4.641	236.1142066
4.688	235.8576275
4.7425	235.6490704
4.8005	235.581535
4.8395	235.2609186
4.894	234.9371567
4.9485	234.7312331
4.994	234.4138145
5.0495	234.2043176
5.1115	234.0112971
5.15	234.1526122
5.204	234.0761525
5.243	233.9044172
5.312	234.0475555
5.3505	233.9892711
5.389	233.9362573
5.4495	233.8708849
5.488	233.704623
5.5655	233.6468483
5.6125	233.3510482
5.6655	233.1727853
