# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.19	3.90	2.73	3.86	0.54	0.00	0.00	0.00
0.37	6.01	2.27	6.61	1.19	0.00	0.00	0.00
0.56	7.40	2.06	8.33	1.74	0.00	0.00	0.00
0.74	8.88	1.79	8.22	1.93	0.00	0.00	0.00
0.93	9.99	1.83	8.03	1.97	0.00	0.00	0.00
1.11	11.61	1.61	8.13	1.99	0.00	0.00	0.00
1.30	12.70	1.63	7.72	1.96	0.00	0.00	0.00
1.48	15.51	1.68	7.44	1.90	0.00	0.00	0.00
1.67	18.02	1.70	7.34	1.96	0.00	0.00	0.00
1.85	19.29	2.20	7.97	2.10	0.00	0.00	0.00
2.04	20.78	2.71	8.60	2.25	0.00	0.00	0.00
2.22	20.06	1.98	8.45	2.49	0.00	0.00	0.00
2.41	18.47	2.48	8.39	2.62	0.00	0.00	0.00
2.59	18.74	2.06	8.22	2.76	0.00	0.00	0.00
