#Distance
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.23	15.33	4.48	-1.00	13.95	0.00	0.00	0.00
0.45	19.87	3.93	-0.35	28.91	0.00	0.00	0.00
0.68	18.53	2.51	1.67	44.48	0.00	0.00	0.00
0.91	20.20	1.81	-2.24	59.52	0.00	0.00	0.00
1.13	19.94	2.62	-4.20	74.43	0.00	0.00	0.00
1.36	20.30	2.18	-4.72	93.25	0.00	0.00	0.00
1.59	21.37	1.72	-2.74	117.42	0.00	0.00	0.00
1.82	22.58	1.95	2.85	142.97	0.00	0.00	0.00
2.04	23.07	2.08	6.56	169.90	0.00	0.00	0.00
2.27	23.64	1.79	7.70	193.37	0.00	0.00	0.00
2.50	26.64	1.87	7.49	215.01	0.00	0.00	0.00
2.72	29.98	1.80	7.73	239.00	0.00	0.00	0.00
2.95	34.41	2.06	11.24	266.63	0.00	0.00	0.00
3.18	38.03	1.83	14.76	294.40	0.00	0.00	0.00
3.40	42.92	1.68	16.66	317.88	0.00	0.00	0.00
3.63	47.27	1.85	17.23	337.91	0.00	0.00	0.00
3.86	51.91	2.18	17.15	354.56	0.00	0.00	0.00
4.08	55.52	2.56	18.01	371.47	0.00	0.00	0.00
4.31	57.05	2.41	18.75	386.03	0.00	0.00	0.00
4.54	58.52	2.19	19.65	400.66	0.00	0.00	0.00
4.76	60.51	2.05	20.39	414.45	0.00	0.00	0.00
4.99	62.06	2.17	20.99	427.27	0.00	0.00	0.00
5.22	61.78	2.26	21.14	438.45	0.00	0.00	0.00
5.45	60.87	2.31	21.76	448.03	0.00	0.00	0.00
5.67	60.89	2.22	22.01	455.51	0.00	0.00	0.00
5.90	60.15	2.39	21.71	462.25	0.00	0.00	0.00
6.13	60.03	2.34	21.05	466.40	0.00	0.00	0.00
6.35	61.71	2.13	20.66	469.71	0.00	0.00	0.00
6.58	61.42	2.01	20.32	472.06	0.00	0.00	0.00
6.81	63.16	1.98	19.95	473.96	0.00	0.00	0.00
7.03	63.45	2.10	19.61	475.81	0.00	0.00	0.00
7.26	60.65	2.04	19.17	478.13	0.00	0.00	0.00
7.49	59.87	2.20	19.39	482.35	0.00	0.00	0.00
7.71	62.02	2.11	20.49	487.13	0.00	0.00	0.00
