#Distance
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.25	1.99	5.48	5.75	4.22	0.00	0.00	0.00
0.38	7.81	5.35	6.89	6.84	0.00	0.00	0.00
0.51	11.78	7.49	6.92	9.22	0.00	0.00	0.00
0.63	12.49	7.91	8.08	10.95	0.00	0.00	0.00
0.76	15.03	9.00	9.98	12.69	0.00	0.00	0.00
0.89	14.40	8.28	12.27	13.85	0.00	0.00	0.00
1.02	16.39	9.94	14.35	14.79	0.00	0.00	0.00
1.14	16.17	11.71	14.07	15.71	0.00	0.00	0.00
1.27	16.51	9.03	14.91	16.18	0.00	0.00	0.00
1.40	18.11	9.93	15.20	16.39	0.00	0.00	0.00
1.52	20.80	9.15	15.43	16.35	0.00	0.00	0.00
1.65	24.67	7.00	15.86	16.32	0.00	0.00	0.00
1.78	27.85	7.48	16.07	16.28	0.00	0.00	0.00
1.90	30.79	7.91	16.55	16.73	0.00	0.00	0.00
2.03	31.28	9.21	17.27	17.01	0.00	0.00	0.00
2.16	33.26	12.96	17.85	17.19	0.00	0.00	0.00
2.28	35.53	13.18	18.35	17.33	0.00	0.00	0.00
2.41	34.62	15.42	19.13	17.68	0.00	0.00	0.00
2.54	32.68	13.47	19.49	18.13	0.00	0.00	0.00
2.67	31.85	12.78	19.42	18.46	0.00	0.00	0.00
2.79	32.42	13.02	19.51	18.98	0.00	0.00	0.00
2.92	29.36	10.60	20.27	19.69	0.00	0.00	0.00
3.05	34.10	10.12	21.69	20.95	0.00	0.00	0.00
3.17	35.31	9.61	31.27	22.55	0.00	0.00	0.00
