#Distance
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.01	0.35	4.08	-0.31	0.12	0.00	0.00	0.00
0.04	0.90	3.45	-0.69	0.27	0.00	0.00	0.00
0.06	1.88	4.34	-1.03	0.37	0.00	0.00	0.00
0.08	1.99	4.30	-1.42	0.48	0.00	0.00	0.00
0.11	3.09	3.46	-1.59	0.60	0.00	0.00	0.00
0.13	4.47	2.56	-1.82	0.74	0.00	0.00	0.00
0.16	4.42	2.87	-1.95	0.92	0.00	0.00	0.00
0.18	4.51	3.12	-1.58	1.06	0.00	0.00	0.00
0.21	4.63	3.65	0.84	1.19	0.00	0.00	0.00
0.23	6.34	3.16	1.19	1.30	0.00	0.00	0.00
0.25	7.51	2.86	1.20	1.45	0.00	0.00	0.00
0.28	8.66	2.92	0.67	1.61	0.00	0.00	0.00
0.30	10.49	2.49	1.49	1.78	0.00	0.00	0.00
0.33	10.43	2.47	2.42	1.90	0.00	0.00	0.00
0.35	11.59	2.26	2.83	2.01	0.00	0.00	0.00
0.38	12.11	2.15	3.00	2.09	0.00	0.00	0.00
0.40	12.93	2.00	3.11	2.18	0.00	0.00	0.00
0.42	13.78	1.82	3.46	2.28	0.00	0.00	0.00
0.45	14.58	2.02	3.80	2.38	0.00	0.00	0.00
0.47	15.20	1.85	4.21	2.49	0.00	0.00	0.00
0.50	15.34	2.09	4.51	2.58	0.00	0.00	0.00
0.52	15.41	2.08	4.74	2.66	0.00	0.00	0.00
0.55	16.56	2.27	5.21	2.73	0.00	0.00	0.00
0.57	16.64	2.41	5.71	2.82	0.00	0.00	0.00
0.59	16.94	2.40	6.13	2.92	0.00	0.00	0.00
0.62	17.63	2.30	6.30	3.03	0.00	0.00	0.00
0.64	18.23	2.29	6.59	3.16	0.00	0.00	0.00
0.67	19.04	2.15	6.87	3.27	0.00	0.00	0.00
0.69	19.60	2.11	7.24	3.35	0.00	0.00	0.00
0.72	19.60	2.15	7.47	3.41	0.00	0.00	0.00
0.74	20.54	2.25	7.79	3.47	0.00	0.00	0.00
0.76	21.26	2.65	8.18	3.55	0.00	0.00	0.00
0.79	21.87	3.13	8.48	3.62	0.00	0.00	0.00
0.81	21.97	3.12	8.71	3.70	0.00	0.00	0.00
