# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.15	19.70	5.32	-1.40	2.80	0.00	0.00	0.00
0.31	29.89	2.66	-1.59	4.85	0.00	0.00	0.00
0.46	39.05	2.73	3.39	6.27	0.00	0.00	0.00
0.62	46.07	4.57	7.55	7.40	0.00	0.00	0.00
0.77	51.12	4.15	8.53	8.52	0.00	0.00	0.00
0.92	57.85	3.74	7.85	9.51	0.00	0.00	0.00
1.08	65.20	3.09	8.47	10.24	0.00	0.00	0.00
1.23	67.95	2.83	10.94	10.67	0.00	0.00	0.00
1.38	68.54	3.15	15.38	10.62	0.00	0.00	0.00
1.54	68.88	3.57	17.62	10.29	0.00	0.00	0.00
1.69	71.38	3.38	19.85	9.95	0.00	0.00	0.00
1.85	71.77	3.33	19.61	9.66	0.00	0.00	0.00
2.00	73.92	3.86	19.61	9.39	0.00	0.00	0.00
2.15	73.75	4.29	19.38	9.08	0.00	0.00	0.00
2.31	73.15	4.09	19.97	8.74	0.00	0.00	0.00
2.46	72.26	4.07	20.33	8.44	0.00	0.00	0.00
2.61	69.80	3.72	20.90	8.20	0.00	0.00	0.00
2.77	67.71	3.81	20.89	7.94	0.00	0.00	0.00
2.92	64.11	4.55	21.20	7.80	0.00	0.00	0.00
3.08	56.75	5.09	21.02	7.76	0.00	0.00	0.00
3.23	46.01	4.19	20.51	7.73	0.00	0.00	0.00
3.38	43.62	2.99	20.67	7.71	0.00	0.00	0.00
3.54	27.35	5.40	25.95	7.78	0.00	0.00	0.00
