# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.08	5.18	1.85	-1.05	1.20	0.00	0.00	0.00
0.17	9.17	1.39	0.94	2.29	0.00	0.00	0.00
0.25	12.28	1.75	3.23	3.34	0.00	0.00	0.00
0.33	15.48	2.26	4.59	4.38	0.00	0.00	0.00
0.42	17.00	2.97	5.59	5.19	0.00	0.00	0.00
0.50	20.76	3.58	7.19	5.60	0.00	0.00	0.00
0.58	21.96	3.63	8.10	5.91	0.00	0.00	0.00
0.67	24.82	3.14	8.43	6.02	0.00	0.00	0.00
0.75	24.14	2.75	8.32	5.98	0.00	0.00	0.00
0.83	23.28	2.46	8.09	5.95	0.00	0.00	0.00
0.92	23.00	2.46	8.00	5.92	0.00	0.00	0.00
1.00	22.86	2.70	7.88	5.90	0.00	0.00	0.00
1.08	22.15	3.01	7.95	5.93	0.00	0.00	0.00
1.16	22.38	2.99	8.19	5.96	0.00	0.00	0.00
1.25	22.46	2.93	8.28	5.99	0.00	0.00	0.00
1.33	23.64	3.13	8.09	6.01	0.00	0.00	0.00
1.41	25.67	3.28	8.24	6.01	0.00	0.00	0.00
1.50	28.73	3.21	8.63	6.00	0.00	0.00	0.00
1.58	32.15	2.98	8.77	5.94	0.00	0.00	0.00
1.66	35.45	2.63	8.78	5.95	0.00	0.00	0.00
1.75	38.61	2.59	8.99	5.95	0.00	0.00	0.00
1.83	40.02	2.75	9.97	5.95	0.00	0.00	0.00
1.91	40.71	3.15	11.26	5.99	0.00	0.00	0.00
2.00	42.38	3.28	12.31	6.11	0.00	0.00	0.00
