# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.34	11.65	3.76	1.83	2.63	0.00	0.00	0.00
0.67	17.27	3.34	2.53	4.05	0.00	0.00	0.00
1.01	19.97	2.07	2.69	4.98	0.00	0.00	0.00
1.35	25.55	2.52	5.29	7.01	0.00	0.00	0.00
1.69	31.09	2.98	7.57	8.96	0.00	0.00	0.00
2.02	36.29	4.39	8.21	10.04	0.00	0.00	0.00
2.36	36.70	4.52	9.16	10.18	0.00	0.00	0.00
2.70	32.67	3.89	9.16	9.75	0.00	0.00	0.00
3.04	28.90	3.96	8.45	9.09	0.00	0.00	0.00
3.37	21.30	4.44	7.99	8.55	0.00	0.00	0.00
3.71	18.94	4.63	8.02	8.49	0.00	0.00	0.00
