# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.16	10.83	7.19	3.77	1.07	0.00	0.00	0.00
0.31	18.73	5.11	6.62	1.81	0.00	0.00	0.00
0.47	24.67	5.83	8.69	2.18	0.00	0.00	0.00
0.63	27.62	3.99	9.48	2.09	0.00	0.00	0.00
0.79	30.05	4.00	10.13	1.93	0.00	0.00	0.00
0.94	32.87	3.49	10.19	1.82	0.00	0.00	0.00
1.10	29.87	3.43	9.31	1.65	0.00	0.00	0.00
1.26	29.37	3.98	9.59	1.60	0.00	0.00	0.00
1.42	30.93	4.12	9.44	1.61	0.00	0.00	0.00
1.57	30.56	3.55	8.87	1.68	0.00	0.00	0.00
1.73	33.00	4.20	9.49	1.98	0.00	0.00	0.00
1.89	35.21	3.99	9.58	0.00	0.00	0.00	0.00
2.05	32.88	4.22	9.89	0.00	0.00	0.00	0.00
2.20	30.95	4.34	9.55	0.00	0.00	0.00	0.00
2.36	32.60	4.41	9.11	0.00	0.00	0.00	0.00
2.52	32.80	4.27	8.88	0.00	0.00	0.00	0.00
2.67	32.66	4.62	8.41	0.00	0.00	0.00	0.00
2.83	33.20	4.12	9.00	0.00	0.00	0.00	0.00
2.99	30.05	4.41	9.79	0.00	0.00	0.00	0.00
3.15	30.74	4.30	9.01	0.00	0.00	0.00	0.00
3.30	32.23	4.27	8.57	0.00	0.00	0.00	0.00
3.46	35.44	3.91	8.48	0.00	0.00	0.00	0.00
3.62	40.25	4.37	8.29	0.00	0.00	0.00	0.00
3.78	35.81	5.63	8.03	0.00	0.00	0.00	0.00
3.93	29.01	4.48	7.36	0.00	0.00	0.00	0.00
4.09	29.40	3.69	7.78	0.00	0.00	0.00	0.00
4.25	28.02	4.47	8.35	0.00	0.00	0.00	0.00
4.41	28.21	4.57	9.41	0.00	0.00	0.00	0.00
4.56	30.74	5.48	11.45	0.00	0.00	0.00	0.00
4.72	27.53	5.02	11.41	0.00	0.00	0.00	0.00
4.88	30.25	4.47	10.64	0.00	0.00	0.00	0.00
5.03	27.54	4.63	12.00	0.00	0.00	0.00	0.00
