# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.32	11.44	7.19	3.40	5.44	0.00	0.00	0.00
0.63	15.11	7.30	6.86	9.81	0.00	0.00	0.00
0.95	18.71	7.37	10.47	12.64	0.00	0.00	0.00
1.26	23.98	6.74	13.34	12.90	0.00	0.00	0.00
1.58	26.24	4.88	15.22	12.80	0.00	0.00	0.00
1.89	30.35	6.58	15.37	11.73	0.00	0.00	0.00
2.21	34.78	8.53	14.62	10.87	0.00	0.00	0.00
2.52	37.45	8.82	14.23	10.24	0.00	0.00	0.00
2.84	45.59	8.51	13.10	9.67	0.00	0.00	0.00
3.16	49.47	6.59	13.31	9.54	0.00	0.00	0.00
