# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.06	1.95	12.71	1.86	3.80	0.00	0.00	0.00
0.08	-2.43	10.70	1.67	5.17	0.00	0.00	0.00
0.10	5.09	9.85	0.87	6.47	0.00	0.00	0.00
0.12	4.49	9.73	1.90	7.72	0.00	0.00	0.00
0.14	13.41	7.85	2.74	9.06	0.00	0.00	0.00
0.16	12.55	7.83	3.01	10.00	0.00	0.00	0.00
0.18	15.22	9.20	2.29	10.92	0.00	0.00	0.00
0.20	15.44	9.23	2.14	12.28	0.00	0.00	0.00
0.22	15.20	8.75	1.91	13.51	0.00	0.00	0.00
0.24	19.12	9.17	1.80	14.34	0.00	0.00	0.00
0.26	20.89	9.04	2.43	15.16	0.00	0.00	0.00
0.28	23.78	7.93	3.81	16.41	0.00	0.00	0.00
0.30	25.50	6.42	4.19	17.51	0.00	0.00	0.00
0.32	26.78	5.92	5.18	18.67	0.00	0.00	0.00
0.34	26.93	6.48	6.02	19.54	0.00	0.00	0.00
0.36	26.55	6.13	6.61	20.52	0.00	0.00	0.00
0.38	24.25	6.87	6.60	21.62	0.00	0.00	0.00
0.40	26.29	7.61	7.08	22.72	0.00	0.00	0.00
0.42	28.09	8.14	7.83	23.81	0.00	0.00	0.00
0.44	29.80	8.31	8.19	24.97	0.00	0.00	0.00
0.46	31.71	8.16	8.32	26.10	0.00	0.00	0.00
0.48	33.18	7.53	8.74	27.08	0.00	0.00	0.00
0.50	33.62	7.36	9.87	28.01	0.00	0.00	0.00
0.52	34.92	6.41	11.01	28.91	0.00	0.00	0.00
0.54	35.35	6.83	12.22	30.34	0.00	0.00	0.00
