#Distance
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.14	3.00	0.84	-2.94	0.34	0.00	0.00	0.00
0.17	4.01	2.66	-3.16	0.84	0.00	0.00	0.00
0.19	6.27	1.67	-3.32	1.22	0.00	0.00	0.00
0.21	5.34	1.38	-3.56	1.61	0.00	0.00	0.00
0.24	4.39	1.92	-3.03	1.95	0.00	0.00	0.00
0.26	4.48	1.87	-3.78	2.17	0.00	0.00	0.00
0.29	4.01	2.09	-4.25	2.40	0.00	0.00	0.00
0.31	3.70	1.80	-4.44	2.62	0.00	0.00	0.00
0.33	3.93	1.95	-4.52	2.85	0.00	0.00	0.00
0.36	4.02	2.35	-4.49	3.03	0.00	0.00	0.00
0.38	3.67	2.81	-4.55	3.25	0.00	0.00	0.00
0.40	4.09	2.72	-3.97	3.42	0.00	0.00	0.00
0.43	5.12	2.71	0.05	3.55	0.00	0.00	0.00
0.45	5.19	2.50	3.05	3.69	0.00	0.00	0.00
0.48	4.00	2.54	3.28	3.89	0.00	0.00	0.00
0.50	4.45	2.34	0.43	4.10	0.00	0.00	0.00
0.52	5.13	2.32	-2.59	4.29	0.00	0.00	0.00
0.55	6.75	2.34	-2.93	4.41	0.00	0.00	0.00
0.57	6.53	2.36	-2.25	4.53	0.00	0.00	0.00
0.59	5.95	2.41	-1.60	4.68	0.00	0.00	0.00
0.62	6.17	2.09	1.81	4.81	0.00	0.00	0.00
0.64	6.00	1.90	3.15	4.96	0.00	0.00	0.00
0.67	6.02	2.00	3.28	5.11	0.00	0.00	0.00
0.69	6.59	2.17	4.94	5.25	0.00	0.00	0.00
0.71	6.92	2.11	4.99	5.38	0.00	0.00	0.00
0.74	6.12	2.23	5.23	5.49	0.00	0.00	0.00
0.76	6.99	2.07	5.11	5.63	0.00	0.00	0.00
0.78	7.34	2.05	4.99	5.79	0.00	0.00	0.00
0.81	7.42	2.18	5.51	5.93	0.00	0.00	0.00
0.83	7.01	2.21	6.26	6.02	0.00	0.00	0.00
0.86	6.67	2.05	5.81	6.09	0.00	0.00	0.00
0.88	7.62	2.05	6.15	6.20	0.00	0.00	0.00
0.90	8.74	2.06	5.24	6.30	0.00	0.00	0.00
0.93	10.11	2.15	5.73	6.30	0.00	0.00	0.00
0.95	10.53	2.25	6.31	6.30	0.00	0.00	0.00
0.97	11.15	2.10	6.79	6.30	0.00	0.00	0.00
1.00	10.91	1.94	7.55	6.31	0.00	0.00	0.00
1.02	10.99	1.65	7.62	6.37	0.00	0.00	0.00
1.05	10.63	1.63	7.56	6.37	0.00	0.00	0.00
1.07	10.06	1.66	7.73	6.39	0.00	0.00	0.00
1.09	9.75	1.78	8.22	6.41	0.00	0.00	0.00
1.12	9.56	1.82	8.77	6.44	0.00	0.00	0.00
1.14	9.86	1.92	8.09	6.46	0.00	0.00	0.00
1.16	10.68	1.99	8.04	6.51	0.00	0.00	0.00
1.19	10.65	1.95	8.45	6.51	0.00	0.00	0.00
1.21	10.46	2.07	8.54	6.51	0.00	0.00	0.00
1.24	9.76	1.94	8.79	6.50	0.00	0.00	0.00
1.26	10.12	1.99	8.96	6.46	0.00	0.00	0.00
1.28	9.79	2.11	9.34	6.49	0.00	0.00	0.00
1.31	9.98	2.13	9.86	6.48	0.00	0.00	0.00
1.33	10.23	2.06	10.00	6.48	0.00	0.00	0.00
1.35	10.02	2.09	10.42	6.45	0.00	0.00	0.00
1.38	10.53	2.14	10.54	6.48	0.00	0.00	0.00
1.40	10.12	2.00	10.01	6.47	0.00	0.00	0.00
1.43	10.41	2.02	10.40	6.41	0.00	0.00	0.00
1.45	10.71	1.99	10.50	6.35	0.00	0.00	0.00
1.47	11.18	1.95	10.76	6.32	0.00	0.00	0.00
1.50	11.54	1.90	10.90	6.29	0.00	0.00	0.00
1.52	12.10	1.87	11.22	6.36	0.00	0.00	0.00
1.54	12.63	1.92	11.21	6.44	0.00	0.00	0.00
1.57	12.63	2.08	11.20	6.50	0.00	0.00	0.00
1.59	12.79	2.04	11.40	6.58	0.00	0.00	0.00
1.62	13.13	1.90	11.59	6.59	0.00	0.00	0.00
1.64	13.56	1.89	11.69	6.56	0.00	0.00	0.00
1.66	13.88	1.94	11.50	6.53	0.00	0.00	0.00
1.69	14.24	1.92	11.35	6.52	0.00	0.00	0.00
1.71	14.63	2.00	11.52	6.51	0.00	0.00	0.00
1.73	14.80	2.08	11.59	6.52	0.00	0.00	0.00
1.76	14.91	2.24	11.51	6.56	0.00	0.00	0.00
1.78	15.64	2.15	11.28	6.60	0.00	0.00	0.00
1.81	16.01	2.15	11.26	6.68	0.00	0.00	0.00
1.83	15.40	2.15	11.35	6.75	0.00	0.00	0.00
1.85	15.75	2.09	11.58	6.72	0.00	0.00	0.00
1.88	15.66	2.13	11.54	6.69	0.00	0.00	0.00
1.90	15.20	2.12	11.43	6.72	0.00	0.00	0.00
1.92	15.43	2.06	11.33	6.75	0.00	0.00	0.00
1.95	15.07	2.15	11.48	6.72	0.00	0.00	0.00
1.97	15.86	2.17	11.43	6.73	0.00	0.00	0.00
2.00	16.23	2.23	11.49	6.74	0.00	0.00	0.00
2.02	15.98	2.05	11.65	6.74	0.00	0.00	0.00
2.04	15.52	2.19	11.56	6.69	0.00	0.00	0.00
2.07	15.91	2.30	11.53	6.58	0.00	0.00	0.00
2.09	16.09	2.30	11.85	6.49	0.00	0.00	0.00
2.11	15.76	2.39	11.94	6.47	0.00	0.00	0.00
2.14	15.68	2.32	12.00	6.52	0.00	0.00	0.00
2.16	16.12	2.28	12.13	6.54	0.00	0.00	0.00
2.19	16.06	2.38	12.02	6.58	0.00	0.00	0.00
2.21	15.70	2.27	12.10	6.60	0.00	0.00	0.00
2.23	15.47	2.31	12.13	6.57	0.00	0.00	0.00
2.26	16.24	2.49	12.16	6.51	0.00	0.00	0.00
2.28	15.75	2.40	12.25	6.40	0.00	0.00	0.00
2.30	15.93	2.38	12.30	6.39	0.00	0.00	0.00
2.33	15.81	2.25	12.50	6.38	0.00	0.00	0.00
2.35	14.82	2.36	12.62	6.36	0.00	0.00	0.00
2.38	15.08	2.56	12.57	6.32	0.00	0.00	0.00
2.40	15.24	2.43	12.61	6.34	0.00	0.00	0.00
2.42	15.01	2.51	12.61	6.40	0.00	0.00	0.00
2.45	15.39	2.22	12.63	6.38	0.00	0.00	0.00
2.47	15.72	2.33	12.64	6.35	0.00	0.00	0.00
2.49	16.13	2.19	12.69	6.43	0.00	0.00	0.00
2.52	15.91	2.29	12.67	6.50	0.00	0.00	0.00
2.54	15.53	2.30	12.67	6.55	0.00	0.00	0.00
2.57	15.57	2.44	12.74	6.56	0.00	0.00	0.00
2.59	16.56	2.22	12.96	6.57	0.00	0.00	0.00
2.61	16.30	2.25	13.03	6.62	0.00	0.00	0.00
2.64	17.06	2.26	12.98	6.74	0.00	0.00	0.00
2.66	15.35	2.24	12.98	6.85	0.00	0.00	0.00
2.68	16.17	2.08	13.23	6.79	0.00	0.00	0.00
2.71	16.65	2.03	13.68	6.82	0.00	0.00	0.00
