# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.12	4.98	2.17	1.94	1.14	0.00	0.00	0.00
0.23	8.57	2.40	3.07	2.28	0.00	0.00	0.00
0.35	10.47	1.98	3.16	3.44	0.00	0.00	0.00
0.46	12.11	2.42	2.60	4.45	0.00	0.00	0.00
0.58	13.58	3.01	4.41	5.17	0.00	0.00	0.00
0.69	16.03	3.60	5.19	5.91	0.00	0.00	0.00
0.81	17.92	3.17	4.50	6.33	0.00	0.00	0.00
0.92	21.66	2.89	6.10	6.70	0.00	0.00	0.00
1.04	24.65	2.54	5.76	7.13	0.00	0.00	0.00
1.15	27.05	2.61	5.92	7.48	0.00	0.00	0.00
1.27	29.84	4.12	8.42	7.68	0.00	0.00	0.00
1.38	31.39	4.61	12.42	7.94	0.00	0.00	0.00
1.50	32.55	4.23	15.66	8.14	0.00	0.00	0.00
1.62	33.60	3.79	15.74	8.40	0.00	0.00	0.00
1.73	37.21	3.70	15.05	8.61	0.00	0.00	0.00
1.85	39.63	3.60	14.88	8.67	0.00	0.00	0.00
1.96	40.34	3.85	16.06	8.84	0.00	0.00	0.00
2.08	41.36	3.63	17.98	8.98	0.00	0.00	0.00
2.19	42.19	3.59	18.71	8.96	0.00	0.00	0.00
2.31	42.75	4.12	18.68	8.97	0.00	0.00	0.00
2.42	44.05	3.58	19.69	9.12	0.00	0.00	0.00
2.54	45.69	3.30	21.24	9.22	0.00	0.00	0.00
2.65	47.37	3.43	21.42	9.32	0.00	0.00	0.00
2.77	48.67	3.29	22.61	9.44	0.00	0.00	0.00
2.88	49.20	3.35	23.08	9.55	0.00	0.00	0.00
3.00	49.58	3.33	23.57	9.62	0.00	0.00	0.00
3.12	49.17	3.57	24.33	9.72	0.00	0.00	0.00
3.23	49.49	3.58	24.46	9.80	0.00	0.00	0.00
3.35	49.82	3.43	24.33	9.86	0.00	0.00	0.00
3.46	50.99	3.52	24.58	9.86	0.00	0.00	0.00
3.58	51.09	3.57	24.69	9.86	0.00	0.00	0.00
3.69	51.91	3.83	24.42	9.92	0.00	0.00	0.00
3.81	53.36	4.21	24.53	9.91	0.00	0.00	0.00
3.92	53.19	3.93	24.51	9.83	0.00	0.00	0.00
4.04	53.40	3.97	24.77	9.77	0.00	0.00	0.00
4.15	53.05	3.42	25.27	9.70	0.00	0.00	0.00
4.27	52.51	3.15	25.46	9.59	0.00	0.00	0.00
4.38	52.32	3.16	25.38	9.42	0.00	0.00	0.00
4.50	53.25	3.47	24.89	9.28	0.00	0.00	0.00
4.62	53.04	3.29	24.59	9.13	0.00	0.00	0.00
4.73	53.51	3.56	24.66	8.95	0.00	0.00	0.00
4.85	52.70	3.31	24.83	8.77	0.00	0.00	0.00
4.96	52.49	3.27	25.18	8.64	0.00	0.00	0.00
5.08	53.65	3.31	25.33	8.54	0.00	0.00	0.00
5.19	54.51	3.57	25.61	8.38	0.00	0.00	0.00
5.31	54.86	3.36	25.94	8.24	0.00	0.00	0.00
5.42	55.86	3.42	25.78	8.16	0.00	0.00	0.00
5.54	56.55	3.07	25.77	8.11	0.00	0.00	0.00
5.65	56.08	3.59	25.75	8.06	0.00	0.00	0.00
5.77	56.58	3.57	25.84	7.97	0.00	0.00	0.00
5.88	55.80	3.55	26.37	7.98	0.00	0.00	0.00
6.00	56.14	3.74	26.68	7.90	0.00	0.00	0.00
6.12	56.23	3.39	26.74	7.79	0.00	0.00	0.00
6.23	55.31	3.58	26.73	7.75	0.00	0.00	0.00
6.35	56.20	3.35	26.73	7.77	0.00	0.00	0.00
6.46	55.66	3.85	26.99	7.78	0.00	0.00	0.00
6.58	55.15	3.94	26.82	7.76	0.00	0.00	0.00
6.69	53.78	3.86	26.92	7.94	0.00	0.00	0.00
6.81	53.78	4.24	27.10	8.18	0.00	0.00	0.00
6.92	55.04	3.85	27.59	8.44	0.00	0.00	0.00
7.04	55.35	4.35	27.55	8.47	0.00	0.00	0.00
7.15	54.59	3.88	27.88	8.65	0.00	0.00	0.00
7.27	55.29	3.62	28.53	8.70	0.00	0.00	0.00
7.38	55.21	4.31	29.00	8.78	0.00	0.00	0.00
7.50	53.57	4.04	29.31	8.81	0.00	0.00	0.00
7.62	54.17	3.97	29.95	8.85	0.00	0.00	0.00
7.73	56.32	3.81	30.96	8.90	0.00	0.00	0.00
7.85	54.86	3.36	31.59	9.04	0.00	0.00	0.00
7.96	54.41	3.58	33.06	9.37	0.00	0.00	0.00
8.08	55.46	3.07	35.09	9.79	0.00	0.00	0.00
