#Distance
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.08	22.07	3.13	1.78	2.95	0.00	0.00	0.00
0.23	43.51	3.31	4.63	8.78	0.00	0.00	0.00
0.38	60.67	3.42	8.96	13.82	0.00	0.00	0.00
0.53	80.79	3.95	15.12	16.47	0.00	0.00	0.00
0.68	100.96	4.26	16.86	17.99	0.00	0.00	0.00
0.84	101.32	5.27	16.89	19.24	0.00	0.00	0.00
0.99	102.69	4.90	16.74	19.48	0.00	0.00	0.00
1.14	110.22	5.32	17.29	19.76	0.00	0.00	0.00
1.29	124.40	5.42	18.45	19.96	0.00	0.00	0.00
1.44	129.41	6.44	19.97	20.01	0.00	0.00	0.00
1.60	123.91	5.01	21.76	20.47	0.00	0.00	0.00
1.75	119.00	5.06	32.62	21.86	0.00	0.00	0.00
