# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.07	-1.34	3.22	-0.73	0.60	0.00	0.00	0.00
0.15	-0.71	4.00	-0.93	1.21	0.00	0.00	0.00
0.22	1.71	2.96	0.97	1.82	0.00	0.00	0.00
0.30	5.69	3.05	2.50	2.32	0.00	0.00	0.00
0.37	7.04	3.46	3.10	2.73	0.00	0.00	0.00
0.45	10.35	3.35	3.79	3.10	0.00	0.00	0.00
0.52	13.67	2.90	4.87	3.26	0.00	0.00	0.00
0.59	15.67	3.07	5.94	3.38	0.00	0.00	0.00
0.67	17.21	3.04	6.55	3.49	0.00	0.00	0.00
0.74	19.27	2.68	6.46	3.54	0.00	0.00	0.00
0.82	19.59	2.59	6.40	3.58	0.00	0.00	0.00
0.89	22.08	2.85	6.80	3.59	0.00	0.00	0.00
0.97	23.01	2.71	6.84	3.52	0.00	0.00	0.00
1.04	25.13	2.66	6.71	3.40	0.00	0.00	0.00
1.12	26.27	2.58	6.45	3.28	0.00	0.00	0.00
1.19	26.94	2.47	6.33	3.19	0.00	0.00	0.00
1.26	28.31	2.68	6.39	3.14	0.00	0.00	0.00
1.34	29.62	2.78	6.29	3.08	0.00	0.00	0.00
1.41	33.58	2.63	6.13	3.03	0.00	0.00	0.00
1.49	34.57	2.81	5.95	3.00	0.00	0.00	0.00
1.56	36.67	2.61	5.87	3.02	0.00	0.00	0.00
1.64	38.35	2.29	5.84	3.03	0.00	0.00	0.00
1.71	39.69	2.70	5.76	3.02	0.00	0.00	0.00
1.78	40.91	2.80	5.80	3.01	0.00	0.00	0.00
1.86	42.60	2.29	6.16	3.04	0.00	0.00	0.00
