Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
NGC5371_rotmod,1.653684951900557,66.63280885832737,                     0.7995261326304343,1.0,1.0863430793210972e-06 
NGC4138_rotmod,0.3609285289829288,775.0775736347415,                     0.00012594193468346042,2.04604672385588,9.902478132122592e-07 
UGC12632_rotmod,1.2687376258423007,1.778177261868666e-07,                     2.316577594452526,1.0,6.950964371950431e-07 
NGC5033_rotmod,86.5645176283947,0.0024794361888711767,                     1.405143756620382,0.00015997475427557983,1.1008690814541597e-06 
UGC09133_rotmod,4.893992133377637,16.767187412384743,                     1.2150254398229925,3.1036602236599706e-05,1.0707658447291213e-06 
UGCA442_rotmod,2.2312686099157606,1.5468852738215027e-06,                     5.046821119733884,1.0,3.9331661686811796e-07 
UGC04305_rotmod,0.011876029822201341,19027.335202394977,                     4.584072377821602e-05,1.0,3.122927856321401e-07 
NGC2841_rotmod,4.762381679606612,54.897817501768436,                     1.3856441325268714,8.119855654374427e-05,1.1102291350163601e-06 
NGC2955_rotmod,5.203440786942559,4.6190063975879685,                     0.9828056098440227,0.4992383114928188,1.113618119926812e-06 
NGC4157_rotmod,14.951104383521262,1.1275404952921516e-07,                     0.45649207405975095,6.153392869612458,1.1070015303397394e-06 
NGC4183_rotmod,0.43604749109574253,16494.828230459916,                     0.2986387542939698,1.0,1.0466831425593646e-06 
UGC07125_rotmod,5.765601492049372,1.796813884173939e-07,                     1.5104552488789418,1.0,9.92866546846731e-07 
UGC03205_rotmod,42.18409716570097,7.155298071854745e-06,                     1.2823977516641507,0.00011660870789836431,1.1044194465984427e-06 
F583-1_rotmod,3.48915230431458,6.280939190349754e-07,                     2.9133649616287554,1.0,9.229993644602918e-07 
UGC02885_rotmod,0.6255440582526106,0.015715957804077696,                     1.157576711383633,9.106674586192857e-05,1.0902887210761976e-06 
NGC4013_rotmod,31.57001389850724,2.484610657414189e-08,                     1.9061362328583667e-05,2.350210463378837,1.1070015303397394e-06 
UGC07323_rotmod,2.7369471723007493e-15,1.0000284283834386,                     1.3247198698333653,1.0,3.43505956718035e-07 
NGC3953_rotmod,0.6219428061629806,1.325672810896233,                     0.9239965251991094,1.0,9.040172872785853e-07 
NGC4559_rotmod,14.603478681797467,2.578518731077481e-07,                     1.2218492235700653,1.0,1.0456595154499193e-06 
NGC6015_rotmod,63.916492431421474,1.1923240194034192e-08,                     1.1919507844362351,1.0,1.1061946291705842e-06 
UGC05253_rotmod,63.157140846725184,7.519215164506514e-08,                     1.439513407298126,0.02495554795357616,1.08979551585681e-06 
UGC12506_rotmod,0.7916596371938934,36.85040472781352,                     1.394173131551866,1.0,1.0969959558422147e-06 
NGC2998_rotmod,19.447856049814828,1.211684286650469e-09,                     1.115682290262101,1.0,1.07534862809909e-06 
UGC00731_rotmod,1.5485355333938382,1.909963872415091e-08,                     4.47587776770639,1.0,7.080687181306329e-07 
F583-4_rotmod,0.6016182406419527,1.4192552519813475e-06,                     1.6726342070615616,1.0,4.765538316484556e-07 
UGC06614_rotmod,0.004603377658655418,904.7322220798796,                     0.9422208938350172,0.7034367101330917,9.067031702249609e-07 
NGC0024_rotmod,4.358826290015617,162219.4980160843,                     3.799187564467468e-05,1.0,7.263383863075002e-07 
UGC05750_rotmod,0.31002119643138115,45046.178826546224,                     0.22728845419679555,1.0,1.0819042323466091e-06 
UGC05005_rotmod,6.662203746463441,4.5409266919059665e-06,                     1.6662982363124081,1.0,1.0797616787516525e-06 
M31_Carignan_SNC,0.3007373594528145,1.91004717442137e-09,                     1.163849522955774,0.8833040109656726,1.1083248482571539e-06 
NGC3893_rotmod,5.2204370820848585,6.191482938147122e-08,                     1.0801535798942223,1.0,1.0022943305701113e-06 
UGC12732_rotmod,18.542211970387903,2.6349117334297732e-14,                     2.6439387359196953,1.0,8.945314314246362e-07 
UGC06818_rotmod,0.6974250335713664,3.7136335130413004e-08,                     1.8985263315128038,1.0,4.5087992739625374e-07 
IC4202_rotmod,4.519664505748882,9.316532343460777e-08,                     1.0616544981925955,1.0289826974033844,1.0939055593517065e-06 
UGC00128_rotmod,114.18570072056153,8.608340997791618e-09,                     2.1950406762451626,1.0,1.0973187163098768e-06 
D631-7_rotmod,1.1459349140493897,3.680840756128842e-08,                     4.462716728689987,1.0,4.6855979260751886e-07 
F568-V1_rotmod,0.493867857605113,2.875246791009213e-11,                     2.5209097456029457,1.0,9.643650173713688e-07 
UGC06667_rotmod,5.804005250273054e-05,2841.401960488322,                     3.0360269313466626,1.0,5.201494475027102e-07 
UGC00634_rotmod,0.20353357103659928,32948.076293188846,                     0.4991776598552598,1.0,9.750290224996228e-07 
UGC02487_rotmod,0.00098951837734077,53.32966506520658,                     1.1362652838367433,1.1274297386189398,1.0267959215742775e-06 
UGC05999_rotmod,3.7549780041864196,1.4949085127805763e-06,                     2.2597098589973617,1.0,9.217267598542788e-07 
F568-1_rotmod,0.027093785173877182,6.377435402133527,                     2.560679742314918,1.0,8.144989256938216e-07 
NGC3917_rotmod,3.513134095000574,3.142852718966889e-07,                     1.261907225912323,1.0,8.758169470916135e-07 
F571-V1_rotmod,2.104034639736418,3.4150316416083914e-07,                     2.4318308429196893,1.0,8.287609699587415e-07 
NGC3972_rotmod,4.743785653582635,6.89558349012961e-08,                     1.2507844332406763,1.0,5.810321124393742e-07 
NGC0801_rotmod,6.140366893995389,3.646409926434905e-07,                     0.8929130514726946,1.0,1.1105518954840223e-06 
NGC6946_rotmod,12.199486626719915,4.106976322141297e-07,                     0.9542038224432939,0.00016093194212601092,1.0336219113933461e-06 
F563-V2_rotmod,0.018812267559748044,5.292818571448348e-07,                     2.713536649358039,1.0,6.848975676500724e-07 
UGC02953_rotmod,188.42429855665262,42.55155610599584,                     1.0730126695570668,0.00010611588854450342,1.1013532221556528e-06 
F567-2_rotmod,0.010321398747535184,1074.5168387319466,                     1.2740267883422443,1.0,6.35154311858109e-07 
NGC7331_rotmod,61.807927581122065,0.00010083474309925344,                     0.8819123956003295,0.0001834169034083471,1.1099063745486982e-06 
NGC5907_rotmod,5.767504078164117,4.139253524212361e-08,                     1.0486518482328329,1.0,1.0785735497298089e-06 
NGC3726_rotmod,9.384570164851011,1.0085806275970937e-08,                     0.9172506099046068,1.0,1.0726329046205902e-06 
NGC3198_rotmod,169.12610212433745,8.069912299317643e-08,                     1.0897553075803603,1.0,1.1011918419218218e-06 
