Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
NGC5371_rotmod,8.071014514522465,12.628547365876964,                 0.7993569817743181,1.0,4.607497580423047e-06 
UGC07603_rotmod,1.2460267065601611,2768.1058447433206,                 1.1903720967009082,1.0,4.124153914926777e-06 
NGC4138_rotmod,0.7305801460325251,43.46629604985836,                 1.0322991289503287,4.5476100049008665e-05,4.504514511408395e-06 
UGC12632_rotmod,0.1704041486317752,787.8416269259207,                 1.8643065791650446,1.0,4.391804071961977e-06 
NGC5033_rotmod,14.788715525018517,12.261504288406043,                 1.1119808051149842,0.4310874562115247,4.604886382069417e-06 
UGC02023_rotmod,0.026017129664406235,22060.001165674865,                 0.6785085224835216,1.0,4.097806285086737e-06 
UGC09133_rotmod,6.816796753725008,5.740714666650943,                 0.9888246038660152,0.7067474317528033,4.621959147073943e-06 
UGCA442_rotmod,1.5328408589978288,2643.27806133502,                 2.487016445673225,1.0,4.253999399479587e-06 
UGC04305_rotmod,1.5521638128660817,4.6343482797684776e-08,                 0.8755210858142474,1.0,4.213915735005083e-06 
NGC2841_rotmod,1.901609827989855,16.93976936803134,                 1.1990731572364905,0.9369119287621824,4.6232043803278274e-06 
NGC2955_rotmod,3.633942605120099,30.323144563130185,                 0.5830048446286008,0.9057899892625259,4.586014536773568e-06 
UGC07232_rotmod,0.12589536414432345,20848.31896447197,                 0.8166112727899771,1.0,3.478234499737277e-06 
NGC4157_rotmod,0.1611511575512518,101.5585192970897,                 0.7540077253097024,2.8844537768040165e-06,4.568043558566417e-06 
NGC4183_rotmod,0.22763361094339474,251.70167281470023,                 1.2820220043973063,1.0,4.5239924305917085e-06 
UGC07125_rotmod,0.8730527273123154,1132.006744468747,                 1.0780723009136672,1.0,4.505405877125196e-06 
UGC03205_rotmod,3.035357731034398,19.913497588599785,                 0.9183014204459623,1.0740979164929367,4.596580443792714e-06 
F583-1_rotmod,1.1037093048690911,2894.1271090684145,                 1.8346797131325268,1.0,4.481172296249782e-06 
NGC4068_rotmod,0.09620800633681738,25101.054869800606,                 0.7148052239317144,1.0,3.9335609512719825e-06 
UGC02885_rotmod,0.8143788416567083,19.136045223788386,                 0.7219257476130662,1.0457589591869694,4.622256557906862e-06 
D564-8_rotmod,0.1674325528100659,19654.007319482316,                 1.2672035629345215,1.0,4.029962001094904e-06 
NGC4013_rotmod,0.6821916521519831,146.88970470153905,                 0.7480829828410496,1.1672188490201756,4.572968781982588e-06 
UGC07323_rotmod,0.2085249438614964,3014.3038287710915,                 0.9332323802727968,1.0,4.229578425421051e-06 
NGC3953_rotmod,0.4487340920231527,23.40621226802524,                 0.9051834729009787,1.0,4.474403287619293e-06 
NGC4559_rotmod,0.45560437197309706,399.7819396396149,                 0.8250869517189202,1.0,4.523635626195418e-06 
NGC6015_rotmod,8.396495420089039,118.59284533422021,                 1.026766894182895,1.0,4.566624386740789e-06 
UGC05253_rotmod,8.113201385714504,8.886958456077855,                 0.9220643978107297,0.805137972739807,4.616828301944921e-06 
UGC12506_rotmod,1.0008650570844737,39.288325341593186,                 1.3842033125856814,1.0,4.612781604339297e-06 
NGC2998_rotmod,2.7079788147795227,41.39406427467478,                 0.9606201793220446,1.0,4.600891672861321e-06 
UGC00731_rotmod,0.04968665694482118,694.3267465966891,                 3.7810545531574635,1.0,4.397306638040379e-06 
F583-4_rotmod,0.1850008736466829,1371.2705366624496,                 1.2966147186823915,1.0,4.293949333530596e-06 
UGC06614_rotmod,0.023757097699779444,117.68212686900766,                 3.3517807290631155e-06,0.7490772546944406,4.609191405128698e-06 
NGC0024_rotmod,0.32201348165298416,220.08652425654583,                 1.4273562392163348,1.0,4.404880970510905e-06 
DDO168_rotmod,3.749529771642595,15808.958971301217,                 0.7533279840993837,1.0,4.124914439296571e-06 
UGC05750_rotmod,0.3418029569316596,884.8571838977093,                 1.5716976502224973,1.0,4.536036520337975e-06 
UGC05005_rotmod,0.10758417172215097,2841.662762466974,                 1.064933811915074,1.0,4.564234132967061e-06 
M31_Carignan_SNC,0.3042907107680694,23.056373635519893,                 1.0641794046227688,0.9449865505712337,4.584153953772131e-06 
NGC3893_rotmod,1.648034189585213,117.69589091907608,                 0.79183996734535,1.0,4.508626043930148e-06 
UGC12732_rotmod,0.1898413615374732,1576.2442258228846,                 1.5614363285319925,1.0,4.4709770535980626e-06 
UGC06818_rotmod,0.8234546138534594,36348.70992908039,                 0.49285816251183606,1.0,4.281908162624047e-06 
IC4202_rotmod,29.41192619284248,26.754253641284787,                 1.135424660492881,0.7252734921817865,4.552474457278308e-06 
UGC00128_rotmod,7.465989823265372,276.3110307629485,                 1.8079505230807558,1.0,4.617352171249121e-06 
D631-7_rotmod,0.5042552093745757,16753.14806058157,                 0.5231439888685662,1.0,4.290140423793218e-06 
F568-V1_rotmod,0.10971326011437818,269.0827634551567,                 2.1861998339522493,1.0,4.495613593603794e-06 
UGC06667_rotmod,1.6089844531644917,5.436353971751854e-07,                 3.7697147115156207,1.0,4.314069675173339e-06 
UGC05918_rotmod,0.12585168656400458,301.02374505815686,                 2.2955784999218256,1.0,4.149478164385526e-06 
UGC00634_rotmod,5.285464197893161,1277.9878867519312,                 1.73755053257143,1.0,4.499274337286447e-06 
UGC02487_rotmod,5.074578786300907,13.644979065448975,                 1.4298334772373544,5.349868932231552e-05,4.6190151622054825e-06 
UGC05999_rotmod,1.3018480232104437,3563.6444555465764,                 1.228089059695481,1.0,4.480719514880644e-06 
F568-1_rotmod,0.4744705134665594,1425.1996093169919,                 1.8264119423459277,1.0,4.4403992830397546e-06 
NGC2976_rotmod,0.3751953571081273,1925.4233552382962,                 0.884780862101936,1.0,3.92397170479385e-06 
NGC3917_rotmod,2.0701741016722135,305.43344525235307,                 1.14214281899938,1.0,4.464061612983935e-06 
F571-V1_rotmod,0.21968391700582254,1791.3484157294752,                 1.5692390147420745,1.0,4.446024366797302e-06 
NGC3972_rotmod,1.1731364521956613,792.6546427301163,                 1.0232786166148935,1.0,4.341804939237984e-06 
NGC0801_rotmod,4.052385356062823,16.68707074763857,                 0.7998354318516602,1.0,4.623525478106428e-06 
NGC6946_rotmod,2.1475485921154425,41.91761418500386,                 0.743820626293414,0.6240585676447675,4.519450931619689e-06 
F563-V2_rotmod,0.09454636230996649,438.9099736704964,                 2.212430257623143,1.0,4.387499208995567e-06 
UGC02953_rotmod,16.497086704838605,7.50597672273853,                 0.9224170500583375,0.7741638659434096,4.621412352924814e-06 
F567-2_rotmod,0.1954239998504956,646.3798588373762,                 1.2988129025079678,1.0,4.365996073535585e-06 
NGC7331_rotmod,1.002823751166602,45.33213799516722,                 0.6933708676710436,3.0118115010694828e-06,4.58823367690998e-06 
NGC5907_rotmod,4.41853396180549,60.28675471987994,                 0.9935339978644095,1.0,4.613223343445076e-06 
NGC3726_rotmod,1.385603585391532,235.8130161910991,                 0.7953962544300999,1.0,4.5778091501224e-06 
NGC3198_rotmod,6.660698598313888,151.45886194706247,                 0.9601372774222953,1.0,4.604038905813856e-06 
NGC0891_rotmod,5.697872364219894,34.55879769932486,                 0.5843044749890695,0.7864063695767277,4.490369642647497e-06 
NGC0100_rotmod,0.27350749066115226,2568.2086553831177,                 0.9808311250915703,1.0,4.366774637497757e-06 
NGC4217_rotmod,1.3955062116020438,144.80808327040796,                 1.4125348285484822,0.4384014103416654,4.486254233612106e-06 
UGC09992_rotmod,0.017324111284420782,10.559786993746528,                 1.2948909558319308,1.0,4.1068750135797495e-06 
UGC06786_rotmod,3.808794183031738,31.667612993775446,                 0.9805355777307335,0.848475173619018,4.582295535145604e-06 
D512-2_rotmod,0.05325484074380115,1857.2949996741495,                 1.4845715843645164,1.0,4.10196942750736e-06 
UGC06917_rotmod,0.8899747941939489,1203.493300530671,                 1.1287759786173874,1.0,4.387499208995567e-06 
ESO563-G021_rotmod,15.385942383053154,47.630150113089464,                 1.0498077923047724,1.0,4.601127466991123e-06 
NGC4100_rotmod,2.1780683403043986,101.93029692207452,                 0.9904853468896733,1.0,4.535486891840317e-06 
NGC3877_rotmod,6.978614716026612,1.644469149794069,                 0.8728384946309007,1.0,4.406515615471679e-06 
UGC00191_rotmod,1.6085752910428748,795.8350997737467,                 1.4072126671682301,1.0,4.375853925124164e-06 
NGC3741_rotmod,1.0552223868896413,43912.148383441825,                 0.6595803289114501,1.0,4.282710180395656e-06 
NGC0247_rotmod,1.882556740162974,311.9719091925612,                 1.5190602528314192,1.0,4.459761840027391e-06 
F563-1_rotmod,0.8920410617329594,1281.7335526392771,                 2.124572938978846,1.0,4.517158636909083e-06 
F574-2_rotmod,0.04742123521654028,3808.0721411069094,                 0.6203574479077745,1.0,4.395569804547076e-06 
UGC06399_rotmod,0.18584405266345355,1427.5272809950002,                 1.4372458110843602,1.0,4.314069675173339e-06 
UGC11820_rotmod,1.636757996661488,2229.5433829777653,                 1.2932323166438306,1.0,4.476078056568239e-06 
F568-3_rotmod,1.5302135132947574,2313.1878145462183,                 1.2795415245073367,1.0,4.498990737471024e-06 
UGC07524_rotmod,1.1708175769280558,1420.8771470978045,                 1.4871101444129764,1.0,4.392474791881845e-06 
UGC02259_rotmod,2.2494777605107386,474.5592042255727,                 1.8342789741868422,1.0,4.323769053968584e-06 
UGC05721_rotmod,1.9732162640299646,676.1307863423558,                 1.304185612778972,1.0,4.271967540958906e-06 
UGC05716_rotmod,4.6437565704477795,1765.770604813585,                 1.6673962821914101,1.0,4.425915934549387e-06 
UGC07151_rotmod,0.9992068446430583,838.367941821047,                 1.1559296749079087,1.0,4.212838504339922e-06 
UGC04483_rotmod,0.40781958579908156,7342.972311341563,                 1.3180655144457663,1.0,3.6657544890964865e-06 
