Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
UGCA442_rotmod,1.0315814543357025,0.002571987499393343,                 2.238417783517688,1.0,5.337881958602337e-07 
UGC04305_rotmod,1.5521639160257599,2.8314514696752037e-13,                 0.8755668493542489,1.0,1.0455406732096212e-06 
NGC2841_rotmod,nan,1.0,                 1.0,1.0,1.5651962867231609e-06 
UGC07232_rotmod,0.08859471994546148,0.04220588502626762,                 0.39684190721522605,1.0,2.981070921644701e-07 
NGC4068_rotmod,0.11964335955372009,0.022042892566104172,                 0.5703019533003449,1.0,4.281572408591119e-07 
D564-8_rotmod,0.07731381214844671,0.022999294640699622,                 0.9426022958945565,1.0,4.281572408591119e-07 
NGC0024_rotmod,0.36271984068038404,0.0002716808311402749,                 1.3708932350172736,1.0,1.2465953760652529e-06 
DDO168_rotmod,4.358477530688546,0.013296900184343105,                 8.622971908937632e-05,1.0,6.206433167055528e-07 
UGC00128_rotmod,6.649872015209254,0.00042388429648857,                 1.7238241330428925,1.0,1.0455406732096212e-06 
D631-7_rotmod,0.5401861428584143,0.01721580934312564,                 9.350485544982147e-06,1.0,8.054759348148396e-07 
