Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
NGC5371_rotmod,12.546590226891304,0.49238323886633134,                     0.7791544212043905,1.0,5.808071107982373e-06 
UGC07603_rotmod,0.5156785667890472,288.748193942202,                     1.0683109268310125,1.0,5.2921717968952584e-06 
NGC4138_rotmod,0.747352530882851,1.9773156190091727,                     0.9798883450094147,7.15933267087473e-05,4.586829189453204e-06 
UGC12632_rotmod,0.20615308657865394,31.863334549377328,                     1.8637714863270805,1.0,5.5671323448773805e-06 
NGC5033_rotmod,6.393027351300496,1.3597202241906368,                     0.8470776935610486,0.5227308641531991,6.032420487762921e-06 
UGC02023_rotmod,0.05716766593157639,1265.3757557861259,                     0.7162657357677779,1.0,4.286479767841473e-06 
UGC09133_rotmod,7.4977682140079125,0.7098998444204087,                     0.7665197091303513,0.7165429505715062,6.907110282224432e-06 
UGCA442_rotmod,0.8583328648977127,261.57921524096736,                     2.2773516845059034,1.0,4.744694769486855e-06 
NGC2841_rotmod,1.3604059781917694,1.404315714548351,                     0.9143657056658258,1.1016260091780883,6.716401331118542e-06 
NGC2955_rotmod,4.454421442105839,1.8000793283449825,                     0.39805016535787374,0.879680073349624,6.115389191576037e-06 
UGC07232_rotmod,0.7627401890848552,1563.1969655905693,                     0.8192748818480083,1.0,3.920985232255753e-06 
NGC4157_rotmod,0.6060187562891554,4.0825607175115755,                     0.6925692936751883,0.5584247072636024,5.693124891731788e-06 
NGC4183_rotmod,0.5330316034483963,9.512951452095963,                     1.2449644185612916,1.0,6.083690947720665e-06 
UGC07125_rotmod,1.1818171151765258,55.91427397017328,                     1.0825167707731074,1.0,5.383510895595203e-06 
UGC03205_rotmod,2.9899321867541726,1.5777777292290074,                     0.6766550843430281,1.066385812951038,6.692304947201252e-06 
F583-1_rotmod,1.0375383501840085,128.01393061163657,                     1.8650570272508489,1.0,6.146059995410195e-06 
NGC4068_rotmod,0.27255328179748833,1383.4578177814728,                     0.7970564037098092,1.0,4.398443253138443e-06 
UGC02885_rotmod,2.13615113664645,1.8336296501594134,                     0.504744214469274,0.9791859951819782,5.808071107982373e-06 
D564-8_rotmod,0.10653704835198972,4130.361393087538,                     1.2110338593734238,1.0,4.398443253138443e-06 
NGC4013_rotmod,1.5328675305308317,6.04535047468389,                     0.543114523939736,1.43272218257861,6.510343322765791e-06 
UGC07323_rotmod,0.2612010223012254,86.64748778582238,                     0.9680907677008441,1.0,5.078670042142439e-06 
NGC3953_rotmod,0.7592399479008157,0.40551229636153174,                     0.9038045440896998,1.0,4.744694769486855e-06 
NGC4559_rotmod,0.34020138320939075,18.475119117001235,                     0.7701877885020484,1.0,6.333341988787062e-06 
NGC6015_rotmod,13.056523061397007,4.408439880131029,                     0.9907725647192489,1.0,6.634539099254114e-06 
UGC05253_rotmod,5.648399091765653,1.3702989504385337,                     0.5290071181834348,0.7203825660116524,6.950642793266317e-06 
UGC12506_rotmod,1.180977798228923,1.203678999750871,                     1.3453041616956807,1.0,6.313901531297694e-06 
NGC2998_rotmod,3.7382863674281936,2.138468290006093,                     0.870222277011004,1.0,5.383510895595203e-06 
UGC00731_rotmod,0.08306486895241724,26.229050946759397,                     3.78798413504703,1.0,5.2921717968952584e-06 
F583-4_rotmod,0.2799920380484626,60.21538246746718,                     1.2978732938589,1.0,5.2921717968952584e-06 
UGC06614_rotmod,1.204449559380179,7.816231018588532,                     0.7212118261768403,0.5862444701750191,5.383510895595203e-06 
