Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
UGCA442_rotmod,0.5466642356898719,152.05821508487142,                     2.285282453135278,1.0,2.8647946796093216e-06 
NGC2841_rotmod,1.2985963538033733,1.1956022283969323,                     0.8692782221867209,1.105082493591135,3.985111620249881e-06 
UGC07232_rotmod,0.18929858270893876,938.6234703493917,                     0.8198853539142812,1.0,2.3682255868199998e-06 
NGC4068_rotmod,0.1376258656687316,817.738706522911,                     0.7987314588553317,1.0,2.6562252603554394e-06 
D564-8_rotmod,0.056317785908235135,2416.43996371101,                     1.216182741488273,1.0,2.6562252603554394e-06 
NGC0024_rotmod,0.6486941511537275,5.8914377610108355,                     1.3886528036735146,1.0,3.743967144766226e-06 
DDO168_rotmod,3.087064253121542,733.9039238592748,                     0.7908251411373892,1.0,3.065057007881928e-06 
UGC00128_rotmod,5.32552829055842,8.411610010551122,                     1.6463512349351526,1.0,3.618760298237866e-06 
D631-7_rotmod,0.2418987958706721,1570.5825587609847,                     0.28388660464435633,1.0,3.392034252601659e-06 
UGC01281_rotmod-Copy1,0.2991971261211398,342.30109911760286,                     1.42566040373106,1.0,3.681322409857878e-06 
NGC2976_rotmod,0.41094708358107224,24.00178568288535,                     0.9082208247114117,1.0,3.7125273763091643e-06 
NGC6946_rotmod,1.6816210317705163,1.6142069824028105,                     0.6409701194762947,0.5735126995088261,4.032308821953264e-06 
NGC7331_rotmod,0.9616588782646317,1.6903924300128177,                     0.5134410529939432,1.1986127571812142,3.877713734514092e-06 
NGC5907_rotmod,6.767970392232622,1.4669252039017942,                     0.9342240497248243,1.0,3.4926067951406126e-06 
NGC3198_rotmod,1.6760263210564665,5.002519270915881,                     0.8778072841751368,1.0,3.935691023684328e-06 
NGC0891_rotmod,2.982555869944742,1.886847155631293,                     0.41597495310342397,0.7480867734769254,3.4685488224002466e-06 
NGC3741_rotmod,0.5461975576825496,3793.5154027776703,                     0.7237198446453451,1.0,3.558005140268911e-06 
NGC0247_rotmod,1.9251576769562857,4.731428127182471,                     1.5257610956054208,1.0,3.694658858819989e-06 
UGC07524_rotmod,1.343970726853695,19.789636466156185,                     1.5884992958360804,1.0,3.7727107017916375e-06 
UGC07151_rotmod,0.9541856330159671,18.891092262084477,                     1.1532990897035271,1.0,3.1310131610425587e-06 
UGC04483_rotmod,0.32552979434541135,606.861933869397,                     1.2775254551080106,1.0,2.8647946796093216e-06 
NGC0055_rotmod,2.507741217734167,61.65532005004232,                     1.0161242766059693,1.0,3.558005140268911e-06 
NGC2403_rotmod,10.202691621237168,11.3257302793404,                     0.8646412374122358,1.0,4.103703637097236e-06 
ESO444-G084_rotmod,0.21441828541564784,271.4263435047869,                     1.8676596609676084,1.0,2.7697701267296215e-06 
NGC6789_rotmod,0.14262301733294974,521.8119363437955,                     1.4129684470512103,1.0,2.3682255868199998e-06 
UGC08490_rotmod,0.14543907937899936,23.51267921717494,                     1.2694787308903361,1.0,3.7576123992122394e-06 
UGC07559_rotmod,0.12114861009812894,626.4903399853129,                     0.9726529187666496,1.0,2.7697701267296215e-06 
NGC2915_rotmod,0.5819275194463195,465.26161699382703,                     0.5693324925370866,1.0,3.7576123992122394e-06 
NGC5055_rotmod,6.028325468542085,1.3795837322047562,                     0.6199855017989998,1.0,3.729889199668195e-06 
NGC6503_rotmod,1.4182783932538636,9.753617216094838,                     0.7508863338987205,1.0,3.7727107017916375e-06 
PGC51017_rotmod,1.1562586021022323,1.2948795267648015e-08,                     0.800454213569682,1.0,2.6562252603554394e-06 
NGC1705_rotmod,0.095246195252966,21.005375352477916,                     1.2542361161892555,1.0,3.3099192613718044e-06 
UGC07577_rotmod,0.03715561161908094,2780.446487738053,                     0.6695730527822198,1.0,2.9716371906492047e-06 
NGC0300_rotmod,0.37355953867741226,49.446726340086485,                     1.14494166215021,1.0,3.681322409857878e-06 
NGC7793_rotmod,0.7005376391717231,7.612804268976418,                     0.8895592439688288,1.0,3.958659388027099e-06 
NGC4214_rotmod,0.9251012898505222,25.332904461228534,                     1.015928747203888,1.0,3.3099192613718044e-06 
UGC08837_rotmod,0.4323881042179667,832.461608082978,                     0.7864411461706284,1.0,2.8647946796093216e-06 
UGC07866_rotmod,0.04035913412207526,195.95502011574754,                     1.2612400011586669,1.0,2.7697701267296215e-06 
UGC08286_rotmod,2.1800730665297268,21.43561952916696,                     1.6625168202517153,1.0,3.426909797106068e-06 
NGC2683_rotmod,0.7369271772084307,1.1299412523127925,                     0.8851890886345725,0.4049624910409889,3.1310131610425587e-06 
IC2574_rotmod,2.0980892078373974,514.3371958651784,                     1.1054735391894297,1.0,3.856421041674189e-06 
UGCA444_rotmod,0.08902872706984505,251.87523725825895,                     3.7853175832081396,1.0,3.877713734514092e-06 
NGC3109_rotmod,0.24485646262350574,386.5875362038877,                     2.05424968200648,1.0,3.681322409857878e-06 
DDO154_rotmod,8.155263369506791,901.904705142983,                     1.196270479277448,1.0,3.1919951620190414e-06 
UGCA281_rotmod,0.15799289773151928,203.56309125022315,                     1.2320975483938956,1.0,2.7697701267296215e-06 
CamB_rotmod,0.1451570133656217,14949.664958813439,                     3.831098577819507e-05,1.0,2.9716371906492047e-06 
NGC7814_rotmod,0.5328760831453239,1.2030838246483344,                     0.41892665833835085,0.6736122616560994,3.4685488224002466e-06 
NGC2366_rotmod,2.1080421380051875,260.89551375181935,                     1.0629730895350384,1.0,3.694658858819989e-06 
