Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
NGC5371_rotmod,10.640679074484087,263474.600965538,                     0.7665906400577484,1.0,3.4926067951406126e-06 
UGC07603_rotmod,0.4866850859848025,73347099.21988025,                     1.1090749836529448,1.0,3.1919951620190414e-06 
NGC4138_rotmod,0.43004133512723486,664967.2454615625,                     0.980318971278713,2.9399037836428483e-07,2.7697701267296215e-06 
NGC0247_rotmod-Copy1,1.9075947829107869,2219933.9600299057,                     1.5268491508283626,1.0,3.694658858819989e-06 
UGC12632_rotmod,0.1730686833118714,8300691.785451167,                     1.8774396697160671,1.0,3.35380856509653e-06 
NGC6946_rotmod-Copy1,1.6748612800876232,844063.5260650804,                     0.6394640882326567,0.5928148978966079,4.032308821953264e-06 
NGC5033_rotmod,5.461364845624228,654154.132334497,                     0.8386386940876115,0.508266343851178,3.618760298237866e-06 
UGC02023_rotmod,0.019339030079463776,343482514.32260084,                     0.7296419897561769,1.0,2.588713420774198e-06 
UGC09133_rotmod,115.65791897078863,1094293.9367286267,                     0.0006907269257388586,1.2402978670229172,4.081926881990854e-06 
NGC2955_rotmod,4.2675940064739475,970139.59527715,                     0.3299980153200242,0.8654503193418379,3.664487332755443e-06 
NGC4157_rotmod,0.48575055100752385,1320855.2796718655,                     0.6900769264090595,0.5757093903307969,3.426909797106068e-06 
CamB_rotmod-Copy1,0.10112253788321873,8030824783.02658,                     3.1098393850176064e-05,1.0,2.9716371906492047e-06 
NGC4183_rotmod,0.4542839804214818,2564816.390976525,                     1.2507767043148714,1.0,3.647055436927237e-06 
UGC00128_rotmod-Copy1,5.431981625748363,3820732.707420697,                     1.652717568130114,1.0,3.618760298237866e-06 
UGC07125_rotmod,0.9696540848467792,13920885.77479993,                     1.0968094764414353,1.0,3.245971629675444e-06 
UGC03205_rotmod,2.6486786404205587,724335.5139133349,                     0.673351597509808,1.0480879151629254,3.9727109108056445e-06 
F583-1_rotmod,0.9538649529380598,31235689.723497193,                     1.9055455725866357,1.0,3.681322409857878e-06 
UGC02885_rotmod,2.2067933378458164,1353063.0856128978,                     0.3079994594746437,0.944971064642174,3.4926067951406126e-06 
NGC4013_rotmod,1.3615564913033793,1842305.0367750907,                     0.5489109873201505,1.4218880435141252,3.877713734514092e-06 
UGC07323_rotmod,0.18284674916415605,23375552.220075972,                     0.976520428123943,1.0,3.065057007881928e-06 
NGC3953_rotmod,0.47503239705707234,148563.03193282493,                     0.9026297345586884,1.0,2.8647946796093216e-06 
NGC4559_rotmod,0.3234158879947018,4817309.056149001,                     0.7808579046176117,1.0,3.783195442212607e-06 
NGC6015_rotmod,12.029598802608659,1336828.5605539796,                     0.9920401324745389,1.0,3.942829898909798e-06 
UGC05253_rotmod,5.505174140307087,833888.1843877607,                     0.48410748341531235,0.7001182193839135,4.103703637097236e-06 
UGC12506_rotmod,1.110882948915026,510100.7389522356,                     1.3283542531076225,1.0,3.7727107017916375e-06 
NGC2998_rotmod,3.0327654875478847,839091.0138872857,                     0.8552408849551227,1.0,3.245971629675444e-06 
UGC00731_rotmod,0.06358987513496825,6968819.101298998,                     3.8049023164686777,1.0,3.1919951620190414e-06 
UGCA442_rotmod-Copy1,0.6017650128403882,67504832.64509684,                     2.330411029527383,1.0,2.8647946796093216e-06 
F583-4_rotmod,0.19966556041808636,16404823.197357293,                     1.3037645808868563,1.0,3.1919951620190414e-06 
NGC7331_rotmod-Copy1,109.30734123408445,2.0089740943550856e-07,                     0.9161123935189881,0.00010461170943627321,3.877713734514092e-06 
PGC51017_rotmod-Copy1,1.1562586021390298,0.010954008472205838,                     0.8004544316974627,1.0,2.6562252603554394e-06 
UGC06614_rotmod,0.8752639395652636,2552521.201055557,                     0.663493473522378,0.586767419765116,3.245971629675444e-06 
NGC2841_rotmod-Copy1,1.3162253745857673,1021021.226460156,                     0.8069413910267829,1.0992876591246847,3.985111620249881e-06 
UGC05750_rotmod,0.34427393133044953,10044065.108634984,                     1.576240047520177,1.0,3.1310131610425587e-06 
UGC05005_rotmod,0.07382298271130087,39152859.2724115,                     1.0562282399991554,1.0,3.1310131610425587e-06 
NGC3893_rotmod,0.42162324140638247,1545768.5731514501,                     0.7360536824103782,1.0,3.065057007881928e-06 
UGC12732_rotmod,0.12042445695098024,20353387.977548774,                     1.5397167642340597,1.0,3.392034252601659e-06 
UGC06818_rotmod,0.7445085294528297,558419325.2114891,                     0.5634980590516097,1.0,2.8647946796093216e-06 
IC4202_rotmod,12.51500802331623,30751489.754056644,                     9.913019029528236e-07,0.4776442181631609,3.783195442212607e-06 
F568-V1_rotmod,0.11001251102870872,2495805.4532471816,                     2.1522697766907415,1.0,3.35380856509653e-06 
UGC06667_rotmod,1.6089844522253385,0.0001614167506869108,                     3.7697147131143405,1.0,2.9716371906492047e-06 
NGC0300_rotmod-Copy1,0.3808275620818536,21539056.138797347,                     1.163192997194778,1.0,3.681322409857878e-06 
UGC05918_rotmod,0.1287760752800005,3469883.44936841,                     2.3082201979898542,1.0,2.8647946796093216e-06 
UGC00634_rotmod,1.7217664210618198,18524259.55395256,                     1.5910306952876485,1.0,2.3682255868199998e-06 
ESO444-G084_rotmod-Copy1,0.13258279734611808,118217893.26266427,                     1.9476521202922747,1.0,2.7697701267296215e-06 
UGC02487_rotmod,3.372535534825419,1086484.964587224,                     1.0371286719651363,1.0178288346356354,3.426909797106068e-06 
UGC05999_rotmod,1.5205890457298878,32089832.854277402,                     1.2877484256555516,1.0,2.588713420774198e-06 
F568-1_rotmod,0.553429290679179,7334595.9938950585,                     1.9308796417468845,1.0,3.1919951620190414e-06 
NGC3917_rotmod,2.2210444990663394,2026047.828495908,                     1.136468352988294,1.0,3.426909797106068e-06 
F571-V1_rotmod,0.12805408429519743,25673707.440741222,                     1.5127156487881648,1.0,2.7697701267296215e-06 
NGC3972_rotmod,1.4800116062759077,4859309.55972838,                     1.0358698760223495,1.0,3.065057007881928e-06 
NGC0801_rotmod,6.334065356289124,434530.48830632854,                     0.7536288572803473,1.0,3.245971629675444e-06 
F563-V2_rotmod,0.0811368966329468,3348075.2227670928,                     2.2048528676262036,1.0,3.065057007881928e-06 
NGC2976_rotmod-Copy1,0.41367497060492936,12013524.856229749,                     0.9117884425141326,1.0,3.7125273763091643e-06 
UGC02953_rotmod,77.73769534770103,456060.8935782295,                     0.8415786645134501,1.3111390027922458,4.238424264480046e-06 
NGC5055_rotmod-Copy1,6.102188108682204,796588.3795842712,                     0.6179849053678037,1.0,3.729889199668195e-06 
