Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
NGC5371_rotmod,10.481683462598056,9.842418802265872e-07,                     0.7822290836709924,1.0,3.4926067951406126e-06 
UGC07603_rotmod,0.3303333740987647,0.0007899735934953247,                     1.0320559577086739,1.0,3.1919951620190414e-06 
NGC4138_rotmod,0.41885146594747313,4.653508660361586e-06,                     0.9781107627338759,0.0001497489413792609,2.7697701267296215e-06 
NGC0247_rotmod-Copy1,1.942438031316357,2.018939388023495e-05,                     1.5245743869631339,1.0,3.694658858819989e-06 
UGC12632_rotmod,0.15982204392348515,8.327284250439326e-05,                     1.8534016647221292,1.0,3.35380856509653e-06 
NGC6946_rotmod-Copy1,1.6864793018353104,6.2401728069240204e-06,                     0.6435025933225196,0.5542194998060473,4.032308821953264e-06 
NGC5033_rotmod,5.6204324015138765,2.805550414504184e-06,                     0.851466600810705,0.521944556351966,3.618760298237866e-06 
UGC02023_rotmod,0.02551673254021186,0.003229470098079764,                     0.7051147085759678,1.0,2.588713420774198e-06 
UGC09133_rotmod,7.005465022454121,1.137192483472615e-06,                     0.786227429611974,0.7230898724948792,4.081926881990854e-06 
NGC2955_rotmod,3.8450503581373066,3.526642914143736e-06,                     0.4205696488143763,0.8813218630480923,3.664487332755443e-06 
UGC04305_rotmod-Copy1,1.5521638131116668,5.973705087587322e-14,                     0.8755210518269081,1.0,3.618760298237866e-06 
NGC4157_rotmod,0.49119087721975074,9.646759625159065e-06,                     0.693285071806035,0.5504373044610412,3.426909797106068e-06 
CamB_rotmod-Copy1,0.20634990675638443,0.055541298849763235,                     2.9456704801055758e-05,1.0,2.9716371906492047e-06 
NGC4183_rotmod,0.4584348287813986,2.4279863724793082e-05,                     1.2412551091514652,1.0,3.647055436927237e-06 
UGC00128_rotmod-Copy1,5.216396482059943,3.710583145615858e-05,                     1.639663779814358,1.0,3.618760298237866e-06 
UGC07125_rotmod,0.894327341306227,0.00014731608593490886,                     1.0750688142896494,1.0,3.245971629675444e-06 
UGC03205_rotmod,2.798827646447457,3.3488760994922033e-06,                     0.6773720198150989,1.06573688759717,3.9727109108056445e-06 
F583-1_rotmod,0.9025909461782757,0.000344891731607262,                     1.838693625439362,1.0,3.681322409857878e-06 
UGC02885_rotmod,1.5603357219976195,3.163383363276115e-06,                     0.5493596098833288,0.9875101658356406,3.4926067951406126e-06 
NGC4013_rotmod,1.3971155474739347,1.4571916773438616e-05,                     0.543248206904137,1.4328921016595593,3.877713734514092e-06 
UGC07323_rotmod,0.18391303867882983,0.0002221586012958968,                     0.9610872950986465,1.0,3.065057007881928e-06 
NGC3953_rotmod,0.47340226155625625,9.242201593602793e-07,                     0.9040176005296593,1.0,2.8647946796093216e-06 
NGC4559_rotmod,0.31377576486410325,4.798882181097913e-05,                     0.7642123664544831,1.0,3.783195442212607e-06 
NGC6015_rotmod,12.143109197319221,1.0746165104425523e-05,                     0.9888352436984993,1.0,3.942829898909798e-06 
UGC05253_rotmod,5.487595294900696,2.6433724856658225e-06,                     0.5533497341361342,0.7186004304325365,4.103703637097236e-06 
UGC12506_rotmod,1.052374084299721,2.572669379808915e-06,                     1.3505919321595468,1.0,3.7727107017916375e-06 
NGC2998_rotmod,2.809025565494906,4.663838042643424e-06,                     0.8758096379248277,1.0,3.245971629675444e-06 
UGC00731_rotmod,0.061609037870983145,6.755923080188805e-05,                     3.7751432564293417,1.0,3.1919951620190414e-06 
UGCA442_rotmod-Copy1,0.5034198742289382,0.0006897777388040455,                     2.2357129015085686,1.0,2.8647946796093216e-06 
F583-4_rotmod,0.21726500488329292,0.00015264364789216502,                     1.2930939063834805,1.0,3.1919951620190414e-06 
NGC7331_rotmod-Copy1,0.9170677834117303,5.2324919991280584e-06,                     0.537427683879874,1.1235646350853608,3.877713734514092e-06 
PGC51017_rotmod-Copy1,1.1562586024815145,3.928751738232956e-13,                     0.8004544119867614,1.0,2.6562252603554394e-06 
UGC06614_rotmod,0.887737397538671,1.8285970680508152e-05,                     0.7358657292842798,0.5875536935101926,3.245971629675444e-06 
NGC2841_rotmod-Copy1,1.248614844815135,2.4716039112810537e-06,                     0.9465946928192913,1.095702174603853,3.985111620249881e-06 
UGC05750_rotmod,0.3362641581648107,0.00010422156581042495,                     1.5627207255860076,1.0,3.1310131610425587e-06 
UGC05005_rotmod,0.06736956360438803,0.00043622480966155414,                     1.0229046510604711,1.0,3.1310131610425587e-06 
NGC3893_rotmod,0.3825029990226966,1.1526721827797412e-05,                     0.7317373217664777,1.0,3.065057007881928e-06 
UGC12732_rotmod,0.15731353690964156,0.00022098775908862685,                     1.4898599976926106,1.0,3.392034252601659e-06 
UGC06818_rotmod,0.7945316486427879,0.006949094986513272,                     0.5125453981673457,1.0,2.8647946796093216e-06 
IC4202_rotmod,29.75279844391106,1.4494320620492256e-06,                     1.1132506108047577,0.7309994513344821,3.783195442212607e-06 
F568-V1_rotmod,0.10781359475199823,2.3500645702075794e-05,                     2.1317428557257077,1.0,3.35380856509653e-06 
UGC06667_rotmod,1.6089844530569644,2.692188040404281e-14,                     3.769714715135926,1.0,2.9716371906492047e-06 
NGC0300_rotmod-Copy1,0.36918047936160364,0.00022921822730610704,                     1.1246477124767227,1.0,3.681322409857878e-06 
UGC05918_rotmod,0.12913695361265926,2.9573062686470838e-05,                     2.3065925711409925,1.0,2.8647946796093216e-06 
UGC00634_rotmod,1.4082599477991964,0.00019345129717738638,                     1.5546195873866524,1.0,2.3682255868199998e-06 
ESO444-G084_rotmod-Copy1,0.33325872125595535,0.0012710046189106654,                     1.7785400474873059,1.0,2.7697701267296215e-06 
UGC02487_rotmod,3.2137997479690164,1.3836892636049305e-06,                     1.2894608321884762,0.6758383046792257,3.426909797106068e-06 
UGC05999_rotmod,1.3877683295087786,0.00033759320916155534,                     1.2596025243023403,1.0,2.588713420774198e-06 
F568-1_rotmod,0.5232979150439977,7.385940252257714e-05,                     1.891159199705007,1.0,3.1919951620190414e-06 
NGC3917_rotmod,2.21482649515169,1.8096110359788725e-05,                     1.1337729698344252,1.0,3.426909797106068e-06 
F571-V1_rotmod,0.10485818858708616,0.00027185923395083874,                     1.4740378958461395,1.0,2.7697701267296215e-06 
NGC3972_rotmod,1.435326702286845,4.518726502831741e-05,                     1.0243393326011756,1.0,3.065057007881928e-06 
NGC0801_rotmod,5.479173381339559,1.6409771732117122e-06,                     0.7700573168652911,1.0,3.245971629675444e-06 
F563-V2_rotmod,0.07706515772573172,2.98749758563376e-05,                     2.193731532931399,1.0,3.065057007881928e-06 
NGC2976_rotmod-Copy1,0.408434698110925,9.645881969534005e-05,                     0.9040977888721403,1.0,3.7125273763091643e-06 
UGC02953_rotmod,5.427222042559665,1.4200777991334621e-06,                     0.7621533113702131,0.7925292569923731,4.238424264480046e-06 
NGC5055_rotmod-Copy1,5.965473164840866,4.755388625835292e-06,                     0.6221256103292034,1.0,3.729889199668195e-06 
F567-2_rotmod,0.19725941600939123,7.768340601882115e-05,                     1.3024302119778497,1.0,2.588713420774198e-06 
DDO168_rotmod-Copy1,2.9737050180673696,0.003851879015983753,                     0.6010968497878009,1.0,3.065057007881928e-06 
NGC3726_rotmod,1.8002265658567385,2.0549065223986205e-05,                     0.7571754469088525,1.0,3.1919951620190414e-06 
NGC0100_rotmod,0.07889058448290849,0.0004360498596721585,                     0.9099770751864493,1.0,3.558005140268911e-06 
NGC4217_rotmod,1.4130810293734506,5.755390052062653e-05,                     3.9899801601759504e-05,0.45678103709201384,3.4926067951406126e-06 
UGC09992_rotmod,0.017341778958468633,2.6193745619356435e-10,                     1.2965440992319,1.0,2.588713420774198e-06 
UGC06786_rotmod,0.6878999270758848,1.7190407594637746e-05,                     0.5107613553493833,0.6295515153566109,3.951993156584952e-06 
D512-2_rotmod,0.05059481306354142,0.00032258140442182617,                     1.4756659882278187,1.0,2.3682255868199998e-06 
UGC06917_rotmod,0.7473548644402052,0.00010235728670046351,                     1.1135500291709404,1.0,3.1310131610425587e-06 
ESO563-G021_rotmod,15.001830180051188,3.372795788254353e-06,                     1.012499571973241,1.0,3.7576123992122394e-06 
NGC3877_rotmod,6.978673749171213,1.0251697433788963e-14,                     0.8736228059660319,1.0,3.245971629675444e-06 
UGC00191_rotmod,1.6270751204547884,9.229125277544135e-05,                     1.3677788179854908,1.0,2.9716371906492047e-06 
NGC5907_rotmod-Copy1,6.431398244957711,5.02493767435964e-06,                     0.9423536172523521,1.0,3.4926067951406126e-06 
NGC2683_rotmod-Copy1,0.7357119227745934,4.063928901727159e-06,                     0.8852276158288238,0.43335924259389746,3.1310131610425587e-06 
NGC7814_rotmod-Copy1,0.6197478399657506,3.903183487779682e-06,                     0.38967220924863355,0.6592486709806924,3.4685488224002466e-06 
NGC0055_rotmod-Copy1,2.2962130967312975,0.0002851391546481569,                     0.995401874193745,1.0,3.558005140268911e-06 
UGC07232_rotmod-Copy1,0.2187364412025628,0.003840384818335099,                     0.7854025272124614,1.0,2.3682255868199998e-06 
F563-1_rotmod,0.7643840924860216,0.00016085773206692375,                     2.0413559980512344,1.0,3.426909797106068e-06 
F574-2_rotmod,0.055410789340893885,0.0003868596370752394,                     0.6688578093281049,1.0,2.588713420774198e-06 
NGC2403_rotmod-Copy1,10.354485232805454,5.12469032777908e-05,                     0.8478584140532275,1.0,4.103703637097236e-06 
NGC3109_rotmod-Copy1,0.24224133770558154,0.0017195075417602472,                     2.019941657081884,1.0,3.681322409857878e-06 
UGC06399_rotmod,0.14171898359269064,0.00013789413089027302,                     1.4162099029587467,1.0,2.9716371906492047e-06 
UGC11820_rotmod,1.1091598693104168,0.00040456227793063523,                     1.208972362118315,1.0,3.065057007881928e-06 
F568-3_rotmod,1.4707532547475886,0.0001805958932063801,                     1.3034120832263831,1.0,3.4685488224002466e-06 
UGC07524_rotmod,1.3171911345736662,9.237763137871545e-05,                     1.569706626133366,1.0,3.7727107017916375e-06 
NGC0024_rotmod-Copy1,0.6820998770718538,2.4846543860620912e-05,                     1.381191460171318,1.0,3.743967144766226e-06 
UGC02259_rotmod,2.9727127330733096,4.178539159972454e-05,                     1.809425810522937,1.0,2.8647946796093216e-06 
UGC05721_rotmod,0.6510350398213791,0.00023502026608831936,                     1.0501396435410202,1.0,3.647055436927237e-06 
UGC05716_rotmod,2.8026364654354166,0.000413503141588342,                     1.4854068046097164,1.0,3.1919951620190414e-06 
UGC08490_rotmod-Copy1,0.12352102909629523,0.00011077853678604869,                     1.2331567601697637,1.0,3.7576123992122394e-06 
D631-7_rotmod-Copy1,0.2554110526397826,0.007515165475968006,                     0.12155713156595409,1.0,3.392034252601659e-06 
NGC1003_rotmod,3.1079435278906145,0.0002209081723473167,                     0.7517732097046756,1.0,3.877713734514092e-06 
UGC03546_rotmod,1.0734833325053599,3.165419071247411e-06,                     0.6033047222333736,0.5946376745082392,3.7576123992122394e-06 
NGC1090_rotmod,1.9928368321721939,1.1820577581190934e-05,                     0.8078404637353006,1.0,3.664487332755443e-06 
UGC06973_rotmod,0.28053040169856147,3.4805831785635963e-05,                     0.035014294424009725,1.1783727776210682,2.9716371906492047e-06 
UGCA444_rotmod-Copy1,0.08874362222434874,0.0010825458927787108,                     3.6966420415540266,1.0,3.877713734514092e-06 
F574-1_rotmod,1.089050021641538,5.356502673966192e-05,                     1.525120979606782,1.0,3.3099192613718044e-06 
NGC3769_rotmod,0.5033368969993058,4.439926578188789e-05,                     0.6987082524620875,1.0,3.1919951620190414e-06 
UGC03580_rotmod,2.0084347135742817,0.00021135458223949598,                     0.4695714444742638,0.3919100718282003,3.964176458110889e-06 
NGC7793_rotmod-Copy1,0.6906309275195907,3.286781170069024e-05,                     0.8810478186943703,1.0,3.958659388027099e-06 
UGC11557_rotmod,0.6725437478733843,0.00019551998297890602,                     0.5990478046400406,1.0,3.1919951620190414e-06 
UGC01230_rotmod,0.5830374092488326,2.0218038826096515e-05,                     1.710752451291419,1.0,3.1310131610425587e-06 
UGC08550_rotmod,0.5828338146791178,0.0004482106706422368,                     1.3243569399748196,1.0,3.1310131610425587e-06 
F561-1_rotmod,0.525158965899445,7.336905792338856e-14,                     0.95760602607001,1.0,2.6562252603554394e-06 
UGC08286_rotmod-Copy1,2.2450882803239365,9.391669882797905e-05,                     1.6473966998755434,1.0,3.426909797106068e-06 
UGC07559_rotmod,0.11222801440650598,0.002673164165241794,                     0.9513924642016159,1.0,2.7697701267296215e-06 
NGC4389_rotmod,0.09160353797577718,0.0015538501725017022,                     0.29762593523286546,1.0,2.6562252603554394e-06 
NGC4068_rotmod-Copy1,0.12918760102483892,0.0034453425272607317,                     0.7817547409474431,1.0,2.6562252603554394e-06 
UGC07399_rotmod,0.5572122613623816,0.00018911074820485008,                     1.5029231356015778,1.0,3.065057007881928e-06 
F565-V2_rotmod,0.16856335103371833,0.0005877975571925446,                     2.1854933800899143,1.0,2.7697701267296215e-06 
NGC3992_rotmod,1.058642961155362,4.0836575906742705e-06,                     1.0447017806719343,1.0,2.9716371906492047e-06 
ESO079-G014_rotmod,3.1076564993160205,2.0957048628561582e-05,                     1.090899916176936,1.0,3.35380856509653e-06 
F563-V1_rotmod,0.14341779359594978,4.808016136964937e-13,                     0.98815701629697,1.0,2.6562252603554394e-06 
NGC6195_rotmod,2.4398435486757184,3.3795139562959434e-06,                     0.43337010418585525,0.8184729480391063,3.647055436927237e-06 
NGC6503_rotmod-Copy1,1.188244517823214,4.564645510415707e-05,                     0.7324689194893554,1.0,3.7727107017916375e-06 
DDO161_rotmod,0.5364506253644814,0.0007557869895303968,                     0.942178970108089,1.0,3.7727107017916375e-06 
UGC04499_rotmod,0.9613931176818503,0.0002508764582130766,                     1.12626191042369,1.0,2.9716371906492047e-06 
NGC5005_rotmod,0.05946034230944665,2.592858370654106e-06,                     0.6301151688640404,0.6937652306777454,3.4685488224002466e-06 
UGC10310_rotmod,0.06510822625662585,4.859141335349356e-05,                     1.5374317669897397,1.0,2.7697701267296215e-06 
UGC07577_rotmod-Copy1,0.038178138796629284,0.011158437642107156,                     0.6585273841904495,1.0,2.9716371906492047e-06 
UGC06446_rotmod,0.1382740183280548,0.000128517736180091,                     1.6654650760976148,1.0,3.426909797106068e-06 
NGC5985_rotmod,5.506633297607564,2.364957271094891e-06,                     1.0499176098405687,2.110810854589742,3.7969748397395277e-06 
DDO064_rotmod,0.35176653087160986,0.0008510953370745469,                     1.5635744073524116,1.0,3.3099192613718044e-06 
DDO170_rotmod,1.9193293646994658,0.00032531212957689226,                     1.8136038351721206,1.0,2.8647946796093216e-06 
UGC09037_rotmod,1.3277551972798578,6.819858587190309e-05,                     0.5733999053133414,1.0,3.618760298237866e-06 
UGC11914_rotmod,1.7814938192020717,5.093194674935032e-06,                     2.198656529295286e-06,0.8794142223920732,4.068334910613084e-06 
NGC0289_rotmod,1.54966472041063,8.444863007601163e-06,                     0.7385744115926418,1.0,3.729889199668195e-06 
UGC06923_rotmod,0.418457894316937,0.0003294762861560612,                     0.7837627651952737,1.0,2.6562252603554394e-06 
UGC05764_rotmod,6.385432097533535,0.00012546976582941075,                     3.6653905838651877,1.0,3.065057007881928e-06 
UGC04278_rotmod,0.8702604089889199,0.0017653343146065866,                     0.9738912588298062,1.0,3.681322409857878e-06 
D564-8_rotmod-Copy1,0.03856991601942209,0.011089460345558444,                     1.1661259715912105,1.0,2.6562252603554394e-06 
