Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
UGCA442_rotmod,0.6017650128403882,67504832.64509684,                     2.330411029527383,1.0,2.8647946796093216e-06 
NGC2841_rotmod,1.3162253745857673,1021021.226460156,                     0.8069413910267829,1.0992876591246847,3.985111620249881e-06 
UGC07232_rotmod,0.15992337525892641,476083095.4336627,                     0.8476731014353649,1.0,2.3682255868199998e-06 
NGC4068_rotmod,0.1473297542746648,390808498.33346194,                     0.8143758772615164,1.0,2.6562252603554394e-06 
D564-8_rotmod,0.0786677558230446,1073766994.1831813,                     1.2599957213728836,1.0,2.6562252603554394e-06 
NGC0024_rotmod,0.6164032303836527,2804834.1815116755,                     1.3953077817714505,1.0,3.743967144766226e-06 
DDO168_rotmod,3.244846360969209,297285020.38603294,                     0.9210178710442698,1.0,3.065057007881928e-06 
D631-7_rotmod,0.23302844578873877,660912548.8811333,                     0.38414440845673486,1.0,3.392034252601659e-06 
UGC01281_rotmod-Copy1,0.3100817937074289,153517074.03123793,                     1.4556255316460696,1.0,3.681322409857878e-06 
NGC2976_rotmod,0.41367497060492936,12013524.856229749,                     0.9117884425141326,1.0,3.7125273763091643e-06 
NGC6946_rotmod,1.6748612800876232,844063.5260650804,                     0.6394640882326567,0.5928148978966079,4.032308821953264e-06 
NGC7331_rotmod,109.30734123408445,2.0089740943550856e-07,                     0.9161123935189881,0.00010461170943627321,3.877713734514092e-06 
NGC5907_rotmod,7.115846265971514,849483.4616969473,                     0.9258553420891944,1.0,3.4926067951406126e-06 
NGC3198_rotmod,1.7275664441386873,2361265.916137025,                     0.8825571317730572,1.0,3.935691023684328e-06 
NGC0891_rotmod,3.089775411024731,1097279.909580821,                     0.42787839427723934,0.7473727311846519,3.4685488224002466e-06 
NGC3741_rotmod,0.5096195979680342,1465995938.5156395,                     0.8013168116185975,1.0,3.558005140268911e-06 
NGC0247_rotmod,1.9075947829107869,2219933.9600299057,                     1.5268491508283626,1.0,3.694658858819989e-06 
UGC07524_rotmod,1.3723170619591603,8549166.9956217,                     1.6051605551192085,1.0,3.7727107017916375e-06 
UGC07151_rotmod,0.9971969860034886,8799085.17946446,                     1.1613241048808147,1.0,3.1310131610425587e-06 
UGC04483_rotmod,0.36981134357453493,297347588.84097385,                     1.3243179153935363,1.0,2.8647946796093216e-06 
NGC0055_rotmod,2.7268607241285534,26767409.58006436,                     1.0356311238068194,1.0,3.558005140268911e-06 
NGC2403_rotmod,10.205315751190334,5066085.638918224,                     0.8799367118337341,1.0,4.103703637097236e-06 
ESO444-G084_rotmod,0.13258279734611808,118217893.26266427,                     1.9476521202922747,1.0,2.7697701267296215e-06 
NGC6789_rotmod,0.1160149794226747,275687625.9483859,                     1.4592693478746694,1.0,2.3682255868199998e-06 
UGC08490_rotmod,0.18544741165201176,10143355.388093738,                     1.3018784199795554,1.0,3.7576123992122394e-06 
UGC07559_rotmod,0.13146146695050095,296167019.3078349,                     0.9917731441610531,1.0,2.7697701267296215e-06 
NGC2915_rotmod,0.6349122455604309,156106654.8490656,                     0.6297553541345093,1.0,3.7576123992122394e-06 
NGC5055_rotmod,6.102188108682204,796588.3795842712,                     0.6179849053678037,1.0,3.729889199668195e-06 
NGC6503_rotmod,1.7543086927143803,4228988.757071086,                     0.7678995223019093,1.0,3.7727107017916375e-06 
PGC51017_rotmod,1.1562586021390298,0.010954008472205838,                     0.8004544316974627,1.0,2.6562252603554394e-06 
NGC1705_rotmod,0.07091837614306509,9006515.374708915,                     1.3030348187747214,1.0,3.3099192613718044e-06 
UGC07577_rotmod,0.23759187562856413,0.5268762611956402,                     0.9058438473382345,1.0,2.9716371906492047e-06 
NGC0300_rotmod,0.3808275620818536,21539056.138797347,                     1.163192997194778,1.0,3.681322409857878e-06 
NGC7793_rotmod,0.7103452426648909,3560487.0764464773,                     0.8968130134918255,1.0,3.958659388027099e-06 
NGC4214_rotmod,0.8543688136019941,11471603.86909674,                     1.0405192012765583,1.0,3.3099192613718044e-06 
UGC08837_rotmod,0.4507307404398928,381132368.52672666,                     0.8010387536874009,1.0,2.8647946796093216e-06 
UGC07866_rotmod,0.038254495444422595,96276397.87204231,                     1.2717007897822754,1.0,2.7697701267296215e-06 
UGC08286_rotmod,2.115130312132482,9831735.625439396,                     1.676339549293152,1.0,3.426909797106068e-06 
NGC2683_rotmod,0.738482088177748,628203.1003939772,                     0.8816930572160884,0.4459799520632822,3.1310131610425587e-06 
IC2574_rotmod,2.23659672809897,229340757.29596236,                     1.1178743710690398,1.0,3.856421041674189e-06 
UGCA444_rotmod,0.08967049506799461,119099867.04937734,                     3.8592972563655548,1.0,3.877713734514092e-06 
NGC3109_rotmod,0.2548704556732412,175084923.54691237,                     2.084850201818668,1.0,3.681322409857878e-06 
DDO154_rotmod,9.025647893186179,372504501.6170687,                     1.26842660091973,1.0,3.1919951620190414e-06 
UGCA281_rotmod,0.16260226465866126,107273602.24763346,                     1.2452897646361045,1.0,2.7697701267296215e-06 
CamB_rotmod,0.10112253788321873,8030824783.02658,                     3.1098393850176064e-05,1.0,2.9716371906492047e-06 
NGC7814_rotmod,0.49960840524259176,774538.7348867316,                     0.5199122044807631,0.6801496360255072,3.4685488224002466e-06 
NGC2366_rotmod,2.2859197297943328,118751548.61305237,                     1.085361225631741,1.0,3.694658858819989e-06 
