Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
UGCA442_rotmod,57.620231584744815,1.0,                     4.24894797452747,1.0,2.8647946796093216e-06 
UGC04305_rotmod,1.5521638128563244,1.0,                     0.8755205452320096,1.0,3.618760298237866e-06 
NGC2841_rotmod,2.4648991705174694,5303137857.510283,                     0.34285482386791094,1.049129326362277,3.985111620249881e-06 
UGC07232_rotmod,3.822734684247714,1.0,                     1.2964962789997845,1.0,2.3682255868199998e-06 
NGC4068_rotmod,2.2651452403504626,1.0,                     1.1867572651792313,1.0,2.6562252603554394e-06 
D564-8_rotmod,7.072497287012854,1.0,                     2.0905864658315476,1.0,2.6562252603554394e-06 
NGC0024_rotmod,1.2108571186872519,13284759469.789751,                     1.3722087926064561,1.0,3.743967144766226e-06 
DDO168_rotmod,24.525007873298062,1.0,                     2.25689311427474,1.0,3.065057007881928e-06 
D631-7_rotmod,50.97601763414935,1.0,                     2.0220055042039515,1.0,3.392034252601659e-06 
UGC01281_rotmod-Copy1,3.3475085928276003,1.0,                     2.1595893071639085,1.0,3.681322409857878e-06 
NGC2976_rotmod,0.7456823975847462,1.0,                     0.9649107427205518,1.0,3.7125273763091643e-06 
NGC6946_rotmod,1.4436362395950595,4355800965.948376,                     0.5100226941899628,0.581877996833006,4.032308821953264e-06 
NGC7331_rotmod,2.5280944069890663,8829552932.146473,                     0.08599216855035088,1.5425413991274322,3.877713734514092e-06 
NGC5907_rotmod,12.323525709915604,2211154717.3338566,                     0.8733761374877098,1.0,3.4926067951406126e-06 
NGC3198_rotmod,1.701101085915324,13005382434.45219,                     0.8039885088887366,1.0,3.935691023684328e-06 
NGC0891_rotmod,3.921491430503237,5808371953.026681,                     0.3950359246662495,0.5766897357262311,3.4685488224002466e-06 
NGC3741_rotmod,75.58749626272228,1.0,                     3.1133623820309517,1.0,3.558005140268911e-06 
NGC0247_rotmod,2.684252638442938,1.0,                     1.5731760319157946,1.0,3.694658858819989e-06 
UGC07524_rotmod,2.5702029244861726,1.0,                     1.876506352139418,1.0,3.7727107017916375e-06 
UGC07151_rotmod,4.12175951810107,1.0,                     1.323077714695585,1.0,3.1310131610425587e-06 
UGC04483_rotmod,5.85622614645265,1.0,                     1.9491993763864444,1.0,2.8647946796093216e-06 
NGC0055_rotmod,16.196430725595544,1.0,                     1.4771085622698736,1.0,3.558005140268911e-06 
NGC2403_rotmod,16.604142926670434,28422997291.154808,                     0.8179370785763783,1.0,4.103703637097236e-06 
ESO444-G084_rotmod,55.43514603361153,1.0,                     3.9041098339274227,1.0,2.7697701267296215e-06 
NGC6789_rotmod,1.5211792345696324,1.0,                     2.040913091246688,1.0,2.3682255868199998e-06 
UGC08490_rotmod,0.29193544524177195,121791006775.58788,                     1.160041641025744,1.0,3.7576123992122394e-06 
UGC07559_rotmod,1.652616319470431,1.0,                     1.4036716989812874,1.0,2.7697701267296215e-06 
NGC2915_rotmod,0.7586995077766464,1961493516733.0117,                     0.6329745392021754,1.0,3.7576123992122394e-06 
NGC5055_rotmod,28.074372697671752,4848832169.95822,                     0.519565673130861,1.0,3.729889199668195e-06 
NGC6503_rotmod,2.0784829314399604,58429294976.30134,                     0.6230536156299966,1.0,3.7727107017916375e-06 
PGC51017_rotmod,1.156258602043639,1.0,                     0.800454410077434,1.0,2.6562252603554394e-06 
NGC1705_rotmod,10.247196792765394,41.736983524859646,                     2.1081523265207553,1.0,3.3099192613718044e-06 
UGC07577_rotmod,0.23759187597854212,1.0,                     0.9058438457791753,1.0,2.9716371906492047e-06 
NGC0300_rotmod,29.379703361706095,1.0,                     1.754572812323729,1.0,3.681322409857878e-06 
NGC7793_rotmod,2.5159899547194398,1.0,                     1.0137262646727072,1.0,3.958659388027099e-06 
NGC4214_rotmod,8.586320531157194,1.0,                     1.5490904653684026,1.0,3.3099192613718044e-06 
UGC08837_rotmod,5.362334583179296,1.0,                     1.16259937282088,1.0,2.8647946796093216e-06 
UGC07866_rotmod,0.35740689356168576,1.0,                     1.5082636829291265,1.0,2.7697701267296215e-06 
UGC08286_rotmod,28.063973275700306,1.0,                     2.140027342759425,1.0,3.426909797106068e-06 
NGC2683_rotmod,0.5641716923921167,3313785548.0489845,                     0.6556040845542054,1.382416801251595,3.1310131610425587e-06 
IC2574_rotmod,41.110035960548046,1.0,                     1.6123256180635464,1.0,3.856421041674189e-06 
UGCA444_rotmod,0.5238841299726423,1.0,                     4.915109658572353,1.0,3.877713734514092e-06 
NGC3109_rotmod,24.210733273958496,1.6576129574914968,                     3.174061630232233,1.0,3.681322409857878e-06 
DDO154_rotmod,940.8881125811291,1.0,                     4.351193326863352,1.0,3.1919951620190414e-06 
UGCA281_rotmod,1.5050951485243367,1.0,                     1.4162606524035057,1.0,2.7697701267296215e-06 
CamB_rotmod,4.994336620589962,1.0,                     0.721104573177839,1.0,2.9716371906492047e-06 
NGC7814_rotmod,4.248193217126799,8497867495.181454,                     0.48629988160935683,0.46055556704420025,3.4685488224002466e-06 
NGC2366_rotmod,2.1311355797620446,1020639869367.5704,                     1.1093128404800805,1.0,3.694658858819989e-06 
