Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
UGCA442_rotmod,57.62023158564911,1.0,                     4.248947978734816,1.0,2.8647946796093216e-06 
UGC04305_rotmod,1.5521638128533317,1.0,                     0.8755205464066551,1.0,3.618760298237866e-06 
NGC2841_rotmod,2.4960833950853965,11020363394.473854,                     0.33637079068669323,1.0457466506978579,3.985111620249881e-06 
UGC07232_rotmod,3.8227346842522443,1.0,                     1.296496276164505,1.0,2.3682255868199998e-06 
NGC4068_rotmod,2.265145240352782,1.0,                     1.1867572652990468,1.0,2.6562252603554394e-06 
D564-8_rotmod,7.072497287015622,1.0,                     2.0905864611372085,1.0,2.6562252603554394e-06 
NGC0024_rotmod,12.849960382736231,1.0,                     1.7913999115739314,1.0,3.743967144766226e-06 
DDO168_rotmod,24.525007873381472,1.0,                     2.256893116965744,1.0,3.065057007881928e-06 
D631-7_rotmod,50.97601763435421,1.0,                     2.022005497727225,1.0,3.392034252601659e-06 
UGC01281_rotmod-Copy1,3.347508592840585,1.0,                     2.1595893066433276,1.0,3.681322409857878e-06 
NGC2976_rotmod,0.7456823975946876,1.0,                     0.9649107425322897,1.0,3.7125273763091643e-06 
NGC6946_rotmod,1.453863511075265,9086527136.591438,                     0.5072557831599193,0.5804667152709208,4.032308821953264e-06 
NGC7331_rotmod,2.5982868831391026,18423853992.55301,                     0.08860967517914778,1.5333203149685026,3.877713734514092e-06 
NGC5907_rotmod,12.420296488207487,4504909024.33753,                     0.8727762041690502,1.0,3.4926067951406126e-06 
NGC3198_rotmod,229.9061560427173,36.877917944202,                     1.1541598580179215,1.0,3.935691023684328e-06 
NGC0891_rotmod,3.961447495348612,12017250034.270636,                     0.39523102126824267,0.5728792850637292,3.4685488224002466e-06 
NGC3741_rotmod,75.5874962631515,1.0,                     3.1133623849074215,1.0,3.558005140268911e-06 
NGC0247_rotmod,2.684252638575572,1.0,                     1.5731760316615648,1.0,3.694658858819989e-06 
UGC07524_rotmod,2.570202924553268,1.0,                     1.8765063519497107,1.0,3.7727107017916375e-06 
UGC07151_rotmod,4.121759518240297,1.0,                     1.3230777143176726,1.0,3.1310131610425587e-06 
UGC04483_rotmod,5.856226146457367,1.0,                     1.9491993747469833,1.0,2.8647946796093216e-06 
NGC0055_rotmod,16.196430725956656,1.0,                     1.4771085630236611,1.0,3.558005140268911e-06 
NGC2403_rotmod,828.6292137854688,1.0,                     1.3943081298792939,1.0,4.103703637097236e-06 
ESO444-G084_rotmod,55.435146034391494,1.0,                     3.9041098423660183,1.0,2.7697701267296215e-06 
NGC6789_rotmod,1.521179234572596,1.0,                     2.0409130905289583,1.0,2.3682255868199998e-06 
UGC08490_rotmod,31.364610301092885,1.0,                     2.0827477987388274,1.0,3.7576123992122394e-06 
UGC07559_rotmod,1.6526163194721022,1.0,                     1.4036717005246302,1.0,2.7697701267296215e-06 
NGC2915_rotmod,20.327551136384894,1.0,                     2.7599887294326155,1.0,3.7576123992122394e-06 
NGC5055_rotmod,29.870944980584337,10141564081.803991,                     0.5172070220641977,1.0,3.729889199668195e-06 
NGC6503_rotmod,2.284118300537339,131121961228.63666,                     0.6146974095232209,1.0,3.7727107017916375e-06 
PGC51017_rotmod,1.1562586020433008,1.0,                     0.8004544100809979,1.0,2.6562252603554394e-06 
NGC1705_rotmod,10.247196883851347,1.0,                     2.108152326629849,1.0,3.3099192613718044e-06 
UGC07577_rotmod,0.23759187597856254,1.0,                     0.9058438456065401,1.0,2.9716371906492047e-06 
NGC0300_rotmod,29.379703363304994,1.0,                     1.7545728113943724,1.0,3.681322409857878e-06 
NGC7793_rotmod,2.5159899549700873,1.0,                     1.0137262647407081,1.0,3.958659388027099e-06 
NGC4214_rotmod,1.6275538770843359,260508683954.92044,                     0.9452078982279318,1.0,3.3099192613718044e-06 
UGC08837_rotmod,5.362334583185399,1.0,                     1.1625993754528448,1.0,2.8647946796093216e-06 
UGC07866_rotmod,0.3574068935623469,1.0,                     1.5082636839510262,1.0,2.7697701267296215e-06 
UGC08286_rotmod,28.06397327722999,1.0,                     2.140027343184728,1.0,3.426909797106068e-06 
NGC2683_rotmod,0.5677284475931222,6978003826.9602165,                     0.6461621017060828,1.4028774099089496,3.1310131610425587e-06 
IC2574_rotmod,41.11003596065414,1.0,                     1.612325618543668,1.0,3.856421041674189e-06 
UGCA444_rotmod,0.5238841299735244,1.0,                     4.915109661579034,1.0,3.877713734514092e-06 
NGC3109_rotmod,24.210733274194872,1.0,                     3.174061631305175,1.0,3.681322409857878e-06 
DDO154_rotmod,940.8881125987083,1.0,                     4.351193312280763,1.0,3.1919951620190414e-06 
UGCA281_rotmod,1.5050951485263462,1.0,                     1.4162606522221695,1.0,2.7697701267296215e-06 
CamB_rotmod,4.994336620590264,1.0,                     0.7211045746905612,1.0,2.9716371906492047e-06 
NGC7814_rotmod,4.453845073951949,16985135119.88261,                     0.5082095250999065,0.45958929547526506,3.4685488224002466e-06 
NGC2366_rotmod,30.20538433718357,1.0,                     1.761352616176759,1.0,3.694658858819989e-06 
