Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
UGCA442_rotmod,1.3383245186610648,2.6706257664159457e-08,                 2.402255000745808,1.0,2.8647946796093216e-06 
UGC04305_rotmod,1.5521638128593092,9.891838817029353e-20,                 0.8755205147006876,1.0,3.618760298237866e-06 
NGC2841_rotmod,1.4903589223371105,4.87612779236017e-10,                 1.1551264179223628,0.9613278282236106,3.985111620249881e-06 
UGC07232_rotmod,0.14887207994730356,1.910292899658059e-07,                 0.7153216318001177,1.0,2.3682255868199998e-06 
NGC4068_rotmod,0.09084662045501725,2.4721042947606954e-07,                 0.6535144547005131,1.0,2.6562252603554394e-06 
D564-8_rotmod,0.11474025498077678,2.0152676479523476e-07,                 1.1549815100187835,1.0,2.6562252603554394e-06 
NGC0024_rotmod,0.3440482651195249,2.4905097829827216e-09,                 1.4083276252340917,1.0,3.743967144766226e-06 
DDO168_rotmod,3.619629084180564,2.053183018870515e-07,                 0.10881419240382464,1.0,3.065057007881928e-06 
UGC00128_rotmod,6.972430241339523,3.6624773133737527e-09,                 1.765718160176305,1.0,3.618760298237866e-06 
D631-7_rotmod,0.4034881710504802,1.973684940083302e-07,                 0.30007772827705853,1.0,3.392034252601659e-06 
UGC01281_rotmod-Copy1,0.5296517569395316,7.405662979344684e-08,                 1.4031572324334702,1.0,3.681322409857878e-06 
NGC2976_rotmod,0.38745418351500044,1.783906224504488e-08,                 0.863253192246904,1.0,3.7125273763091643e-06 
NGC6946_rotmod,2.3495019243235515,8.710728293471116e-10,                 0.7281222620774837,0.5437514532357458,4.032308821953264e-06 
NGC7331_rotmod,0.5765495272674627,9.301418359289099e-10,                 0.6761685283923903,6.465067816032594e-05,3.877713734514092e-06 
NGC5907_rotmod,4.604226774031175,1.0646399195555238e-09,                 0.9795284586814804,1.0,3.4926067951406126e-06 
NGC3198_rotmod,5.673415692399063,2.1401990051023852e-09,                 0.9381862248655434,1.0,3.935691023684328e-06 
NGC0891_rotmod,4.789654208630828,7.312769482874864e-10,                 0.5379564852731772,0.7855540164345447,3.4685488224002466e-06 
NGC3741_rotmod,1.06094135664234,5.927171354811215e-07,                 0.49552310078398254,1.0,3.558005140268911e-06 
NGC0247_rotmod,1.9447323036552306,3.2144024583564113e-09,                 1.5129068494453966,1.0,3.694658858819989e-06 
UGC07524_rotmod,1.0951330167698128,1.9589604110441832e-08,                 1.3883507237508095,1.0,3.7727107017916375e-06 
UGC07151_rotmod,0.9137635353280128,8.437027886905703e-09,                 1.1329368778657471,1.0,3.1310131610425587e-06 
UGC04483_rotmod,0.3224805232994025,6.366492090458338e-08,                 1.1969338910897527,1.0,2.8647946796093216e-06 
NGC0055_rotmod,2.326484719754513,2.9284139427406466e-08,                 0.9554605044608505,1.0,3.558005140268911e-06 
NGC2403_rotmod,15.630937597503097,4.565117438119324e-09,                 0.9151729060330202,1.0,4.103703637097236e-06 
ESO444-G084_rotmod,0.360884185117742,3.7064331578330965e-08,                 2.020962453723734,1.0,2.7697701267296215e-06 
NGC6789_rotmod,0.14106070609167834,2.0632479348895102e-07,                 1.0989064620365203,1.0,2.3682255868199998e-06 
UGC08490_rotmod,0.7202549522286594,4.707533394150552e-09,                 1.3804486702132253,1.0,3.7576123992122394e-06 
UGC07559_rotmod,0.07876928596662536,1.2502587186717203e-07,                 0.8568526565982346,1.0,2.7697701267296215e-06 
NGC2915_rotmod,0.39579641142453675,1.9704608844738086e-07,                 0.3842771684910554,1.0,3.7576123992122394e-06 
NGC5055_rotmod,53.838744769285505,4.982431111795236e-10,                 0.6896472315114756,1.0,3.729889199668195e-06 
NGC6503_rotmod,8.019379323677951,2.320796302613134e-09,                 0.856158164305263,1.0,3.7727107017916375e-06 
PGC51017_rotmod,1.156258602080196,1.0322634800023737e-18,                 0.8004545029880907,1.0,2.6562252603554394e-06 
NGC1705_rotmod,0.19200292664607602,2.9171504158577605e-09,                 1.444190403697079,1.0,3.3099192613718044e-06 
UGC07577_rotmod,0.021939780185807292,3.6655592615093255e-07,                 0.5389572097277803,1.0,2.9716371906492047e-06 
NGC0300_rotmod,0.4281854950367044,1.7034732046086944e-08,                 1.1564156376369796,1.0,3.681322409857878e-06 
NGC7793_rotmod,0.8499726829825439,3.6156260672664732e-09,                 0.8916808597110937,1.0,3.958659388027099e-06 
NGC4214_rotmod,0.7044696890337885,5.238801742985072e-09,                 1.0943057810673757,1.0,3.3099192613718044e-06 
UGC08837_rotmod,0.4184152634211369,3.290545430202654e-07,                 0.6020527930584585,1.0,2.8647946796093216e-06 
UGC07866_rotmod,0.03578284242157879,3.6372191949892077e-08,                 1.2156036228614773,1.0,2.7697701267296215e-06 
UGC08286_rotmod,1.4260153938074112,7.688124814855835e-09,                 1.6937321995201458,1.0,3.426909797106068e-06 
NGC2683_rotmod,1.3761594353265425,5.540824497046045e-10,                 0.9422245433606337,0.0005796912386873427,3.1310131610425587e-06 
IC2574_rotmod,1.0861820646653844,2.03736872650654e-07,                 0.9539917577346769,1.0,3.856421041674189e-06 
UGCA444_rotmod,0.0757528307734545,6.098677864732157e-08,                 3.3453268042225597,1.0,3.877713734514092e-06 
NGC3109_rotmod,0.26815506240681364,1.136373341623497e-07,                 1.8841728593886027,1.0,3.681322409857878e-06 
DDO154_rotmod,16.566366392684053,1.2740503033283937e-07,                 1.1432873247288542,1.0,3.1919951620190414e-06 
UGCA281_rotmod,0.1601468011396558,3.018530045411484e-08,                 1.2040478061915718,1.0,2.7697701267296215e-06 
CamB_rotmod,0.10992462117855563,5.9884259505551e-07,                 1.174818820979959e-06,1.0,2.9716371906492047e-06 
NGC7814_rotmod,0.40493120258655685,3.2631461013265123e-10,                 1.1495596967294386,0.7035638449337808,3.4685488224002466e-06 
