Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
UGCA442_rotmod,0.5258126927295027,19.76327593405477,                 2.064766890581912,1.0,2.8647946796093216e-06 
UGC04305_rotmod,1.552163812856427,6.570506832928359e-11,                 0.8755211885838907,1.0,3.618760298237866e-06 
NGC2841_rotmod,2.4405305442890044,0.05426440930288869,                 0.34288364876875066,1.0865725537685762,3.985111620249881e-06 
UGC07232_rotmod,0.25183115395188416,85.6218470728321,                 0.8188124119330944,1.0,2.3682255868199998e-06 
NGC4068_rotmod,0.18360543014905442,56.94493997348243,                 0.8496209381093319,1.0,2.6562252603554394e-06 
D564-8_rotmod,0.020601959171372485,615.224306516289,                 1.1702945610296898,1.0,2.6562252603554394e-06 
NGC0024_rotmod,1.3792817757563178,0.24899997729897047,                 1.355370283106337,1.0,3.743967144766226e-06 
DDO168_rotmod,2.533237987289792,66.23045213796522,                 0.8230594609111759,1.0,3.065057007881928e-06 
UGC00128_rotmod,11.818979989903376,0.40373528273686693,                 1.5233620863137007,1.0,3.618760298237866e-06 
D631-7_rotmod,0.7857409963859987,254.51054301477274,                 2.5957189928737013e-05,1.0,3.392034252601659e-06 
UGC01281_rotmod-Copy1,0.24533973695546007,24.93764896433877,                 1.4487702794023674,1.0,3.681322409857878e-06 
NGC2976_rotmod,0.4488977381169554,0.5917822389759386,                 0.9219139277539408,1.0,3.7125273763091643e-06 
NGC6946_rotmod,1.602202751411164,0.08312816871570129,                 0.5082274707053734,0.5234580264881393,4.032308821953264e-06 
NGC7331_rotmod,2.491051227397553,0.15819928052789325,                 0.08771982829482097,1.4773232602674962,3.877713734514092e-06 
NGC5907_rotmod,11.17256622331795,0.027019395742939833,                 0.8935180454600863,1.0,3.4926067951406126e-06 
NGC3198_rotmod,1.723099607589938,0.26934595463241084,                 0.784105548957268,1.0,3.935691023684328e-06 
NGC0891_rotmod,4.378325686543565,0.08883398651906071,                 0.40763794992852254,0.5326243845111257,3.4685488224002466e-06 
NGC3741_rotmod,0.36668524648057804,700.449019071265,                 0.7576855724654569,1.0,3.558005140268911e-06 
NGC0247_rotmod,1.9126179428176924,0.1332348012257359,                 1.5310334414325502,1.0,3.694658858819989e-06 
UGC07524_rotmod,1.5112271274835118,0.5405543838450596,                 1.6527312788944362,1.0,3.7727107017916375e-06 
UGC07151_rotmod,0.9469700455683171,0.7786693176260552,                 1.1544928497432416,1.0,3.1310131610425587e-06 
UGC04483_rotmod,0.26454306023766205,101.24986910143852,                 1.2403822828178137,1.0,2.8647946796093216e-06 
NGC0055_rotmod,2.457990493307198,2.6969673220245576,                 1.029780641717004,1.0,3.558005140268911e-06 
NGC2403_rotmod,20.502011511717086,0.6433276453665313,                 0.7807559056335195,1.0,4.103703637097236e-06 
ESO444-G084_rotmod,1.873108026211517,51.358733917155234,                 1.534380321104555,1.0,2.7697701267296215e-06 
NGC6789_rotmod,0.14302408505768677,29.50144966911734,                 1.445257278342821,1.0,2.3682255868199998e-06 
UGC08490_rotmod,0.5536825441096636,3.41131470925547,                 1.061143929353407,1.0,3.7576123992122394e-06 
UGC07559_rotmod,0.14472219283035334,61.631910467908845,                 1.0067815384475831,1.0,2.7697701267296215e-06 
NGC2915_rotmod,0.8576130457799711,79.13123387476192,                 0.5246029499171949,1.0,3.7576123992122394e-06 
NGC5055_rotmod,29.953299069354536,0.07933248542141576,                 0.5101090029375541,1.0,3.729889199668195e-06 
NGC6503_rotmod,2.995596503268783,1.8734552966176274,                 0.5595346905364302,1.0,3.7727107017916375e-06 
PGC51017_rotmod,1.156258602495661,1.3109895841563474e-08,                 0.800454416998971,1.0,2.6562252603554394e-06 
NGC1705_rotmod,1.000837745200578,7.90495934824443,                 0.8701344009428218,1.0,3.3099192613718044e-06 
UGC07577_rotmod,0.04000057669078633,492.15080875547835,                 0.692861892273903,1.0,2.9716371906492047e-06 
NGC0300_rotmod,0.6020826306115638,3.1676545398845124,                 1.0954979709546153,1.0,3.681322409857878e-06 
NGC7793_rotmod,0.5942622439730058,0.28750644841387196,                 0.8730739979855154,1.0,3.958659388027099e-06 
NGC4214_rotmod,2.0424045880003603,2.851665250971014,                 0.8844147822532658,1.0,3.3099192613718044e-06 
UGC08837_rotmod,0.518358625892238,51.5249961911609,                 0.8499140080983191,1.0,2.8647946796093216e-06 
UGC07866_rotmod,0.045328893461070566,18.45584367136367,                 1.2683988584954822,1.0,2.7697701267296215e-06 
UGC08286_rotmod,3.821747340646227,1.1796815057782715,                 1.6018357127940615,1.0,3.426909797106068e-06 
NGC2683_rotmod,0.5715965508772052,0.05305515692284546,                 0.6255081875640486,1.4520289197565952,3.1310131610425587e-06 
IC2574_rotmod,3.1699782641847607,30.492635596138435,                 1.1606684424542784,1.0,3.856421041674189e-06 
UGCA444_rotmod,0.10290312943783109,20.88410996088095,                 3.886449289658886,1.0,3.877713734514092e-06 
NGC3109_rotmod,0.22512135972042777,27.60358518271951,                 2.0878651405891033,1.0,3.681322409857878e-06 
DDO154_rotmod,4.506656659548676,139.09139997843033,                 1.1374017169964183,1.0,3.1919951620190414e-06 
UGCA281_rotmod,0.14947419338444926,20.401800870948577,                 1.224432974365706,1.0,2.7697701267296215e-06 
CamB_rotmod,0.556717764778536,4722.406625678898,                 0.07087316251938647,1.0,2.9716371906492047e-06 
NGC7814_rotmod,5.762952660864378,0.10622743455659181,                 0.6465064563066752,0.4367884008133513,3.4685488224002466e-06 
NGC2366_rotmod,1.7689469715529282,21.22755867385999,                 1.070033999521359,1.0,3.694658858819989e-06 
