DDO161_rotmod
rad,vObs,errV,gas,disk,bulge
0.6,16.0,3.53,6.82,12.59,0.0
0.73,16.6,4.83,8.12,14.22,0.0
0.85,18.6,2.5,9.3,15.27,0.0
0.98,20.0,7.58,10.41,17.04,0.0
1.07,21.4,4.03,11.27,18.03,0.0
1.54,28.9,2.74,15.22,22.44,0.0
2.02,32.9,2.65,18.74,24.92,0.0
2.49,35.2,2.88,21.52,25.85,0.0
2.96,37.6,3.05,23.28,26.01,0.0
3.43,40.6,3.68,24.59,25.36,0.0
3.9,42.7,3.25,25.62,25.01,0.0
4.37,45.5,2.99,26.35,24.48,0.0
4.86,48.9,1.96,27.08,23.7,0.0
5.34,51.5,1.53,27.81,22.69,0.0
5.81,53.0,1.86,28.4,21.59,0.0
6.28,55.0,1.48,28.98,20.86,0.0
6.75,57.6,0.99,29.57,20.11,0.0
7.22,59.7,1.19,30.3,19.38,0.0
7.69,60.5,1.26,31.18,18.7,0.0
8.16,61.8,1.33,32.06,18.06,0.0
8.64,62.9,1.35,32.64,17.47,0.0
9.11,63.0,2.09,33.23,16.94,0.0
9.58,64.5,2.38,33.38,16.44,0.0
10.05,65.6,1.08,33.38,15.98,0.0
10.52,67.5,3.22,32.79,15.57,0.0
10.99,66.8,2.37,32.06,15.18,0.0
11.46,66.8,0.95,31.18,14.81,0.0
11.94,66.6,0.96,30.3,14.47,0.0
12.41,66.8,0.99,29.42,14.16,0.0
12.9,66.3,0.74,28.69,13.86,0.0
13.37,66.1,1.31,27.81,13.59,0.0
