ESO563-G021_rotmod
rad,vObs,errV,gas,disk,bulge
0.45,18.9,9.78,0.0,65.19,0.0
1.34,58.3,10.5,0.0,120.17,0.0
2.23,74.1,5.69,0.0,137.48,0.0
3.12,119.0,4.27,0.0,146.18,0.0
4.01,141.0,3.76,0.0,157.86,0.0
4.9,195.0,4.54,0.0,175.79,0.0
5.79,227.0,4.2,0.0,199.19,0.0
6.69,246.0,4.24,0.0,217.87,0.0
7.58,268.0,5.56,0.0,228.65,0.0
8.47,283.0,2.96,0.0,241.76,0.0
10.23,291.0,9.81,0.0,260.94,0.0
12.06,310.0,4.74,0.04,275.04,0.0
13.44,310.0,20.4,0.4,277.98,0.0
15.18,310.0,16.1,3.11,282.25,0.0
16.83,314.0,13.5,15.18,283.33,0.0
18.56,317.0,12.7,22.91,276.47,0.0
20.3,319.0,10.4,33.06,272.19,0.0
21.94,318.0,10.8,33.62,273.0,0.0
23.68,317.0,9.3,39.67,271.34,0.0
25.41,317.0,7.23,44.98,261.62,0.0
27.06,312.0,8.39,46.29,252.97,0.0
28.8,312.0,8.37,43.21,243.84,0.0
30.53,311.0,11.5,45.08,233.85,0.0
32.18,310.0,14.5,52.43,224.75,0.0
33.91,313.0,15.9,59.7,216.21,0.0
35.65,320.0,8.83,61.56,208.83,0.0
37.3,321.0,7.88,63.33,202.65,0.0
39.03,320.0,8.0,62.96,196.77,0.0
40.76,315.0,9.82,62.4,191.39,0.0
42.41,312.0,9.07,62.21,186.89,0.0
