IC2574_rotmod-Copy1
rad,vObs,errV,gas,disk,bulge
0.85,10.3,0.2,0.0,9.59,0.0
1.14,12.9,2.7,0.0,11.99,0.0
1.42,16.4,1.8,0.94,13.83,0.0
1.71,18.6,2.1,3.44,15.27,0.0
1.99,19.8,2.0,5.14,16.76,0.0
2.28,26.1,0.6,5.82,17.77,0.0
2.55,27.7,2.7,6.87,18.7,0.0
2.84,29.7,2.6,7.58,19.36,0.0
3.13,33.0,3.4,8.21,19.89,0.0
3.41,34.8,1.2,8.78,20.19,0.0
3.7,35.0,0.9,8.64,20.15,0.0
3.98,39.0,10.2,7.98,20.39,0.0
4.26,35.9,5.4,7.97,21.28,0.0
4.55,40.0,4.1,10.01,22.72,0.0
4.84,38.7,1.4,11.42,24.6,0.0
5.12,41.8,0.5,12.67,25.34,0.0
5.41,42.9,0.4,13.13,25.74,0.0
5.68,44.4,1.7,13.93,26.48,0.0
5.97,46.1,1.3,14.5,27.15,0.0
6.26,49.0,0.9,15.98,27.39,0.0
6.54,51.9,0.6,17.58,27.31,0.0
6.83,53.1,2.1,18.38,26.75,0.0
7.1,54.0,0.5,19.29,26.25,0.0
7.39,55.9,1.1,19.86,26.04,0.0
7.68,58.8,3.6,21.01,25.86,0.0
7.96,57.3,4.6,21.81,25.77,0.0
8.25,54.0,9.0,22.49,25.57,0.0
8.52,63.8,12.0,22.38,25.47,0.0
8.81,60.5,6.2,22.6,25.41,0.0
9.1,61.0,5.7,22.95,25.38,0.0
9.38,66.0,1.3,23.63,25.51,0.0
9.67,65.2,3.4,24.89,25.74,0.0
9.96,67.1,4.7,25.8,24.84,0.0
10.23,67.5,9.3,27.17,23.97,0.0
