IC4202_rotmod
rad,vObs,errV,gas,disk,bulge
0.77,35.1,3.96,2.22,20.98,133.76
1.59,77.9,3.95,3.89,40.96,176.62
2.36,115.0,6.7,4.02,58.24,176.92
3.13,156.0,3.16,0.9,74.68,172.53
3.95,192.0,3.14,0.0,91.45,173.49
4.73,204.0,2.9,0.0,107.35,174.08
5.5,209.0,3.36,0.0,120.52,167.74
6.27,220.0,3.25,0.0,132.68,159.21
7.08,231.0,3.49,0.0,150.86,150.44
7.86,235.0,4.65,0.24,170.8,142.84
8.66,245.0,6.0,0.0,187.59,136.33
9.45,246.0,5.57,3.8,199.82,130.53
10.24,239.0,6.95,0.0,208.12,125.41
11.02,240.0,7.16,3.35,212.98,120.9
11.79,240.0,4.85,15.63,214.9,116.92
12.47,246.0,7.68,22.51,214.77,113.67
13.34,241.0,6.21,30.77,213.03,109.94
14.11,250.0,5.62,37.16,210.67,106.85
14.59,242.0,5.1,39.71,209.26,105.08
14.98,244.0,7.41,41.88,208.03,103.7
15.75,248.0,5.08,44.73,205.55,101.13
16.52,249.0,5.22,46.3,203.07,98.75
17.1,246.0,6.35,46.79,201.06,97.06
17.88,241.0,16.2,46.99,198.19,94.92
18.65,247.0,14.6,47.18,195.23,92.94
19.62,234.0,20.9,47.77,191.47,90.61
20.78,249.0,10.0,51.51,186.83,88.05
22.13,236.0,16.1,57.31,181.4,85.32
23.0,245.0,22.1,59.87,177.88,83.69
23.58,243.0,4.2,61.24,175.64,82.65
25.03,238.0,7.76,61.05,170.07,80.22
25.9,247.0,6.14,60.16,166.98,78.87
