UGC12732_rotmod
rad,vObs,errV,gas,disk,bulge
0.96,34.2,3.32,1.81,20.68,0.0
1.92,49.5,4.6,-7.24,30.32,0.0
2.88,59.9,4.38,-2.56,33.18,0.0
3.84,65.3,4.31,8.12,35.24,0.0
4.8,69.8,3.83,11.3,34.72,0.0
5.76,73.8,3.45,16.0,34.11,0.0
6.72,76.2,3.24,18.2,34.88,0.0
7.68,79.3,3.19,19.2,33.08,0.0
8.64,80.3,3.31,23.3,31.11,0.0
9.6,81.9,3.69,25.5,29.68,0.0
10.6,84.0,3.89,27.8,28.19,0.0
11.5,85.6,3.67,31.1,26.95,0.0
12.5,87.9,3.43,35.1,25.7,0.0
13.4,90.8,3.36,38.3,24.69,0.0
14.4,95.5,3.18,41.4,23.69,0.0
15.4,98.0,3.18,43.4,22.77,0.0
